,日期,股票代码,开盘价,收盘价,最高价,最低价,成交量,成交金额,振幅,涨跌幅,涨跌额,换手率
0,2021-09-10,688103SH,62.0,74.2,79.28,62.0,171725,1204436096.0,143.52,516.28,62.16,88.3
1,2021-09-13,688103SH,75.5,79.99,82.82,74.81,106225,833536576.0,10.8,7.8,5.79,54.62
2,2021-09-14,688103SH,78.88,71.85,78.88,68.0,81109,584061744.0,13.6,-10.18,-8.14,41.71
3,2021-09-15,688103SH,70.0,71.8,73.15,65.0,56910,391950608.0,11.34,-0.07,-0.05,29.26
4,2021-09-16,688103SH,70.56,72.65,76.54,68.22,51625,375317376.0,11.59,1.18,0.85,26.55
5,2021-09-17,688103SH,71.88,69.48,72.65,65.55,33249,226663432.0,9.77,-4.36,-3.17,17.1
6,2021-09-22,688103SH,67.06,67.27,68.88,62.08,36939,241449346.0,9.79,-3.18,-2.21,18.99
7,2021-09-23,688103SH,66.5,68.16,68.5,63.23,22014,144570004.0,7.83,1.32,0.89,11.32
8,2021-09-24,688103SH,67.5,63.1,67.76,63.01,15533,101326308.0,6.97,-7.42,-5.06,7.99
9,2021-09-27,688103SH,62.11,52.1,62.69,52.1,30421,170636676.0,16.78,-17.43,-11.0,15.64
10,2021-09-28,688103SH,51.99,55.56,57.24,51.55,28376,154224892.0,10.92,6.64,3.46,14.59
11,2021-09-29,688103SH,55.0,54.62,60.18,54.1,26977,155808577.0,10.94,-1.69,-0.94,13.87
12,2021-09-30,688103SH,54.62,62.4,62.66,51.5,22504,128401460.0,20.43,14.24,7.78,11.57
13,2021-10-08,688103SH,61.23,58.0,61.88,56.55,8063,47260018.0,8.54,-7.05,-4.4,4.15
14,2021-10-11,688103SH,57.5,54.55,57.5,54.15,8495,47081505.0,5.78,-5.95,-3.45,4.37
15,2021-10-12,688103SH,55.02,55.25,58.79,53.75,13280,74803508.0,9.24,1.28,0.7,6.83
16,2021-10-13,688103SH,54.1,62.6,65.49,53.08,22502,130292645.0,22.46,13.3,7.35,11.57
17,2021-10-14,688103SH,62.67,65.67,68.0,61.16,22528,147373227.0,10.93,4.9,3.07,11.58
18,2021-10-15,688103SH,65.61,65.08,70.0,65.0,19518,131158265.0,7.61,-0.9,-0.59,10.04
19,2021-10-18,688103SH,65.49,68.96,70.0,64.15,14163,95265467.0,8.99,5.96,3.88,7.28
20,2021-10-19,688103SH,70.1,68.9,71.58,66.01,17129,116892270.0,8.08,-0.09,-0.06,8.81
21,2021-10-20,688103SH,68.13,67.49,70.5,65.3,9452,64009533.0,7.55,-2.05,-1.41,4.86
22,2021-10-21,688103SH,67.49,67.5,68.68,65.18,9827,65517230.0,5.19,0.01,0.01,5.05
23,2021-10-22,688103SH,67.27,65.09,67.27,64.07,7525,49085867.0,4.74,-3.57,-2.41,3.87
24,2021-10-25,688103SH,64.0,66.88,69.98,64.0,10456,70771547.0,9.19,2.75,1.79,5.38
25,2021-10-26,688103SH,68.65,63.85,69.0,63.69,8436,55076701.0,7.94,-4.53,-3.03,4.34
26,2021-10-27,688103SH,63.75,62.57,65.65,62.33,4264,27067490.0,5.2,-2.0,-1.28,2.19
27,2021-10-28,688103SH,62.77,60.1,63.8,58.85,5710,34819143.0,7.91,-3.95,-2.47,2.94
28,2021-10-29,688103SH,60.73,61.06,64.6,60.05,4497,27531631.0,7.57,1.6,0.96,2.31
29,2021-11-01,688103SH,60.5,61.86,65.0,59.08,9531,59649757.0,9.7,1.31,0.8,4.9
30,2021-11-02,688103SH,61.0,60.05,62.88,59.18,7804,47160115.0,5.98,-2.93,-1.81,4.01
31,2021-11-03,688103SH,59.7,61.58,61.67,56.88,6156,36392980.0,7.98,2.55,1.53,3.17
32,2021-11-04,688103SH,61.08,65.8,66.66,60.5,9823,62652423.0,10.0,6.85,4.22,5.05
33,2021-11-05,688103SH,64.5,67.7,70.25,64.21,10916,74088424.0,9.18,2.89,1.9,5.61
34,2021-11-08,688103SH,67.71,68.55,69.95,66.12,9139,62342357.0,5.66,1.26,0.85,4.7
35,2021-11-09,688103SH,68.55,74.5,74.91,67.8,12793,93347432.0,10.37,8.68,5.95,6.58
36,2021-11-10,688103SH,74.5,71.93,75.0,71.0,7914,57434695.0,5.37,-3.45,-2.57,4.07
37,2021-11-11,688103SH,71.7,72.12,74.28,70.0,6798,48688274.0,5.95,0.26,0.19,3.5
38,2021-11-12,688103SH,71.26,75.62,78.0,71.26,17654,132609283.0,9.35,4.85,3.5,9.08
39,2021-11-15,688103SH,76.69,73.49,78.5,72.63,13310,100615658.0,7.76,-2.82,-2.13,6.84
40,2021-11-16,688103SH,73.4,72.9,75.98,72.11,6781,50083412.0,5.27,-0.8,-0.59,3.49
41,2021-11-17,688103SH,72.5,76.58,76.84,72.5,8257,62227342.0,5.95,5.05,3.68,4.25
42,2021-11-18,688103SH,76.5,76.66,79.89,74.2,10961,83060726.0,7.43,0.1,0.08,5.64
43,2021-11-19,688103SH,77.01,76.87,78.88,75.17,6344,48632083.0,4.84,0.27,0.21,3.26
44,2021-11-22,688103SH,76.5,79.9,82.5,76.15,9722,77134327.0,8.26,3.94,3.03,5.0
45,2021-11-23,688103SH,79.9,79.12,81.18,78.23,6922,54843863.0,3.69,-0.98,-0.78,3.56
46,2021-11-24,688103SH,78.91,77.12,83.09,76.0,11374,88974361.0,8.96,-2.53,-2.0,5.85
47,2021-11-25,688103SH,77.78,75.5,77.78,73.14,8869,67429302.0,6.02,-2.1,-1.62,4.56
48,2021-11-26,688103SH,76.13,77.8,79.16,75.49,5811,45165608.0,4.86,3.05,2.3,2.99
49,2021-11-29,688103SH,77.79,81.12,81.5,76.75,6549,51907811.0,6.11,4.27,3.32,3.37
50,2021-11-30,688103SH,81.24,80.88,83.99,79.0,6481,52963140.0,6.15,-0.3,-0.24,3.33
51,2021-12-01,688103SH,81.92,77.69,81.92,76.5,6674,52133203.0,6.7,-3.94,-3.19,3.43
52,2021-12-02,688103SH,77.58,74.65,78.44,73.89,8203,61607690.0,5.86,-3.91,-3.04,4.22
53,2021-12-03,688103SH,74.99,72.45,76.05,72.0,7401,54534489.0,5.43,-2.95,-2.2,3.81
54,2021-12-06,688103SH,72.01,71.65,73.0,70.53,5606,40235633.0,3.41,-1.1,-0.8,2.88
55,2021-12-07,688103SH,72.16,68.25,72.49,68.03,7337,50973037.0,6.22,-4.75,-3.4,3.77
56,2021-12-08,688103SH,68.35,70.07,71.0,68.11,5536,38560415.0,4.23,2.67,1.82,2.85
57,2021-12-09,688103SH,69.96,68.76,70.28,67.06,8725,59745999.0,4.6,-1.87,-1.31,4.49
58,2021-12-10,688103SH,68.6,69.95,70.59,67.34,4104,28393478.0,4.73,1.73,1.19,2.11
59,2021-12-13,688103SH,69.0,70.79,71.99,67.45,9975,69102119.0,6.49,1.2,0.84,5.13
60,2021-12-14,688103SH,70.18,70.66,70.7,69.28,3488,24420952.0,2.01,-0.18,-0.13,1.79
61,2021-12-15,688103SH,70.66,72.96,73.33,69.8,5781,41924940.0,5.0,3.26,2.3,2.97
62,2021-12-16,688103SH,72.8,72.5,73.45,71.28,3024,21854741.0,2.97,-0.63,-0.46,1.55
63,2021-12-17,688103SH,71.38,67.2,71.97,67.2,7299,49961934.0,6.58,-7.31,-5.3,3.75
64,2021-12-20,688103SH,66.78,66.54,69.19,64.8,7293,48924697.0,6.53,-0.98,-0.66,3.75
65,2021-12-21,688103SH,66.46,69.96,70.77,65.19,5252,35906432.0,8.39,5.14,3.42,2.7
66,2021-12-22,688103SH,69.96,68.46,71.0,68.33,1702,11747090.0,3.82,-2.14,-1.5,0.87
