,日期,股票代码,开盘价,收盘价,最高价,最低价,成交量,成交金额,振幅,涨跌幅,涨跌额,换手率
0,2022-04-20,688279SH,61.0,66.2,71.8,60.0,101274,654633936.0,14.39,-19.27,-15.8,48.22
1,2022-04-21,688279SH,66.4,61.51,67.5,61.19,55766,355438256.0,9.53,-7.08,-4.69,26.55
2,2022-04-22,688279SH,60.3,59.45,63.4,58.16,37455,227484547.0,8.52,-3.35,-2.06,17.84
3,2022-04-25,688279SH,59.0,52.98,59.0,52.78,32878,182801428.0,10.46,-10.88,-6.47,15.66
4,2022-04-26,688279SH,54.5,53.0,55.9,52.65,20930,113292384.0,6.13,0.04,0.02,9.97
5,2022-04-27,688279SH,52.12,56.02,57.69,49.85,35706,192976480.0,14.79,5.7,3.02,17.0
6,2022-04-28,688279SH,55.5,56.0,57.67,52.1,25804,139704832.0,9.94,-0.04,-0.02,12.29
7,2022-04-29,688279SH,55.6,57.57,59.99,55.55,22692,130159330.0,7.93,2.8,1.57,10.81
8,2022-05-05,688279SH,60.0,60.21,62.0,58.0,20805,125677231.0,6.95,4.59,2.64,9.91
9,2022-05-06,688279SH,58.2,56.5,59.5,56.13,19377,112371163.0,5.6,-6.16,-3.71,9.23
10,2022-05-09,688279SH,56.0,58.6,60.0,55.94,12744,74338943.0,7.19,3.72,2.1,6.07
11,2022-05-10,688279SH,58.02,59.96,61.8,57.17,16758,100846633.0,7.9,2.32,1.36,7.98
12,2022-05-11,688279SH,60.0,60.03,62.6,59.3,19810,121547768.0,5.5,0.12,0.07,9.43
13,2022-05-12,688279SH,60.03,61.2,62.4,59.8,11088,67728532.0,4.33,1.95,1.17,5.28
14,2022-05-13,688279SH,61.98,62.16,63.6,61.0,13268,82867610.0,4.25,1.57,0.96,6.32
15,2022-05-16,688279SH,62.36,59.37,63.6,58.88,16642,101229058.0,7.59,-4.49,-2.79,7.92
16,2022-05-17,688279SH,59.31,61.68,61.68,58.25,15257,91768272.0,5.78,3.89,2.31,7.26
17,2022-05-18,688279SH,61.13,59.7,63.55,59.63,11947,73071272.0,6.36,-3.21,-1.98,5.69
18,2022-05-19,688279SH,58.9,59.24,59.78,58.12,10314,60894695.0,2.78,-0.77,-0.46,4.91
19,2022-05-20,688279SH,59.53,59.1,59.99,57.93,10599,62352038.0,3.48,-0.24,-0.14,5.05
20,2022-05-23,688279SH,59.09,58.44,59.79,57.52,13715,79995078.0,3.84,-1.12,-0.66,6.53
