,日期,股票代码,开盘价,收盘价,最高价,最低价,成交量,成交金额,振幅,涨跌幅,涨跌额,换手率
0,2021-01-06,300928SZ,101.0,87.03,111.63,87.0,111914,1105414528.0,64.73,128.73,48.98,55.96
1,2021-01-07,300928SZ,76.55,69.95,77.77,68.53,92794,675797296.0,10.62,-19.63,-17.08,46.4
2,2021-01-08,300928SZ,70.0,70.0,73.55,66.03,69021,480562256.0,10.75,0.07,0.05,34.51
3,2021-01-11,300928SZ,67.0,61.71,68.62,61.0,60438,392835616.0,10.89,-11.84,-8.29,30.22
4,2021-01-12,300928SZ,60.0,59.3,64.59,58.91,49488,301875328.0,9.2,-3.91,-2.41,24.74
5,2021-01-13,300928SZ,57.81,53.39,59.49,53.36,53241,296444112.0,10.34,-9.97,-5.91,26.62
6,2021-01-14,300928SZ,51.87,51.55,54.64,50.5,40786,214792080.0,7.75,-3.45,-1.84,20.39
7,2021-01-15,300928SZ,51.31,54.82,55.7,51.0,48633,262683223.0,9.12,6.34,3.27,24.32
8,2021-01-18,300928SZ,53.63,56.28,57.26,53.53,47612,263141023.0,6.8,2.66,1.46,23.81
9,2021-01-19,300928SZ,56.3,55.39,58.7,55.13,42366,240993155.0,6.34,-1.58,-0.89,21.18
10,2021-01-20,300928SZ,56.37,57.9,60.7,56.37,46971,273649104.0,7.82,4.53,2.51,23.49
11,2021-01-21,300928SZ,55.76,53.89,55.76,53.66,43842,238203562.0,3.63,-6.93,-4.01,21.92
12,2021-01-22,300928SZ,53.0,51.8,54.8,51.8,30202,159892728.0,5.57,-3.88,-2.09,15.1
13,2021-01-25,300928SZ,51.98,50.25,52.6,50.15,22679,115008373.0,4.73,-2.99,-1.55,11.34
14,2021-01-26,300928SZ,51.0,50.67,51.89,50.5,19925,101890208.0,2.77,0.84,0.42,9.96
15,2021-01-27,300928SZ,49.98,49.98,50.38,48.0,24232,119442172.0,4.7,-1.36,-0.69,12.12
16,2021-01-28,300928SZ,49.1,49.5,51.49,48.6,21256,106981397.0,5.78,-0.96,-0.48,10.63
17,2021-01-29,300928SZ,50.07,50.79,51.9,47.01,34068,168453039.0,9.88,2.61,1.29,17.03
