,日期,股票代码,开盘价,收盘价,最高价,最低价,成交量,成交金额,振幅,涨跌幅,涨跌额,换手率
0,2021-06-10,600905SH,3.18,3.82,3.82,3.18,1573817,596262432.0,24.15,44.15,1.17,2.26
1,2021-06-11,600905SH,4.2,4.2,4.2,4.2,347341,145883136.0,0.0,9.95,0.38,0.5
2,2021-06-15,600905SH,4.62,4.62,4.62,4.23,36453075,16407454976.0,9.29,10.0,0.42,52.45
3,2021-06-16,600905SH,4.61,4.95,5.07,4.35,31487350,15016698624.0,15.58,7.14,0.33,45.31
4,2021-06-17,600905SH,4.87,5.45,5.45,4.77,13092208,6872921088.0,13.74,10.1,0.5,18.84
5,2021-06-18,600905SH,5.9,6.0,6.0,5.78,6024392,3565611744.0,4.04,10.09,0.55,8.67
6,2021-06-21,600905SH,6.6,6.6,6.6,6.6,1393735,919865344.0,0.0,10.0,0.6,2.01
7,2021-06-22,600905SH,7.26,7.26,7.26,7.26,361655,262561269.0,0.0,10.0,0.66,0.52
8,2021-06-23,600905SH,7.99,7.99,7.99,7.99,231312,184818520.0,0.0,10.06,0.73,0.33
9,2021-06-24,600905SH,8.79,7.32,8.79,7.19,35169453,27698437632.0,20.03,-8.39,-0.67,50.61
10,2021-06-25,600905SH,6.99,6.89,7.54,6.71,21937588,15295257856.0,11.34,-5.87,-0.43,31.57
11,2021-06-28,600905SH,6.75,6.35,6.75,6.33,18818549,12244437760.0,6.1,-7.84,-0.54,27.08
12,2021-06-29,600905SH,6.22,6.68,6.86,6.11,19539411,12859344896.0,11.81,5.2,0.33,28.12
13,2021-06-30,600905SH,6.52,6.36,6.54,6.28,12709444,8106076672.0,3.89,-4.79,-0.32,18.29
14,2021-07-01,600905SH,6.3,6.25,6.55,6.23,9806966,6247749120.0,5.03,-1.73,-0.11,14.11
15,2021-07-02,600905SH,6.27,5.95,6.32,5.9,10667396,6406020096.0,6.72,-4.8,-0.3,15.35
16,2021-07-05,600905SH,5.9,5.84,5.98,5.7,9134949,5287802880.0,4.71,-1.85,-0.11,13.14
17,2021-07-06,600905SH,5.85,6.42,6.42,5.75,16663106,10229750016.0,11.47,9.93,0.58,23.98
18,2021-07-07,600905SH,6.3,6.38,6.64,6.12,15278646,9674468608.0,8.1,-0.62,-0.04,21.99
19,2021-07-08,600905SH,6.46,6.76,6.89,6.31,15421660,10289353984.0,9.09,5.96,0.38,22.19
20,2021-07-09,600905SH,6.68,6.96,7.18,6.53,14543062,10042488320.0,9.62,2.96,0.2,20.93
21,2021-07-12,600905SH,6.86,6.78,7.0,6.64,11837127,8044042240.0,5.17,-2.59,-0.18,17.03
22,2021-07-13,600905SH,6.67,6.99,7.15,6.62,13047908,9078657792.0,7.82,3.1,0.21,18.78
23,2021-07-14,600905SH,6.99,6.81,7.15,6.69,11693495,8087320832.0,6.58,-2.58,-0.18,16.83
24,2021-07-15,600905SH,6.71,6.59,6.78,6.42,8582092,5655317760.0,5.29,-3.23,-0.22,12.35
25,2021-07-16,600905SH,6.71,6.61,6.88,6.58,8938059,6022989056.0,4.55,0.3,0.02,12.86
26,2021-07-19,600905SH,6.49,6.33,6.49,6.25,7163907,4548540928.0,3.63,-4.24,-0.28,10.31
27,2021-07-20,600905SH,6.23,6.31,6.4,6.17,5077460,3188383296.0,3.63,-0.32,-0.02,7.31
28,2021-07-21,600905SH,6.31,6.24,6.35,6.22,5700564,3566866112.0,2.06,-1.11,-0.07,8.2
29,2021-07-22,600905SH,6.27,6.27,6.4,6.23,5658720,3562733024.0,2.72,0.48,0.03,8.14
30,2021-07-23,600905SH,6.24,6.1,6.24,6.05,6609671,4028467520.0,3.03,-2.71,-0.17,9.51
31,2021-07-26,600905SH,6.08,5.96,6.08,5.85,5410085,3220634944.0,3.77,-2.3,-0.14,7.78
32,2021-07-27,600905SH,5.92,6.25,6.35,5.81,10129082,6209198592.0,9.06,4.87,0.29,14.58
33,2021-07-28,600905SH,6.2,5.96,6.2,5.8,5555262,3339290432.0,6.4,-4.64,-0.29,7.99
34,2021-07-29,600905SH,5.95,6.01,6.08,5.92,4769298,2861733984.0,2.68,0.84,0.05,6.86
35,2021-07-30,600905SH,5.96,6.12,6.28,5.9,6271879,3834746288.0,6.32,1.83,0.11,9.02
36,2021-08-02,600905SH,6.13,6.1,6.17,5.95,5336996,3230837664.0,3.59,-0.33,-0.02,7.68
37,2021-08-03,600905SH,6.03,5.99,6.14,5.97,4661173,2811818128.0,2.79,-1.8,-0.11,6.71
38,2021-08-04,600905SH,5.97,6.11,6.15,5.93,5145233,3100822752.0,3.67,2.0,0.12,7.4
39,2021-08-05,600905SH,6.05,6.0,6.1,5.98,3824343,2303100624.0,1.96,-1.8,-0.11,5.5
40,2021-08-06,600905SH,5.96,5.94,5.99,5.92,3261068,1937120688.0,1.17,-1.0,-0.06,4.69
41,2021-08-09,600905SH,5.96,5.89,5.99,5.88,3502734,2070615248.0,1.85,-0.84,-0.05,5.04
42,2021-08-10,600905SH,5.87,5.85,5.89,5.82,3829402,2237084736.0,1.19,-0.68,-0.04,5.51
43,2021-08-11,600905SH,5.85,5.92,6.03,5.77,5956447,3516384192.0,4.44,1.2,0.07,8.57
44,2021-08-12,600905SH,5.85,5.82,5.88,5.81,3988231,2322885968.0,1.18,-1.69,-0.1,5.74
45,2021-08-13,600905SH,5.8,5.72,5.81,5.71,3935043,2261638048.0,1.72,-1.72,-0.1,5.66
46,2021-08-16,600905SH,5.73,6.1,6.24,5.73,9753970,5826864384.0,8.92,6.64,0.38,14.04
47,2021-08-17,600905SH,6.15,5.91,6.15,5.9,6630967,3972931536.0,4.1,-3.11,-0.19,9.54
48,2021-08-18,600905SH,5.82,5.83,5.85,5.76,3569778,2072488896.0,1.52,-1.35,-0.08,5.14
49,2021-08-19,600905SH,5.81,5.83,5.9,5.76,2884360,1681640912.0,2.4,0.0,0.0,4.15
50,2021-08-20,600905SH,5.8,5.74,5.81,5.71,3265069,1873368304.0,1.72,-1.54,-0.09,4.7
51,2021-08-23,600905SH,5.72,5.75,5.8,5.7,2708589,1557440288.0,1.74,0.17,0.01,3.9
52,2021-08-24,600905SH,5.73,5.74,5.82,5.7,3582170,2055500576.0,2.09,-0.17,-0.01,5.15
53,2021-08-25,600905SH,5.71,5.62,5.73,5.6,4084025,2301017152.0,2.26,-2.09,-0.12,5.88
54,2021-08-26,600905SH,5.6,5.47,5.6,5.47,4191300,2308667408.0,2.31,-2.67,-0.15,6.03
55,2021-08-27,600905SH,5.55,5.53,5.7,5.52,4121542,2308717376.0,3.29,1.1,0.06,5.93
56,2021-08-30,600905SH,5.55,5.59,5.64,5.38,5184658,2835924864.0,4.7,1.08,0.06,7.46
57,2021-08-31,600905SH,5.53,5.5,5.57,5.47,2859548,1572915856.0,1.79,-1.61,-0.09,4.11
58,2021-09-01,600905SH,5.48,5.53,5.58,5.46,2954181,1633508688.0,2.18,0.55,0.03,4.25
59,2021-09-02,600905SH,5.52,5.98,6.06,5.49,11869268,6973663744.0,10.31,8.14,0.45,17.08
60,2021-09-03,600905SH,5.99,6.5,6.58,5.9,18116618,11559396864.0,11.37,8.7,0.52,26.07
61,2021-09-06,600905SH,6.67,6.38,6.69,6.05,12467688,7876940544.0,9.85,-1.85,-0.12,17.94
62,2021-09-07,600905SH,6.25,6.55,6.69,6.21,10710216,6850215424.0,7.52,2.66,0.17,15.41
63,2021-09-08,600905SH,6.66,6.54,6.88,6.53,11782677,7844719616.0,5.34,-0.15,-0.01,16.95
64,2021-09-09,600905SH,6.37,6.24,6.39,6.22,8024759,5043062016.0,2.6,-4.59,-0.3,11.55
65,2021-09-10,600905SH,6.2,6.12,6.33,6.1,6207038,3836579072.0,3.69,-1.92,-0.12,8.93
66,2021-09-13,600905SH,6.12,6.16,6.19,6.01,5391736,3287389536.0,2.94,0.65,0.04,7.76
67,2021-09-14,600905SH,6.17,5.98,6.17,5.96,4501467,2721651920.0,3.41,-2.92,-0.18,6.48
68,2021-09-15,600905SH,5.94,6.16,6.22,5.92,5179487,3168637536.0,5.02,3.01,0.18,7.45
69,2021-09-16,600905SH,6.14,6.02,6.15,6.0,3740886,2265451104.0,2.44,-2.27,-0.14,5.38
70,2021-09-17,600905SH,5.99,6.62,6.62,5.98,15692461,10078911232.0,10.63,9.97,0.6,22.58
71,2021-09-22,600905SH,6.77,7.28,7.28,6.71,15834136,11236891904.0,8.61,9.97,0.66,22.78
72,2021-09-23,600905SH,7.65,6.96,7.65,6.9,15404211,11079527168.0,10.3,-4.4,-0.32,22.17
73,2021-09-24,600905SH,6.94,7.11,7.35,6.77,12118795,8575362304.0,8.33,2.16,0.15,17.44
74,2021-09-27,600905SH,7.3,6.88,7.35,6.6,9941988,6882182656.0,10.55,-3.23,-0.23,14.31
75,2021-09-28,600905SH,6.77,7.46,7.57,6.72,12860630,9389622016.0,12.35,8.43,0.58,18.51
76,2021-09-29,600905SH,7.29,7.06,7.45,7.01,8832864,6349443584.0,5.9,-5.36,-0.4,12.71
77,2021-09-30,600905SH,7.09,7.37,7.5,6.93,8649668,6223538944.0,8.07,4.39,0.31,12.45
78,2021-10-08,600905SH,7.43,7.14,7.5,7.01,6204876,4431343104.0,6.65,-3.12,-0.23,8.93
79,2021-10-11,600905SH,7.22,6.84,7.25,6.7,6123323,4215289408.0,7.7,-4.2,-0.3,8.81
80,2021-10-12,600905SH,6.7,6.73,6.94,6.45,6047445,4023814896.0,7.16,-1.61,-0.11,8.7
81,2021-10-13,600905SH,6.64,6.49,6.64,6.36,4431096,2871685520.0,4.16,-3.57,-0.24,6.38
82,2021-10-14,600905SH,6.41,6.53,6.69,6.33,4498129,2935874304.0,5.55,0.62,0.04,6.47
83,2021-10-15,600905SH,6.48,6.68,6.75,6.43,4146098,2740001168.0,4.9,2.3,0.15,5.97
84,2021-10-18,600905SH,6.74,7.0,7.18,6.66,6603610,4589898752.0,7.78,4.79,0.32,9.5
85,2021-10-19,600905SH,6.97,6.9,7.03,6.86,4109099,2851204016.0,2.43,-1.43,-0.1,5.91
