,股票代码,股票名称,最新价格,涨跌额,涨跌幅,成交量,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,成交额(万),总市值(万),流通市值(万),所在地域,所属行业,上市日期
0,301315.SZ,N威士顿,57.7,25.41,78.69,147139.0,33.29,65.05,54.3,56.66,32.29,,70.52,143.34,5.29,84482.9,507760.0,120384.72,上海,软件服务,20230621
1,300356.SZ,光一退,1.06,0.18,20.45,175354.0,1.14,1.06,1.05,1.06,0.88,0.72,4.37,-3.05,1.02,1858.47,43237.89,42566.81,,,20121009
2,300460.SZ,惠伦晶体,11.75,1.96,20.02,196027.0,23.6,11.75,9.44,9.72,9.79,2.98,6.98,-19.97,3.27,21737.91,329944.99,329944.99,广东,元器件,20150515
3,688097.SH,博众精工,33.43,5.57,19.99,239128.0,23.4,33.43,26.91,27.5,27.86,4.34,25.93,71.3,3.9,72659.78,1485314.26,308238.11,江苏,专用机械,20210512
4,688543.SH,N国科,50.68,7.01,16.05,226737.0,12.18,55.88,50.56,54.88,43.67,,68.38,196.74,3.49,118409.5,743323.56,168059.01,江西,专用机械,20230621
5,688700.SH,东威科技,81.82,9.98,13.89,138402.0,13.29,86.21,76.66,76.99,71.84,1.93,9.43,92.91,20.34,113075.36,1878849.02,1200576.04,江苏,专用机械,20210615
6,300639.SZ,凯普生物,9.41,1.14,13.78,370903.0,14.63,9.76,8.55,8.61,8.27,7.97,5.82,23.37,1.27,34824.06,610850.03,600161.4,广东,医疗保健,20170412
7,300258.SZ,精锻科技,11.53,1.33,13.04,492518.0,14.9,11.82,10.3,10.3,10.2,9.15,10.62,30.11,1.67,55075.13,555481.68,534642.13,江苏,汽车配件,20110826
8,300585.SZ,奥联电子,22.31,2.52,12.73,563242.0,21.98,23.4,19.05,19.06,19.79,2.88,35.3,1202.39,5.3,119539.73,381748.89,356018.8,江苏,汽车配件,20161229
9,301191.SZ,菲菱科思,120.5,13.52,12.64,87851.0,25.94,128.38,100.63,103.0,106.98,2.86,40.3,37.81,5.28,104556.14,835571.1,262649.57,深圳,通信设备,20220526
10,300526.SZ,中潜退,0.85,0.09,11.84,220975.0,14.47,0.87,0.76,0.76,0.76,0.9,11.56,-3.87,0.79,1779.54,17361.16,16252.72,,,20160802
11,300912.SZ,凯龙高科,22.85,2.31,11.25,198640.0,15.29,23.5,20.36,20.53,20.54,3.08,32.25,4187.38,3.31,43997.04,262825.27,140739.83,江苏,环境保护,20201207
12,301255.SZ,通力科技,41.7,4.2,11.2,158366.0,15.97,43.0,37.01,37.01,37.5,1.3,58.22,65.23,4.64,65024.52,453696.0,113424.0,浙江,机械基件,20221227
13,300680.SZ,隆盛科技,22.35,2.25,11.19,277965.0,10.3,23.26,21.19,21.19,20.1,6.11,16.07,31.91,3.08,62492.1,516339.26,386672.25,江苏,汽车配件,20170725
14,301221.SZ,光庭信息,69.55,6.5,10.31,93820.0,15.34,70.0,60.33,61.9,63.05,1.56,21.66,252.21,3.18,60483.49,644188.1,301271.82,湖北,软件服务,20211222
15,000656.SZ,金科股份,1.18,0.11,10.28,5069592.0,17.76,1.18,0.99,1.04,1.07,0.8,9.55,-5.33,0.52,56214.92,630086.47,626650.97,重庆,全国地产,19961128
16,002490.SZ,山东墨龙,4.37,0.4,10.08,231024.0,10.33,4.37,3.96,3.97,3.97,5.98,4.27,-10.01,3.87,9870.37,348659.75,236686.79,山东,化工机械,20101021
17,605162.SH,新中港,10.29,0.94,10.05,294540.0,11.34,10.29,9.23,9.3,9.35,3.21,29.04,100.9,3.69,29059.02,412064.08,104371.42,浙江,供气供热,20210707
18,002058.SZ,威尔泰,10.95,1.0,10.05,101558.0,11.06,10.95,9.85,9.85,9.95,1.56,7.1,-65.63,10.19,11060.99,157075.92,156713.97,上海,电器仪表,20060802
19,603809.SH,豪能股份,11.28,1.03,10.05,198904.0,11.51,11.28,10.1,10.21,10.25,4.1,5.1,25.63,2.22,21861.08,444154.2,439673.62,四川,汽车配件,20171128
20,002527.SZ,新时达,12.82,1.17,10.04,802643.0,5.06,12.82,12.23,12.51,11.65,1.38,15.29,16.35,4.19,101980.68,850615.58,672802.3,上海,电器仪表,20101224
21,600579.SH,克劳斯,7.89,0.72,10.04,264094.0,9.9,7.89,7.18,7.25,7.17,1.72,5.31,-2.9,1.25,20186.09,392752.02,392752.02,山东,化工机械,20020809
22,600860.SH,京城股份,11.18,1.02,10.04,129605.0,11.42,11.18,10.02,10.15,10.16,3.38,3.89,-96.19,5.72,13978.47,606253.37,372053.27,北京,专用机械,19940506
23,600710.SH,苏美达,8.44,0.77,10.04,392262.0,10.82,8.44,7.61,7.66,7.67,1.67,3.0,10.91,1.81,32250.24,1102896.52,1102896.52,江苏,商贸代理,19960701
24,603211.SH,晋拓股份,17.22,1.57,10.03,229159.0,12.72,17.22,15.23,15.6,15.65,1.63,33.72,68.39,4.19,38187.62,468053.38,117013.34,上海,汽车配件,20220725
25,605555.SH,德昌股份,17.77,1.62,10.03,191025.0,10.96,17.77,16.0,16.22,16.15,3.57,14.08,39.24,2.71,32608.96,661685.14,241136.08,浙江,家用电器,20211021
26,002553.SZ,南方精工,15.58,1.42,10.03,53224.0,0.0,15.58,15.58,15.58,14.16,0.12,2.27,-50.02,4.83,8292.3,542184.0,365030.31,江苏,汽车配件,20110225
27,600137.SH,浪莎股份,17.34,1.58,10.03,42726.0,11.17,17.34,15.58,15.68,15.76,2.22,4.39,146.29,3.19,7146.48,168575.3,168575.3,四川,服饰,19980416
28,000037.SZ,深南电A,9.56,0.87,10.01,492287.0,10.36,9.56,8.66,8.67,8.69,1.6,14.53,-46.25,4.04,46079.53,576241.04,323983.77,深圳,火力发电,19940701
29,603767.SH,中马传动,9.89,0.9,10.01,365514.0,14.91,9.89,8.55,8.65,8.99,2.04,11.89,94.65,2.2,34371.72,304063.1,304063.1,浙江,汽车配件,20170613
30,002992.SZ,宝明科技,59.25,5.39,10.01,53907.0,7.91,59.25,54.99,55.0,53.86,1.02,6.88,-74.12,12.36,31382.67,1101760.47,464352.53,深圳,元器件,20200803
31,603738.SH,泰晶科技,17.7,1.61,10.01,134297.0,14.05,17.7,15.44,16.04,16.09,1.1,3.48,90.11,3.9,22565.49,689137.73,683520.23,湖北,元器件,20160928
32,600148.SH,长春一东,18.25,1.66,10.01,240277.0,14.29,18.25,15.88,15.88,16.59,3.64,16.98,-63.64,5.58,42306.45,258267.52,258267.52,吉林,汽车配件,19980520
33,603052.SH,可川科技,36.83,3.35,10.01,54730.0,2.48,36.83,36.0,36.83,33.48,7.15,22.73,47.59,3.31,20144.26,354746.56,88686.64,江苏,元器件,20221011
34,002851.SZ,麦格米特,36.18,3.29,10.0,176096.0,2.98,36.18,35.2,35.75,32.89,4.58,4.29,27.96,4.94,63526.07,1800209.46,1485033.73,深圳,电气设备,20170306
35,603118.SH,共进股份,13.09,1.19,10.0,1207695.0,13.78,13.09,11.45,11.63,11.9,1.62,15.4,33.98,2.01,150972.98,1038929.05,1026866.56,深圳,通信设备,20150225
36,603042.SH,华脉科技,15.62,1.42,10.0,16328.0,0.0,15.62,15.62,15.62,14.2,0.14,1.02,-31.78,2.63,2550.48,250841.33,250841.33,江苏,通信设备,20170602
37,002892.SZ,科力尔,14.08,1.28,10.0,900990.0,7.42,14.08,13.13,13.3,12.8,2.35,32.7,34.45,4.9,125173.4,625362.5,387927.76,湖南,电气设备,20170817
38,002514.SZ,宝馨科技,9.68,0.88,10.0,356895.0,9.2,9.68,8.87,8.87,8.8,1.6,6.44,170.48,6.05,34043.91,696993.17,536305.17,江苏,机械基件,20101203
39,000790.SZ,华神科技,5.61,0.51,10.0,48540.0,0.0,5.61,5.61,5.61,5.1,0.57,0.78,274.51,3.52,2723.07,352387.98,347241.7,四川,中成药,19980327
40,603040.SH,新坐标,27.51,2.5,10.0,77030.0,11.76,27.51,24.57,25.03,25.01,3.06,5.75,19.39,3.33,20750.86,371997.12,368604.04,浙江,汽车配件,20170209
