,股票代码,股票名称,最新价格,涨跌额,涨跌幅,成交量,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,成交额(万),总市值(万),流通市值(万),所在地域,所属行业,上市日期
0,300769.SZ,德方纳米,110.23,18.37,20.0,158652.0,9.93,110.23,101.11,102.82,91.86,5.6,6.37,-10.73,3.86,172552.2,3078087.84,2744956.87,深圳,化工原料,20190415
1,300503.SZ,昊志机电,19.87,3.31,19.99,781632.0,22.52,19.87,16.14,16.14,16.56,1.2,35.91,-124.14,4.71,146798.48,608166.73,432496.42,广东,机床制造,20160309
2,688609.SH,九联科技,11.9,1.73,17.01,639187.0,21.34,12.2,10.03,10.1,10.17,2.65,19.44,169.9,4.79,74245.23,595000.0,391250.37,广东,家用电器,20210323
3,300412.SZ,迦南科技,5.93,0.82,16.05,816912.0,20.55,6.13,5.08,5.13,5.11,14.96,17.29,89.78,2.82,48272.24,295169.69,280164.72,浙江,医疗保健,20141231
4,300287.SZ,飞利信,4.45,0.56,14.4,1633132.0,15.17,4.45,3.86,3.86,3.89,3.67,12.72,287.54,3.82,69028.58,638696.84,571495.22,北京,软件服务,20120201
5,688328.SH,深科达,33.48,4.2,14.34,109122.0,19.13,34.49,28.89,29.28,29.28,1.94,22.68,-38.36,3.85,35309.67,271322.04,161066.76,深圳,专用机械,20210309
6,688700.SH,东威科技,99.73,12.04,13.73,107968.0,17.87,103.68,88.01,91.75,87.69,1.15,7.36,113.25,24.79,103354.22,2290119.94,1463376.3,江苏,专用机械,20210615
7,688502.SH,茂莱光学,192.0,22.58,13.33,22463.0,15.02,194.97,169.52,172.37,169.42,2.94,18.62,181.39,8.79,41362.67,1013760.0,231579.46,江苏,元器件,20230309
8,688543.SH,国科军工,56.15,6.3,12.64,127961.0,17.15,58.4,49.85,49.85,49.85,0.97,38.59,217.97,3.86,69437.15,823552.05,186197.98,江西,专用机械,20230621
9,300502.SZ,新易盛,67.97,7.37,12.16,957579.0,18.89,70.5,59.05,59.39,60.6,1.41,15.5,111.87,9.9,623619.24,4825319.62,4197948.72,四川,通信设备,20160303
10,300282.SZ,*ST三盛,3.06,0.33,12.09,310377.0,16.48,3.18,2.73,2.74,2.73,1.61,8.29,-21.32,0.85,9252.11,114537.78,114537.78,北京,文教休闲,20111229
11,301069.SZ,凯盛新材,25.44,2.71,11.92,103044.0,11.61,26.1,23.46,23.46,22.73,9.43,7.34,52.8,7.63,25930.25,1070108.16,357279.36,山东,化工原料,20210927
12,300254.SZ,仟源医药,7.38,0.78,11.82,297399.0,13.18,7.52,6.65,6.65,6.6,5.31,13.27,-206.69,3.11,21339.22,178314.5,165363.69,山西,化学制药,20110819
13,300403.SZ,汉宇集团,10.99,1.13,11.46,1071899.0,15.21,11.1,9.6,9.6,9.86,1.7,27.33,35.3,3.66,112962.17,662697.0,430990.99,广东,家用电器,20141030
14,000838.SZ,财信发展,3.92,0.36,10.11,448985.0,10.11,3.92,3.56,3.56,3.56,3.12,4.26,-218.18,4.48,17413.11,431381.17,413076.22,重庆,区域地产,19970626
15,600103.SH,青山纸业,3.16,0.29,10.1,2531365.0,11.15,3.16,2.84,2.85,2.87,1.49,10.98,30.55,1.86,77857.84,728638.43,728638.43,福建,造纸,19970703
16,002356.SZ,赫美集团,4.36,0.4,10.1,87362.0,10.61,4.36,3.94,3.95,3.96,1.16,0.67,383.38,9.29,3672.12,571706.97,571333.17,深圳,其他商业,20100209
17,002031.SZ,巨轮智能,4.48,0.41,10.07,3680380.0,4.67,4.48,4.29,4.48,4.07,0.96,19.03,446.18,4.0,163288.62,985329.26,866348.55,广东,汽车配件,20040816
18,002560.SZ,通达股份,9.52,0.87,10.06,885062.0,5.9,9.52,9.01,9.01,8.65,4.31,19.53,36.31,1.98,82782.27,503245.93,431383.81,河南,电气设备,20110303
19,002245.SZ,蔚蓝锂芯,10.95,1.0,10.05,572324.0,10.25,10.95,9.93,9.96,9.95,3.4,5.29,-251.3,1.99,60486.94,1261490.96,1185460.42,江苏,电气设备,20080605
20,002846.SZ,英联股份,12.82,1.17,10.04,268474.0,11.59,12.82,11.47,11.58,11.65,0.86,12.04,-272.99,5.47,32491.95,408243.37,285751.74,广东,广告包装,20170207
21,002703.SZ,浙江世宝,10.41,0.95,10.04,547703.0,13.74,10.41,9.11,9.32,9.46,0.9,9.9,226.57,5.86,55087.97,822020.07,575735.8,浙江,汽车配件,20121102
22,002125.SZ,湘潭电化,12.61,1.15,10.03,381698.0,5.41,12.61,11.99,12.38,11.46,7.78,6.06,49.07,3.21,47578.58,793776.44,793776.44,湖南,化工原料,20070403
23,002931.SZ,锋龙股份,13.05,1.19,10.03,85166.0,10.2,13.05,11.84,11.84,11.86,3.25,4.71,766.25,3.97,10973.02,259919.96,235782.24,浙江,机械基件,20180403
24,002139.SZ,拓邦股份,13.05,1.19,10.03,1085380.0,6.83,13.05,12.24,12.24,11.86,3.85,10.33,42.99,2.87,140090.45,1656743.66,1371613.0,深圳,元器件,20070629
25,600399.SH,抚顺特钢,10.2,0.93,10.03,530292.0,10.14,10.2,9.26,9.36,9.27,2.41,2.69,83.5,3.29,52293.41,2011542.0,2011542.0,辽宁,特种钢,20001229
26,600081.SH,东风科技,15.03,1.37,10.03,219371.0,13.91,15.03,13.13,13.4,13.66,2.21,7.0,165.71,2.23,31735.36,707039.61,471280.68,上海,汽车配件,19970703
27,000663.SZ,永安林业,12.18,1.11,10.03,155817.0,8.67,12.18,11.22,11.22,11.07,1.98,5.09,18.92,4.26,18762.1,410081.03,373070.33,福建,林业,19961206
28,600237.SH,铜峰电子,8.23,0.75,10.03,806232.0,10.43,8.23,7.45,7.49,7.48,1.84,14.29,52.08,3.73,64329.9,464476.15,464476.15,安徽,元器件,20000609
29,002670.SZ,国盛金控,8.78,0.8,10.03,753949.0,10.53,8.78,7.94,7.95,7.98,3.98,4.64,94.03,1.54,64687.85,1699004.33,1425301.86,江西,证券,20120416
30,002731.SZ,萃华珠宝,14.27,1.3,10.02,50237.0,8.87,14.27,13.12,13.16,12.97,3.19,2.1,25.09,2.67,7084.32,365534.61,341368.28,辽宁,服饰,20141104
31,603368.SH,柳药集团,24.71,2.25,10.02,359686.0,8.95,24.71,22.7,22.7,22.46,9.4,9.93,8.57,1.52,87991.08,895066.79,895066.79,广西,医药商业,20141204
32,603118.SH,共进股份,13.29,1.21,10.02,922854.0,10.68,13.29,12.0,12.0,12.08,1.06,11.76,34.5,2.04,120626.05,1054802.68,1042555.89,深圳,通信设备,20150225
33,605056.SH,咸亨国际,14.17,1.29,10.02,85954.0,11.26,14.17,12.72,12.79,12.88,4.38,5.5,112.39,4.08,12016.29,581876.88,221427.26,浙江,电器仪表,20210720
34,002866.SZ,传艺科技,28.34,2.58,10.02,299666.0,10.36,28.34,25.67,25.67,25.76,1.87,16.59,79.51,3.96,82702.94,820506.07,511799.94,江苏,IT设备,20170426
35,603042.SH,华脉科技,25.16,2.29,10.01,489056.0,2.01,25.16,24.7,25.16,22.87,43.64,30.45,-51.18,4.23,122985.51,404044.04,404044.04,江苏,通信设备,20170602
36,002068.SZ,黑猫股份,11.87,1.08,10.01,724723.0,10.57,11.87,10.73,10.74,10.79,1.92,9.88,-21.34,2.79,83372.75,887562.15,870787.47,江西,化工原料,20060915
37,002896.SZ,中大力德,46.17,4.2,10.01,424553.0,13.34,46.17,40.57,41.09,41.97,0.99,28.08,115.75,6.62,182809.43,697957.82,697957.82,浙江,机械基件,20170829
38,600593.SH,大连圣亚,16.38,1.49,10.01,82729.0,11.08,16.38,14.73,14.9,14.89,1.67,6.42,286.96,11.18,13200.58,210974.4,210974.4,辽宁,旅游景点,20020711
39,001209.SZ,洪兴股份,17.81,1.62,10.01,83399.0,10.32,17.81,16.14,16.21,16.19,1.13,20.7,19.14,1.93,14638.63,234241.96,71752.68,广东,服饰,20210723
40,603773.SH,沃格光电,31.56,2.87,10.0,71052.0,9.27,31.56,28.9,28.99,28.69,0.81,4.54,1270.04,3.93,21960.42,540252.17,493542.28,江西,元器件,20180417
41,603178.SH,圣龙股份,12.32,1.12,10.0,194549.0,12.5,12.32,10.92,10.93,11.2,1.79,8.23,124.72,2.3,23465.28,291259.44,291259.44,浙江,汽车配件,20170328
42,002535.SZ,林州重机,4.18,0.38,10.0,904710.0,14.21,4.18,3.64,3.69,3.8,1.88,15.85,32.26,7.66,36177.32,335103.52,238633.09,河南,工程机械,20110111
43,001223.SZ,欧克科技,90.99,8.27,10.0,38626.0,11.51,90.99,81.47,82.73,82.72,3.22,23.16,51.49,3.37,34083.74,606721.32,151771.32,江西,专用机械,20221212
44,002992.SZ,宝明科技,62.28,5.66,10.0,79972.0,10.49,62.28,56.34,57.0,56.62,1.18,10.2,-77.91,12.99,47913.61,1158103.67,488099.17,深圳,元器件,20200803
45,002805.SZ,丰元股份,21.68,1.97,9.99,67520.0,9.44,21.68,19.82,19.83,19.71,1.64,3.13,-11.38,2.62,14344.44,607175.52,467312.03,山东,电气设备,20160707
46,002006.SZ,精工科技,21.57,1.96,9.99,187580.0,10.5,21.57,19.51,19.56,19.61,3.1,4.12,51.25,7.49,39390.06,981780.12,981780.12,浙江,专用机械,20040625
47,603595.SH,东尼电子,42.82,3.89,9.99,50892.0,10.4,42.82,38.77,38.94,38.93,2.41,2.81,-62.76,5.35,21021.79,995318.04,774340.57,浙江,元器件,20170712
48,002222.SZ,福晶科技,27.74,2.52,9.99,515660.0,11.1,27.74,24.94,25.06,25.22,1.54,12.12,56.06,8.93,138355.57,1185885.0,1180593.51,福建,元器件,20080319
49,600367.SH,红星发展,14.43,1.31,9.98,97341.0,3.2,14.43,14.01,14.4,13.12,1.51,3.32,-164.93,2.48,14010.79,423140.41,423140.41,贵州,化工原料,20010320
50,002585.SZ,双星新材,12.56,1.14,9.98,952020.0,11.21,12.56,11.28,11.5,11.42,1.25,10.78,1467.35,1.53,114837.06,1452285.27,1109579.86,江苏,塑料,20110602
51,002463.SZ,沪电股份,20.94,1.9,9.98,1039166.0,8.77,20.94,19.27,19.4,19.04,1.5,5.46,49.79,4.79,212452.57,3989207.53,3987117.5,江苏,元器件,20100818
52,600137.SH,浪莎股份,19.18,1.74,9.98,55616.0,9.75,19.18,17.48,17.65,17.44,0.83,5.72,161.82,3.53,10324.39,186463.33,186463.33,四川,服饰,19980416
53,600714.SH,金瑞矿业,9.37,0.85,9.98,48680.0,6.46,9.37,8.82,8.82,8.52,4.61,1.69,211.5,3.7,4435.33,270021.17,270021.17,青海,化工原料,19960606
54,688359.SH,三孚新科,74.0,6.71,9.97,26384.0,16.05,77.0,66.2,69.14,67.29,2.86,5.28,-140.24,14.72,19111.34,687608.0,369763.2,广东,化工原料,20210521
55,002962.SZ,五方光电,14.78,1.34,9.97,237375.0,9.82,14.78,13.46,13.46,13.44,0.65,11.35,88.62,2.45,34370.5,433762.19,309188.75,湖北,元器件,20190917
56,600729.SH,重庆百货,31.44,2.85,9.97,42694.0,10.25,31.45,28.52,28.52,28.59,2.89,1.06,6.74,2.39,13054.92,1278125.49,1263248.09,重庆,百货,19960702
57,002166.SZ,莱茵生物,8.5,0.77,9.96,576887.0,3.75,8.5,8.21,8.25,7.73,3.28,12.37,79.09,2.1,48810.58,630770.06,396473.67,广西,中成药,20070913
58,002647.SZ,仁东控股,5.63,0.51,9.96,293335.0,10.16,5.63,5.11,5.12,5.12,3.02,5.24,-25.02,20.21,16144.44,315244.33,315244.33,广东,多元金融,20111228
59,002286.SZ,保龄宝,9.39,0.85,9.95,124245.0,0.0,9.39,9.39,9.39,8.54,3.21,3.36,51.05,1.73,11666.62,348153.57,347211.48,山东,食品,20090828
60,002426.SZ,胜利精密,2.21,0.2,9.95,1187853.0,9.95,2.21,2.01,2.01,2.01,3.36,3.77,-24.75,1.81,25433.49,760575.42,696269.94,江苏,元器件,20100608
61,000678.SZ,襄阳轴承,8.07,0.73,9.95,563286.0,3.54,8.07,7.81,7.91,7.34,1.84,12.26,-42.59,4.37,45037.99,370906.72,370906.72,湖北,汽车配件,19970106
62,301376.SZ,致欧科技,23.7,2.14,9.93,141356.0,12.29,25.25,22.6,22.66,21.56,1.09,42.25,27.22,3.42,34071.77,951555.0,79289.98,河南,家居用品,20230621
63,000797.SZ,中国武夷,3.22,0.29,9.9,525079.0,9.9,3.22,2.93,2.94,2.93,1.86,3.34,-13.27,1.02,16585.05,505782.86,505592.97,福建,全国地产,19970715
64,301206.SZ,三元生物,34.99,3.14,9.86,84955.0,8.92,37.42,34.58,36.66,31.85,10.22,8.32,226.66,1.58,30497.61,707937.62,357221.05,山东,食品,20220210
65,000961.SZ,中南建设,1.57,0.14,9.79,1189529.0,9.09,1.57,1.44,1.45,1.43,0.81,3.12,-2.26,0.44,18485.01,600769.75,598346.61,江苏,全国地产,20000301
66,301191.SZ,菲菱科思,103.42,9.2,9.76,65687.0,17.99,109.25,92.3,92.3,94.22,1.1,30.14,32.45,4.54,66298.93,717134.96,225420.9,深圳,通信设备,20220526
67,688371.SH,菲沃泰,21.63,1.92,9.74,74228.0,11.26,21.8,19.58,19.58,19.71,2.76,9.42,-170.02,3.65,15798.76,725626.71,170430.71,江苏,元器件,20220802
68,300045.SZ,华力创通,11.6,1.01,9.54,383421.0,12.28,11.75,10.45,10.57,10.59,1.59,7.78,933.5,4.46,43358.89,768703.27,571616.59,北京,IT设备,20100120
69,688323.SH,瑞华泰,23.94,2.08,9.52,35912.0,10.89,24.09,21.71,22.12,21.86,4.28,3.67,-141.68,4.85,8366.21,430920.23,233975.14,深圳,塑料,20210428
70,688659.SH,元琛科技,16.93,1.46,9.44,199166.0,10.92,17.25,15.56,15.68,15.47,1.35,22.64,213.84,4.19,32891.25,270880.0,148927.93,安徽,环境保护,20210331
71,688195.SH,腾景科技,53.43,4.58,9.38,132663.0,19.55,57.55,48.0,48.58,48.85,1.24,16.21,264.15,7.97,69395.67,691117.05,437271.12,福建,元器件,20210326
72,301150.SZ,中一科技,50.01,4.16,9.07,36523.0,12.02,51.0,45.49,45.53,45.85,2.55,5.37,36.74,1.71,17765.68,656766.28,339975.0,湖北,电气设备,20220421
73,000988.SZ,华工科技,38.01,3.14,9.0,1286871.0,11.9,38.36,34.21,34.43,34.87,1.48,12.8,31.01,4.53,472848.38,3821915.79,3819950.48,湖北,专用机械,20000608
74,300969.SZ,恒帅股份,88.15,7.27,8.99,46203.0,14.49,90.6,78.88,79.8,80.88,1.46,23.1,43.16,7.54,39995.02,705200.0,176300.0,浙江,汽车配件,20210412
75,300650.SZ,太龙股份,13.46,1.11,8.99,133822.0,11.5,13.67,12.25,12.28,12.35,1.99,8.95,143.32,2.65,17430.61,293826.59,201183.58,福建,元器件,20170503
76,002669.SZ,康达新材,13.35,1.09,8.89,210550.0,10.03,13.48,12.25,12.26,12.26,3.32,7.24,-68.65,1.35,27461.97,407712.97,388056.6,上海,化工原料,20120416
77,688392.SH,骄成超声,110.99,8.99,8.81,24625.0,12.39,115.53,102.89,104.0,102.0,1.12,9.64,103.57,7.48,26838.8,1274165.2,283535.21,上海,专用机械,20220927
78,002198.SZ,嘉应制药,8.97,0.72,8.73,661016.0,10.42,9.08,8.22,8.3,8.25,6.34,13.02,93.39,6.15,59013.66,455236.33,455236.33,广东,中成药,20071218
79,300570.SZ,太辰光,54.71,4.36,8.66,385341.0,14.94,56.8,49.28,49.55,50.35,1.18,19.9,109.79,9.4,208095.77,1258312.49,1059318.82,深圳,通信设备,20161206
80,600963.SH,岳阳林纸,7.37,0.58,8.54,516217.0,6.77,7.43,6.97,6.98,6.79,4.47,2.92,38.0,1.47,37646.38,1329705.06,1300844.18,湖南,造纸,20040525
81,300170.SZ,汉得信息,11.54,0.88,8.26,1262093.0,12.38,11.82,10.5,10.52,10.66,1.06,13.54,88.76,2.47,141528.46,1122709.15,1075654.98,上海,软件服务,20110201
82,688348.SH,昱能科技,187.83,14.2,8.18,37837.0,13.33,194.98,171.84,175.0,173.63,1.6,8.75,44.71,5.74,69756.34,2103696.0,811877.35,浙江,电气设备,20220608
83,000413.SZ,东旭光电,1.72,0.13,8.18,1378600.0,10.06,1.75,1.59,1.6,1.59,5.72,2.74,-10.75,0.43,23506.22,968832.99,865038.23,河北,元器件,19960925
84,300476.SZ,胜宏科技,24.11,1.82,8.17,758636.0,10.86,24.44,22.02,22.28,22.29,1.49,8.86,41.61,3.02,177155.37,2079942.31,2064593.46,广东,元器件,20150611
85,688148.SH,芳源股份,12.2,0.92,8.16,178515.0,12.15,12.58,11.21,11.27,11.28,3.2,4.63,1461.8,4.62,21581.52,624159.38,470047.28,广东,电气设备,20210806
86,301117.SZ,佳缘科技,64.62,4.87,8.15,29603.0,11.38,65.3,58.5,59.75,59.75,2.04,5.41,178.09,4.54,18570.43,596205.44,353812.39,四川,软件服务,20220117
