,股票代码,股票名称,最新价格,涨跌额,涨跌幅,成交量,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,成交额(万),总市值(万),流通市值(万),所在地域,所属行业,上市日期
182,002616.SZ,长青集团,6.05,0.14,2.37,496929.0,5.92,6.2,5.85,5.9,5.91,0.91,10.57,69.7,1.89,30115.23,448881.25,284480.91,广东,环境保护,20110920
183,000007.SZ,*ST全新,5.19,0.12,2.37,42105.0,2.76,5.24,5.1,5.1,5.07,1.21,1.36,-1935.91,19.92,2179.64,179806.53,160344.03,深圳,其他商业,19920413
184,000573.SZ,粤宏远Ａ,3.9,0.09,2.36,1209338.0,6.82,3.99,3.73,3.78,3.81,5.29,19.11,74.01,1.54,46496.47,248929.44,246842.71,广东,电气设备,19940815
185,301360.SZ,荣旗科技,97.72,2.25,2.36,15335.0,5.27,99.8,94.77,95.48,95.47,1.87,12.82,-200.74,4.79,14896.48,521238.48,116900.9,江苏,专用机械,20230425
186,603200.SH,上海洗霸,20.11,0.46,2.34,59216.0,4.73,20.5,19.57,19.65,19.65,2.16,3.4,80.04,3.86,11960.86,350575.91,350575.91,上海,环境保护,20170601
187,002719.SZ,麦趣尔,10.12,0.23,2.33,259971.0,7.28,10.61,9.89,9.96,9.89,3.88,16.06,-54.4,3.22,26561.71,176229.13,163805.05,新疆,乳制品,20140128
188,000707.SZ,双环科技,8.82,0.2,2.32,200008.0,3.25,8.99,8.71,8.76,8.62,3.68,4.31,4.55,2.42,17670.26,409376.56,409376.56,湖北,化工原料,19970415
189,000882.SZ,华联股份,1.77,0.04,2.31,760723.0,4.62,1.81,1.73,1.74,1.73,4.31,2.78,143.57,0.7,13474.44,484511.29,484510.6,北京,其他商业,19980616
190,600665.SH,天地源,3.99,0.09,2.31,185185.0,4.36,4.06,3.89,3.92,3.9,1.56,2.14,54.82,0.78,7399.18,344784.89,344784.89,陕西,全国地产,19930709
191,601113.SH,华鼎股份,3.55,0.08,2.31,200030.0,4.32,3.6,3.45,3.46,3.47,2.08,1.81,181.54,1.0,7086.53,391974.04,391974.04,浙江,互联网,20110509
192,002329.SZ,皇氏集团,6.69,0.15,2.29,247557.0,4.28,6.81,6.53,6.57,6.54,1.54,4.21,297.89,3.49,16499.65,581427.46,393808.78,广西,乳制品,20100106
193,600655.SH,豫园股份,7.16,0.16,2.29,249874.0,2.86,7.21,7.01,7.02,7.0,1.44,0.64,20.79,0.81,17833.36,2792350.53,2783467.7,上海,百货,19920902
194,002539.SZ,云图控股,9.49,0.21,2.26,413348.0,4.42,9.7,9.29,9.3,9.28,3.4,4.68,8.1,1.49,39388.81,1146129.85,838239.47,四川,农药化肥,20110118
195,000416.SZ,*ST民控,2.26,0.05,2.26,130104.0,4.52,2.31,2.21,2.21,2.21,1.01,2.45,-464.49,1.41,2954.48,120202.96,120150.89,山东,多元金融,19960719
196,300568.SZ,星源材质,16.79,0.37,2.25,300766.0,5.42,17.38,16.49,16.49,16.42,1.98,2.62,29.41,2.53,51293.31,2151945.7,1930016.54,深圳,化工原料,20161201
197,603800.SH,道森股份,34.19,0.75,2.24,55955.0,5.71,35.18,33.27,33.43,33.44,0.87,2.69,100.26,7.01,19186.0,711152.0,711152.0,江苏,专用机械,20151210
198,002761.SZ,浙江建投,15.14,0.33,2.23,305852.0,4.25,15.35,14.72,14.8,14.81,3.06,2.83,12.15,2.45,46073.49,1637148.91,1637148.91,浙江,建筑工程,20150610
199,301231.SZ,荣信文化,34.48,0.75,2.22,48196.0,8.63,35.81,32.9,33.73,33.73,1.57,22.84,212.89,3.18,16549.47,291011.2,72752.8,陕西,出版业,20220908
200,003016.SZ,欣贺股份,10.13,0.22,2.22,31512.0,2.72,10.19,9.92,9.94,9.91,0.94,2.14,22.32,1.58,3178.7,437169.25,149290.48,福建,服饰,20201026
201,000797.SZ,中国武夷,3.23,0.07,2.22,502108.0,4.11,3.26,3.13,3.16,3.16,2.07,3.2,-13.31,1.02,16118.63,507353.61,507163.14,福建,全国地产,19970715
202,301168.SZ,通灵股份,56.64,1.22,2.2,38867.0,5.49,58.38,55.34,55.35,55.42,1.65,7.83,45.71,3.45,22240.37,679680.0,281234.59,江苏,电气设备,20211210
203,601886.SH,江河集团,9.76,0.21,2.2,86036.0,3.66,9.83,9.48,9.6,9.55,1.24,0.76,16.9,1.71,8358.6,1105810.01,1105810.01,北京,装修装饰,20110818
204,601022.SH,宁波远洋,10.7,0.23,2.2,101957.0,2.96,10.79,10.48,10.49,10.47,5.29,7.79,22.31,2.74,10883.63,1400237.67,140023.77,浙江,水运,20221208
205,002968.SZ,新大正,15.44,0.33,2.18,32773.0,4.04,15.63,15.02,15.15,15.11,2.33,1.59,18.56,3.2,5053.13,351918.18,317398.78,重庆,房产服务,20191203
206,600683.SH,京投发展,6.1,0.13,2.18,488218.0,6.53,6.24,5.85,5.94,5.97,1.1,6.59,9.15,1.57,29773.37,451874.33,451874.33,浙江,区域地产,19931025
207,002634.SZ,棒杰股份,8.45,0.18,2.18,72984.0,3.75,8.62,8.31,8.31,8.27,1.91,1.91,260.39,4.09,6204.29,397300.0,322844.9,浙江,服饰,20111205
208,002601.SZ,龙佰集团,17.46,0.37,2.17,266583.0,3.74,17.69,17.05,17.09,17.09,3.03,1.79,18.0,2.08,46736.4,4171660.11,2602821.49,河南,化工原料,20110715
209,301408.SZ,华人健康,17.98,0.38,2.16,49575.0,4.03,18.18,17.47,17.66,17.6,1.42,8.8,60.99,3.87,8861.54,719217.98,101310.27,安徽,医药商业,20230301
210,301192.SZ,泰祥股份,28.9,0.61,2.16,87201.0,10.07,30.88,28.03,28.22,28.29,1.29,34.92,67.71,5.15,25796.57,288711.0,72177.75,湖北,汽车配件,20220811
211,000752.SZ,*ST西发,4.27,0.09,2.15,31812.0,3.35,4.28,4.14,4.19,4.18,2.28,1.21,-41.24,-29.95,1343.38,112624.88,112624.88,西藏,啤酒,19970625
212,600338.SH,西藏珠峰,18.16,0.38,2.14,169785.0,3.43,18.45,17.84,17.85,17.78,2.03,1.86,950.4,4.88,30924.33,1660205.67,1660205.67,西藏,铅锌,20001227
213,601699.SH,潞安环能,17.24,0.36,2.13,214757.0,2.78,17.43,16.96,16.97,16.88,2.38,0.72,3.81,1.17,37031.06,5157189.46,5157189.46,山西,煤炭开采,20060922
214,300785.SZ,值得买,26.36,0.55,2.13,93531.0,6.51,27.26,25.58,25.64,25.81,1.99,8.22,-1905.77,2.94,24794.74,524182.42,300011.0,北京,互联网,20190715
215,002663.SZ,普邦股份,1.93,0.04,2.12,287678.0,3.17,1.94,1.88,1.89,1.89,3.63,2.21,-58.46,1.16,5524.89,346606.86,251218.25,广东,建筑工程,20120316
216,000889.SZ,ST中嘉,1.93,0.04,2.12,180714.0,2.12,1.95,1.91,1.91,1.89,1.19,2.08,-65.89,7.1,3486.03,180704.19,167880.99,河北,通信设备,19971218
217,301078.SZ,孩子王,11.11,0.23,2.11,189885.0,2.11,11.26,11.03,11.04,10.88,2.06,3.05,406.8,4.12,21163.84,1235481.44,691654.49,江苏,其他商业,20211014
218,300824.SZ,北鼎股份,10.18,0.21,2.11,36363.0,3.11,10.31,10.0,10.1,9.97,2.0,1.15,44.14,4.67,3691.31,332215.83,321749.39,深圳,家用电器,20200619
219,601636.SH,旗滨集团,8.73,0.18,2.11,876864.0,6.08,9.09,8.57,8.57,8.55,2.52,3.27,51.99,1.98,78007.84,2342696.23,2342696.23,湖南,玻璃,20110812
220,301267.SZ,华厦眼科,41.16,0.84,2.08,56266.0,4.41,42.1,40.32,40.33,40.32,1.18,6.25,57.52,6.78,23366.73,3457440.0,370433.83,福建,医疗保健,20221107
221,600539.SH,狮头股份,6.87,0.14,2.08,61623.0,2.53,6.9,6.73,6.78,6.73,3.28,2.68,-88.79,3.72,4218.63,158010.0,158010.0,山西,互联网,20010824
222,603208.SH,江山欧派,37.36,0.76,2.08,31233.0,4.23,37.98,36.43,36.5,36.6,1.38,1.76,28.29,5.66,11640.74,661917.11,661917.11,浙江,家居用品,20170210
223,000014.SZ,沙河股份,12.82,0.26,2.07,308377.0,5.81,13.16,12.43,12.55,12.56,1.21,12.74,4.8,2.39,39341.2,310303.26,310303.26,深圳,全国地产,19920602
224,301219.SZ,腾远钴业,39.76,0.8,2.05,34920.0,4.54,40.73,38.96,38.96,38.96,2.05,2.1,367.31,1.43,13961.64,1171795.52,661104.52,江西,小金属,20220317
225,300254.SZ,仟源医药,7.47,0.15,2.05,124728.0,5.19,7.7,7.32,7.38,7.32,2.78,5.57,-209.21,3.15,9284.02,180489.07,167380.33,山西,化学制药,20110819
226,002921.SZ,联诚精密,16.02,0.32,2.04,84964.0,2.8,16.11,15.67,15.81,15.7,1.44,7.65,-304.16,1.92,13553.12,209649.54,177826.46,山东,汽车配件,20171227
227,000983.SZ,山西焦煤,9.03,0.18,2.03,510021.0,2.15,9.12,8.93,8.98,8.85,2.29,1.24,5.19,1.54,46068.87,5126422.26,3699193.68,山西,煤炭开采,20000726
228,300237.SZ,美晨生态,2.01,0.04,2.03,240210.0,3.05,2.02,1.96,1.97,1.97,2.05,1.67,-6.29,3.57,4792.91,289824.9,289129.42,山东,汽车配件,20110629
229,601595.SH,上海电影,26.69,0.53,2.03,189341.0,6.19,27.6,25.98,26.16,26.16,1.19,4.22,83.13,7.43,50898.93,1196245.8,1196245.8,上海,影视音像,20160817
230,002572.SZ,索菲亚,17.18,0.34,2.02,211638.0,4.33,17.5,16.77,16.8,16.84,2.85,3.31,37.56,2.99,36547.1,1567451.73,1097422.9,广东,家居用品,20110412
231,300102.SZ,乾照光电,7.08,0.14,2.02,273787.0,3.03,7.17,6.96,6.96,6.94,2.91,3.01,-15.83,1.62,19443.06,646092.19,643057.17,福建,半导体,20100812
232,002749.SZ,国光股份,11.69,0.23,2.01,31176.0,3.32,11.8,11.42,11.42,11.46,0.85,0.78,23.34,3.62,3645.77,509056.21,467866.67,四川,农药化肥,20150320
233,002701.SZ,奥瑞金,4.59,0.09,2.0,280674.0,4.0,4.66,4.48,4.51,4.5,2.62,1.09,14.03,1.45,12841.3,1181126.54,1180028.88,北京,广告包装,20121011
234,002325.SZ,洪涛股份,1.54,0.03,1.99,431249.0,4.64,1.56,1.49,1.52,1.51,2.14,3.01,-5.76,0.93,6623.44,270503.19,220850.67,深圳,装修装饰,20091222
235,002250.SZ,联化科技,10.32,0.2,1.98,224733.0,5.04,10.64,10.13,10.19,10.12,1.78,2.45,53.42,1.38,23460.2,952790.14,948544.89,浙江,化工原料,20080619
236,002803.SZ,吉宏股份,20.23,0.39,1.97,174709.0,3.33,20.5,19.84,19.97,19.84,1.41,6.25,27.17,3.69,35360.01,765521.99,565098.36,福建,互联网,20160712
237,300952.SZ,恒辉安防,22.93,0.44,1.96,41252.0,4.4,23.43,22.44,22.69,22.49,2.77,9.2,65.88,3.24,9483.59,333802.34,102847.13,江苏,纺织,20210311
238,300748.SZ,金力永磁,18.31,0.35,1.95,310780.0,5.35,18.85,17.89,17.89,17.96,1.28,2.75,34.49,3.63,57553.21,2458191.57,2070399.31,江西,矿物制品,20180921
239,603697.SH,有友食品,9.42,0.18,1.95,47765.0,3.46,9.52,9.2,9.3,9.24,2.24,1.12,21.23,2.28,4502.03,402885.96,402885.96,重庆,食品,20190508
240,300208.SZ,青岛中程,8.38,0.16,1.95,97275.0,5.84,8.74,8.26,8.26,8.22,2.61,1.42,-32.99,5.97,8277.01,628060.05,576009.06,山东,电气设备,20110426
241,600160.SH,巨化股份,15.26,0.29,1.94,356229.0,3.47,15.5,14.98,14.98,14.97,1.06,1.32,67.49,2.76,54440.26,4119812.52,4119812.52,浙江,化工原料,19980626
242,301023.SZ,江南奕帆,44.17,0.83,1.92,21807.0,5.51,45.65,43.26,43.48,43.34,1.4,9.2,43.07,3.0,9719.5,247353.1,104670.5,江苏,电气设备,20210707
243,300708.SZ,聚灿光电,10.65,0.2,1.91,254315.0,3.92,11.02,10.61,10.76,10.45,3.0,6.72,117.27,3.49,27524.22,588074.73,402964.21,江苏,半导体,20171016
244,000428.SZ,华天酒店,4.29,0.08,1.9,223663.0,4.99,4.42,4.21,4.21,4.21,2.61,2.2,-24.93,2.48,9661.15,437119.25,437099.73,湖南,酒店餐饮,19960808
245,002470.SZ,ST金正,2.15,0.04,1.9,288093.0,3.79,2.18,2.1,2.11,2.11,0.72,0.91,-43.87,2.39,6174.1,706495.96,680413.89,山东,农药化肥,20100908
246,300781.SZ,因赛集团,23.17,0.43,1.89,28735.0,4.62,23.7,22.65,22.96,22.74,1.67,3.54,54.7,3.79,6679.35,254800.01,187918.4,广东,广告包装,20190606
247,300949.SZ,奥雅股份,38.97,0.72,1.88,13036.0,5.57,39.7,37.57,38.09,38.25,1.62,7.67,-18.76,2.1,5058.41,233820.0,66267.51,深圳,建筑工程,20210226
