,股票代码,股票名称,最新价格,涨跌额,涨跌幅,成交量,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,成交额(万),总市值(万),流通市值(万),所在地域,所属行业,上市日期
0,300989.SZ,蕾奥规划,19.75,3.29,19.99,147568.0,19.14,19.75,16.6,16.6,16.46,3.81,36.44,211.63,3.18,27296.84,321709.72,79987.5,深圳,建筑工程,20210507
1,301085.SZ,亚康股份,66.19,9.47,16.7,147389.0,16.08,68.0,58.88,60.0,56.72,3.46,46.32,63.16,6.7,91402.24,529520.0,210624.68,北京,软件服务,20211018
2,688228.SH,开普云,57.01,6.4,12.65,90775.0,21.73,60.6,49.6,50.5,50.61,3.9,13.52,-166.93,3.07,50573.26,382727.74,382727.74,广东,互联网,20200327
3,300499.SZ,高澜股份,20.08,2.2,12.3,1178147.0,8.67,21.21,19.66,20.19,17.88,2.56,43.33,-268.04,4.25,239329.95,619709.21,545997.63,广东,专用机械,20160202
4,688076.SH,诺泰生物,39.79,4.1,11.49,168354.0,19.61,42.5,35.5,36.31,35.69,3.85,11.5,100.92,4.39,64607.73,848258.34,582421.99,江苏,生物制药,20210520
5,300964.SZ,本川智能,56.22,5.39,10.6,171103.0,17.88,60.17,51.08,51.18,50.83,2.71,51.99,148.06,4.3,92481.73,434570.95,185014.59,江苏,元器件,20210805
6,000656.SZ,金科股份,1.07,0.1,10.31,7627486.0,10.31,1.07,0.97,0.98,0.97,1.22,14.36,-4.84,0.47,79836.69,571349.59,568234.35,重庆,全国地产,19961128
7,002175.SZ,东方智造,3.6,0.33,10.09,1191127.0,7.65,3.6,3.35,3.39,3.27,5.24,9.33,1535.25,9.39,42196.5,459641.06,459637.46,广西,电器仪表,20071012
8,000809.SZ,铁岭新城,4.15,0.38,10.08,177850.0,9.28,4.15,3.8,3.8,3.77,0.97,2.16,-28.12,1.2,7273.22,342288.39,342288.39,辽宁,区域地产,19980616
9,000802.SZ,北京文化,8.31,0.76,10.07,928954.0,7.02,8.31,7.78,7.95,7.55,2.34,12.98,-126.47,3.9,75891.17,594913.11,594551.63,北京,影视音像,19980108
10,600683.SH,京投发展,6.02,0.55,10.05,1005020.0,11.88,6.02,5.37,5.47,5.47,3.66,13.57,9.03,1.55,58660.79,445948.11,445948.11,浙江,区域地产,19931025
11,002599.SZ,盛通股份,8.43,0.77,10.05,526736.0,11.36,8.43,7.56,7.66,7.66,1.26,13.34,-46.47,3.17,42924.05,453185.6,332850.11,北京,广告包装,20110715
12,603680.SH,今创集团,10.96,1.0,10.04,72014.0,11.35,10.96,9.83,9.86,9.96,0.66,0.92,79.12,1.77,7712.09,858955.77,858955.77,江苏,运输设备,20180227
13,002292.SZ,奥飞娱乐,12.28,1.12,10.04,1321862.0,9.68,12.28,11.2,11.2,11.16,1.06,13.55,272.26,5.58,157143.33,1815843.23,1197664.27,广东,影视音像,20090910
14,002806.SZ,华锋股份,12.39,1.13,10.04,178239.0,11.19,12.39,11.13,11.26,11.26,7.88,11.95,-43.11,2.06,21294.35,234665.79,184768.49,广东,铝,20160726
15,002989.SZ,中天精装,16.12,1.47,10.03,39206.0,10.78,16.12,14.54,14.65,14.65,2.41,4.18,23.25,1.86,6181.51,292895.73,151312.16,深圳,装修装饰,20200610
16,603038.SH,华立股份,9.77,0.89,10.02,360398.0,10.7,9.77,8.82,8.98,8.88,4.16,17.44,63.29,1.51,33660.26,201921.18,201921.18,广东,家居用品,20170116
17,603800.SH,道森股份,27.56,2.51,10.02,56961.0,11.42,27.56,24.7,25.11,25.05,2.2,2.74,80.82,5.65,15109.89,573248.0,573248.0,江苏,专用机械,20151210
18,600822.SH,上海物贸,11.09,1.01,10.02,597460.0,12.6,11.09,9.82,10.49,10.08,4.07,15.08,9.83,4.77,62974.88,550033.96,439328.03,上海,商贸代理,19940204
19,001322.SZ,箭牌家居,18.67,1.7,10.02,99000.0,11.02,18.67,16.8,16.88,16.97,2.59,10.25,1448.7,3.95,18100.53,1802799.1,180369.97,广东,家居用品,20221026
20,600892.SH,大晟文化,6.37,0.58,10.02,297629.0,6.39,6.37,6.0,6.0,5.79,2.01,5.32,6196.01,19.93,18746.53,356378.69,356286.54,深圳,影视音像,19960315
21,603918.SH,金桥信息,30.98,2.82,10.01,954452.0,13.71,30.98,27.12,27.3,28.16,1.19,26.11,630.21,10.49,281450.48,1139317.5,1132583.69,上海,软件服务,20150528
22,603097.SH,江苏华辰,24.17,2.2,10.01,168524.0,9.97,24.17,21.98,22.03,21.97,4.18,42.13,77.12,4.71,38979.35,386720.0,96680.0,江苏,电气设备,20220512
23,002880.SZ,卫光生物,40.32,3.67,10.01,66087.0,13.21,40.32,35.48,36.0,36.65,2.42,2.91,49.99,4.85,25599.84,914457.6,914457.6,深圳,生物制药,20170616
24,603256.SH,宏和科技,8.13,0.74,10.01,153836.0,9.88,8.13,7.4,7.4,7.39,11.78,1.75,-477.19,4.78,12085.8,719342.4,713651.4,上海,玻璃,20190719
25,605128.SH,上海沿浦,40.89,3.72,10.01,26724.0,6.62,40.89,38.43,38.43,37.17,2.25,6.41,73.26,3.07,10745.47,327120.0,170552.19,上海,汽车配件,20200915
26,601949.SH,中国出版,15.28,1.39,10.01,1968334.0,9.86,15.28,13.91,14.09,13.89,1.52,10.8,211.29,3.39,293237.43,2784780.0,2784780.0,北京,出版业,20170821
27,605178.SH,时空科技,23.2,2.11,10.0,43764.0,10.86,23.2,20.91,21.15,21.09,10.78,7.05,-12.63,1.33,9969.37,230263.71,144032.59,北京,装修装饰,20200821
28,603779.SH,威龙股份,8.14,0.74,10.0,340241.0,11.35,8.14,7.3,7.44,7.4,1.95,10.23,-38.18,3.96,27022.54,270857.81,270857.81,山东,红黄酒,20160516
29,600257.SH,大湖股份,5.39,0.49,10.0,585465.0,11.02,5.39,4.85,4.9,4.9,9.02,12.17,-70.97,2.98,30572.33,259386.84,259386.84,湖南,渔业,20000612
30,600088.SH,中视传媒,16.94,1.54,10.0,691177.0,11.95,16.94,15.1,15.15,15.4,1.85,17.38,443.46,6.65,113955.45,673714.64,673714.64,上海,影视音像,19970616
31,001314.SZ,亿道信息,50.28,4.57,10.0,44863.0,0.0,50.28,50.28,50.28,45.71,0.54,12.78,68.71,3.61,22556.88,706162.49,176540.62,深圳,元器件,20230214
32,600732.SH,爱旭股份,37.08,3.37,10.0,567209.0,10.89,37.08,33.41,33.78,33.71,2.18,4.96,17.26,4.95,202557.31,4844942.15,4237073.12,上海,电气设备,19960816
33,002902.SZ,铭普光磁,26.52,2.41,10.0,275249.0,6.3,26.52,25.0,26.0,24.11,1.01,18.41,247.11,5.11,72397.77,560951.04,396445.37,广东,元器件,20170929
34,002837.SZ,英维克,30.71,2.79,9.99,182738.0,2.61,30.71,29.98,30.0,27.92,1.17,3.79,172.83,8.33,55923.75,1735042.52,1480776.33,深圳,专用机械,20161229
