,股票代码,股票名称,最新价格,涨跌额,涨跌幅,成交量,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,成交额(万),总市值(万),流通市值(万),所在地域,所属行业,上市日期
0,300211.SZ,亿通科技,12.58,2.1,20.04,384004.0,19.75,12.58,10.51,10.51,10.48,4.38,12.89,-210.95,7.4,45899.62,381626.53,374791.94,江苏,通信设备,20110505
1,688322.SH,奥比中光-UW,49.8,8.3,20.0,72968.0,18.39,49.8,42.17,43.46,41.5,0.75,22.41,-73.11,6.26,34250.91,1992004.98,162134.81,深圳,元器件,20220707
2,688525.SH,佰维存储,99.32,16.55,20.0,147924.0,23.73,99.32,79.68,82.17,82.77,1.48,42.52,-84.79,18.62,129453.48,4274028.98,345499.35,深圳,IT设备,20221230
3,300895.SZ,铜牛信息,37.81,6.3,19.99,206334.0,17.36,37.81,32.34,32.66,31.51,4.82,30.78,-2126.96,4.9,73108.54,532367.28,253473.02,北京,软件服务,20200924
4,300369.SZ,绿盟科技,13.99,2.33,19.98,966381.0,16.38,13.99,12.08,12.08,11.66,4.24,13.1,-15.42,3.21,126880.6,1119003.39,1032161.88,北京,软件服务,20140129
5,300344.SZ,立方数科,7.71,1.19,18.25,1720988.0,14.42,7.82,6.88,7.0,6.52,5.12,26.92,-94.68,10.13,128935.91,494755.65,492831.98,安徽,软件服务,20120801
6,300053.SZ,欧比特,14.72,2.15,17.1,1115536.0,20.6,15.04,12.45,12.58,12.57,3.13,17.62,94.1,4.07,155109.02,1025799.0,931700.82,广东,半导体,20100211
7,300030.SZ,阳普医疗,9.0,1.22,15.68,548858.0,19.15,9.34,7.85,7.85,7.78,6.85,20.45,51.03,3.49,49238.22,278268.58,241568.98,广东,医疗保健,20091225
8,688088.SH,虹软科技,50.51,5.92,13.28,254434.0,16.08,53.4,46.23,46.23,44.59,1.65,6.27,181.89,7.86,128273.85,2050706.0,2050706.0,浙江,软件服务,20190722
9,300424.SZ,航新科技,15.38,1.64,11.94,304727.0,19.36,16.2,13.54,13.54,13.74,5.65,12.74,-429.03,5.21,46241.01,368956.75,367917.25,广东,航空,20150422
10,300404.SZ,博济医药,11.55,1.23,11.92,725313.0,12.4,12.38,11.1,11.38,10.32,6.97,26.84,90.9,4.87,85847.12,426810.78,312068.58,广东,医疗保健,20150424
11,301321.SZ,翰博高新,16.21,1.72,11.87,155564.0,21.67,17.39,14.25,14.49,14.49,10.15,16.67,248.92,2.33,25020.73,302211.14,151253.79,安徽,元器件,20220818
12,300977.SZ,深圳瑞捷,17.96,1.9,11.83,80879.0,21.92,19.27,15.75,16.06,16.06,7.0,21.06,99.35,1.99,14420.41,275352.94,68987.73,深圳,建筑工程,20210420
13,301360.SZ,荣旗科技,108.36,11.35,11.7,50880.0,18.64,113.5,95.42,95.51,97.01,1.14,42.53,-222.59,5.31,52884.11,577992.24,129629.37,江苏,专用机械,20230425
14,300753.SZ,爱朋医疗,25.45,2.65,11.62,460783.0,9.69,27.36,25.15,26.99,22.8,5.51,61.87,659.75,4.67,123359.03,320792.16,189552.68,江苏,医疗保健,20181213
15,300044.SZ,赛为智能,5.28,0.53,11.16,2359277.0,20.63,5.6,4.62,4.65,4.75,1.38,35.25,-51.96,5.19,121537.0,406645.13,353374.46,深圳,软件服务,20100120
16,300502.SZ,新易盛,84.43,8.12,10.64,619350.0,20.3,87.87,72.38,75.32,76.31,1.25,14.04,99.26,8.78,489465.6,4281328.95,3724687.1,四川,通信设备,20160303
17,600781.SH,退市辅仁,0.63,0.06,10.53,114041.0,12.28,0.63,0.56,0.57,0.57,0.65,3.05,-0.8,-0.19,675.16,39510.92,23578.58,河南,化学制药,19961218
18,000659.SZ,珠海中富,2.92,0.27,10.19,393686.0,10.94,2.92,2.63,2.66,2.65,4.64,3.06,-39.46,9.9,11160.27,375425.14,375425.14,广东,广告包装,19961203
19,688468.SH,科美诊断,12.01,1.11,10.18,161440.0,13.67,12.36,10.87,10.87,10.9,4.83,5.87,34.56,3.77,19005.15,481601.0,330274.99,北京,医疗保健,20210409
20,000917.SZ,电广传媒,6.11,0.56,10.09,1227173.0,10.27,6.11,5.54,5.57,5.55,5.71,8.66,82.89,0.85,73879.67,866126.92,865968.38,湖南,影视音像,19990325
21,002093.SZ,国脉科技,8.65,0.79,10.05,183966.0,0.0,8.65,8.65,8.65,7.86,1.23,1.83,50.86,2.42,15913.08,871487.5,870757.66,福建,通信设备,20061215
22,000888.SZ,峨眉山Ａ,11.17,1.02,10.05,254803.0,10.84,11.17,10.07,10.14,10.15,1.38,4.84,20.97,2.52,27617.19,588561.93,588561.93,四川,旅游景点,19971021
23,002777.SZ,久远银海,31.19,2.84,10.02,377960.0,11.89,31.19,27.82,28.19,28.35,1.78,9.48,190.05,8.38,110937.06,1273272.61,1243851.22,四川,软件服务,20151231
24,603069.SH,海汽集团,21.2,1.93,10.02,134718.0,10.9,21.2,19.1,19.33,19.27,2.06,4.26,-52.62,7.08,27758.12,669920.0,669920.0,海南,公路,20160712
25,600083.SH,博信股份,8.13,0.74,10.01,189712.0,6.9,8.13,7.62,7.98,7.39,8.83,8.32,-83.71,23.72,14875.62,186990.0,185358.57,江苏,综合类,19970606
26,605588.SH,冠石科技,41.86,3.81,10.01,52345.0,11.04,41.86,37.66,38.2,38.05,5.35,22.66,45.75,2.99,21586.82,305994.76,96694.76,江苏,半导体,20210812
27,600629.SH,华建集团,9.01,0.82,10.01,1455902.0,11.72,9.01,8.05,8.1,8.19,2.31,15.41,24.82,1.89,125802.11,874819.49,851137.72,上海,建筑工程,19930209
28,002528.SZ,英飞拓,9.01,0.82,10.01,1329723.0,10.01,9.01,8.19,8.19,8.19,2.97,12.71,-55.74,8.98,117232.0,1080006.25,942841.77,深圳,IT设备,20101224
29,605398.SH,新炬网络,38.79,3.53,10.01,27938.0,10.12,38.79,35.22,35.22,35.26,3.4,10.35,64.23,3.13,10471.53,323110.97,104697.39,上海,软件服务,20210121
30,002919.SZ,名臣健康,39.23,3.57,10.01,63239.0,10.52,39.23,35.48,35.63,35.66,0.67,2.88,63.89,11.27,23959.41,871573.13,862665.64,广东,日用化工,20171218
31,603199.SH,九华旅游,32.53,2.96,10.01,79715.0,10.82,32.53,29.33,29.54,29.57,4.24,7.2,14.55,2.76,25166.95,360042.04,360042.04,安徽,旅游景点,20150326
32,600158.SH,中体产业,11.32,1.03,10.01,942909.0,10.98,11.32,10.19,10.22,10.29,4.11,13.06,-53.47,4.38,103991.97,1086168.79,817395.01,天津,文教休闲,19980327
33,002827.SZ,高争民爆,12.2,1.11,10.01,61055.0,10.37,12.2,11.05,11.1,11.09,1.05,2.21,180.46,4.33,7319.59,336720.0,336720.0,西藏,化工原料,20161209
34,601900.SH,南方传媒,24.84,2.26,10.01,276125.0,7.71,24.84,23.1,23.3,22.58,0.69,3.08,24.92,2.98,67491.03,2225357.39,2225357.39,广东,出版业,20160215
35,002232.SZ,启明信息,15.94,1.45,10.01,285866.0,10.28,15.94,14.45,14.5,14.49,4.44,7.0,142.58,4.74,43600.81,651226.24,651226.24,吉林,软件服务,20080509
36,002229.SZ,鸿博股份,34.52,3.14,10.01,1250981.0,5.77,34.52,32.71,32.98,31.38,1.18,25.37,-235.64,10.87,425947.68,1720284.4,1702403.17,福建,广告包装,20080508
37,002463.SZ,沪电股份,20.89,1.9,10.01,1735290.0,8.9,20.89,19.2,19.2,18.99,1.37,9.11,49.67,4.78,345364.91,3979682.2,3977597.16,江苏,元器件,20100818
38,000032.SZ,深桑达Ａ,34.64,3.15,10.0,269609.0,5.21,34.64,33.0,33.0,31.49,0.99,4.18,-174.2,6.46,92331.08,3941890.79,2233461.84,深圳,建筑工程,19931028
39,688327.SH,云从科技-UW,29.7,2.7,10.0,883705.0,12.59,30.06,26.66,26.9,27.0,2.67,16.57,-38.68,11.1,252358.83,2199791.57,1583739.07,广东,软件服务,20220527
