,股票名称,股票代码,收盘价,发散因子(倍),近期涨停数,每股收益(元),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%)
0,美邦服饰,002269.SZ,2.04,1.12,1,0.02,43835248.78,128.96,168.9231,0.115689386269,16.3
1,韩建河山,603616.SH,6.17,1.62,1,-0.0562,-21444146.49,-38.94,92.1826,1.865190515617,-2.98
2,通程控股,000419.SZ,6.21,1.41,0,0.0554,30092991.97,-38.8,344.7362,5.857403254285,0.95
3,瑞达期货,002961.SZ,17.82,1.73,2,0.12,54716474.46,-42.6,-2.5613,5.530433661231,2.15
4,益民集团,600824.SH,4.09,1.46,1,0.036,37915368.03,4.38,112.7486,2.252772567759,1.61
5,西南证券,600369.SH,4.72,1.65,1,0.03,225544309.69,275.665504402,172.7192,3.794027410207,0.9
6,城建发展,600266.SH,7.47,1.34,3,0.0021,62586466.79,106.1763425164,144.9027,8.949164050149,0.02
7,泰慕士,001234.SZ,35.3,1.73,1,0.13,13870903.6,-46.78,174.5725,8.412072944883,1.56
8,太平洋,601099.SH,4.45,1.59,1,0.022,148925156.82,1503.35,137.6601,1.375925434065,1.6
9,海马汽车,000572.SZ,5.89,2.22,3,-0.0317,-52101004.43,14.4838923516,96.223,1.245445680898,-2.51
10,合肥城建,002208.SZ,7.57,1.16,1,0.0363,29174195.01,-15.6,-84.2786,8.020601326982,0.46
11,金科股份,000656.SZ,2.58,1.18,6,-0.06,-295390957.82,-0.63,98.2734,2.274505217789,-2.4
12,红蜻蜓,603116.SH,6.95,1.67,2,0.04,21158520.8,53.86,135.9582,5.550632706914,0.66
13,徐家汇,002561.SZ,11.04,1.23,1,0.05,19971713.78,-5.3,17.1569,5.409162822858,0.89
14,华远地产,600743.SH,2.3,1.22,2,-0.067,-85115196.77,-41.0519257023,97.4968,1.40565429248,-4.63
15,华联股份,000882.SZ,2.14,1.25,1,0.0031,8436886.49,270.05,105.982,2.532019925208,0.12
16,国芳集团,601086.SH,7.39,1.42,3,0.11,73218627.21,105.37,5.8504,2.433698157117,4.63
17,明泰铝业,601677.SH,15.22,1.37,1,0.36,353683767.59,-40.15,26.6425,12.772989098069,2.86
18,国创高新,002377.SZ,3.98,1.76,3,-0.0403,-36911908.23,65.87,85.9279,0.619605000016,-6.3
19,扬子新材,002652.SZ,3.02,1.14,1,-0.0119,-6110167.07,10.21,52.2452,0.432185095867,-2.72
20,金陵饭店,601007.SH,10.05,1.97,1,0.025,9939064.28,207.0540465585,-13.366,4.048084431897,0.63
21,金健米业,600127.SH,8.3,1.44,1,0.0155,9918593.32,281.2691264908,217.6804,1.05113699218,1.48
22,天房发展,600322.SH,2.53,0.99,2,-0.1271,-140510856.16,32.88,59.0962,0.048502251569,-113.42
23,天晟新材,300169.SZ,7.07,1.61,3,-0.0429,-13978180.53,19.96,90.7526,0.785754557105,-5.3
24,南京新百,600682.SH,8.67,1.55,1,0.13,180148875.72,-14.94,64.5159,12.633010232581,1.06
25,上实发展,600748.SH,5.03,1.25,1,0.16,286137230.22,3169.74,21.623,5.568977235659,2.82
26,华西能源,002630.SZ,3.06,2.57,2,-0.1114,-131573927.62,14.95,56.4285,0.642689063067,-13.33
