,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名,第11名,第12名,第13名,第14名,第15名,第16名,第17名,第18名,第19名,第20名
0,2023-05-10,上海港湾,新疆交建,陕建股份,中铁装配,中油资本,中国银河,中工国际,北方国际,中粮资本,铁岭新城,中铝国际,中国铁建,松发股份,上实发展,华凯易佰,云南城投,隧道股份,同济科技,五矿资本,江苏金租
1,2023-05-11,上海港湾,中铁装配,铁岭新城,陕建股份,云南城投,北方国际,上实发展,中油资本,中国银河,中工国际,同济科技,中粮资本,新疆交建,中铝国际,中国铁建,松发股份,龙建股份,香溢融通,华凯易佰,美克家居
2,2023-05-12,上海港湾,中铁装配,中粮资本,铁岭新城,上实发展,云南城投,陕建股份,同济科技,中工国际,美克家居,松发股份,中国银河,北方国际,香溢融通,中油资本,华立股份,中铝国际,江河集团,亚厦股份,龙建股份
3,2023-05-15,上海港湾,中粮资本,云南城投,中铁装配,铁岭新城,松发股份,同济科技,中国银河,美克家居,上实发展,中油资本,北方国际,中工国际,中铝国际,陕建股份,香溢融通,江河集团,龙建股份,五矿资本,华立股份
4,2023-05-16,上海港湾,中粮资本,松发股份,美克家居,中国银河,云南城投,苏文电能,铁岭新城,同济科技,北方国际,上实发展,香溢融通,陕建股份,五矿资本,中铝国际,申万宏源,乾景园林,沙河股份,江河集团,中金公司
5,2023-05-17,上海港湾,松发股份,云南城投,中粮资本,同济科技,美克家居,中国银河,铁岭新城,苏文电能,香溢融通,五矿资本,上实发展,沙河股份,中航产融,华立股份,申万宏源,顶固集创,江河集团,华丽家族,渤海租赁
6,2023-05-18,上海港湾,松发股份,云南城投,华丽家族,中粮资本,同济科技,美克家居,华凯易佰,中国银河,沙河股份,顶固集创,上实发展,苏文电能,江河集团,香溢融通,中航产融,中源家居,世荣兆业,荣安地产,铁岭新城
7,2023-05-19,华丽家族,上海港湾,美克家居,云南城投,同济科技,中粮资本,中国银河,松发股份,华凯易佰,铁岭新城,江河集团,沙河股份,顶固集创,农尚环境,香溢融通,中源家居,乾景园林,上实发展,扬子新材,郑中设计
8,2023-05-22,华丽家族,上海港湾,美克家居,云南城投,铁岭新城,中国银河,中粮资本,顶固集创,江河集团,乾景园林,松发股份,中源家居,同济科技,深水规院,农尚环境,沙河股份,香溢融通,上实发展,郑中设计,苏文电能
9,2023-05-23,美克家居,华丽家族,上海港湾,铁岭新城,云南城投,江河集团,中国银河,农尚环境,顶固集创,苏文电能,深水规院,沙河股份,乾景园林,中源家居,中粮资本,郑中设计,香溢融通,世荣兆业,扬子新材,松发股份
10,2023-05-24,美克家居,上海港湾,江河集团,顶固集创,华丽家族,中国银河,铁岭新城,乾景园林,郑中设计,中源家居,农尚环境,汇通能源,扬子新材,亚振家居,松发股份,深水规院,美芝股份,霍普股份,华立股份,东易日盛
11,2023-05-25,上海港湾,江河集团,美克家居,乾景园林,华丽家族,中国银河,顶固集创,中油资本,铁岭新城,深水规院,中源家居,华立股份,松发股份,郑中设计,扬子新材,苏文电能,弘业期货,中粮资本,沙河股份,云南城投
12,2023-05-26,深水规院,上海港湾,江河集团,美克家居,乾景园林,中国银河,雅艺科技,农尚环境,顶固集创,汇通能源,中源家居,华丽家族,雄塑科技,沙河股份,东易日盛,郑中设计,华立股份,世荣兆业,莱茵体育,中粮资本
13,2023-05-29,深水规院,上海港湾,松发股份,莱茵体育,美克家居,江河集团,汇通能源,中国银河,中油资本,中粮资本,大丰实业,沙河股份,雅艺科技,顶固集创,郑中设计,中源家居,皇庭国际,华立股份,东易日盛,上实发展
14,2023-05-30,深水规院,美克家居,莱茵体育,上海港湾,江河集团,中国银河,松发股份,汇通能源,中粮资本,中油资本,大丰实业,沙河股份,郑中设计,华凯易佰,顶固集创,上实发展,雅艺科技,农尚环境,东易日盛,中铁装配
15,2023-05-31,上海港湾,深水规院,汇通能源,美克家居,松发股份,莱茵体育,雅艺科技,中粮资本,中油资本,弘业期货,大丰实业,上实发展,农尚环境,郑中设计,太极实业,城建发展,深深房A,顶固集创,中国银河,浦东金桥
16,2023-06-01,上海港湾,美克家居,大丰实业,深水规院,松发股份,汇通能源,万通发展,雅艺科技,弘业期货,太极实业,东易日盛,深深房A,莱茵体育,农尚环境,苏文电能,尚品宅配,中油资本,城建发展,华丽家族,上海临港
17,2023-06-02,上海港湾,汇通能源,华凯易佰,大丰实业,苏文电能,尚品宅配,深水规院,城建发展,雅艺科技,京投发展,华丽家族,弘业期货,罗曼股份,公元股份,深深房A,顶固集创,瑞尔特,松发股份,华立股份,万通发展
18,2023-06-05,上海港湾,汇通能源,苏文电能,华凯易佰,大丰实业,京投发展,深水规院,万通发展,雅艺科技,松发股份,罗曼股份,城建发展,深深房A,麒盛科技,亚翔集成,华立股份,东易日盛,海德股份,顶固集创,太极实业
19,2023-06-06,京投发展,上海港湾,汇通能源,苏文电能,深水规院,大丰实业,华立股份,罗曼股份,雅艺科技,万通发展,松发股份,时空科技,深深房A,东易日盛,皮阿诺,华丽家族,华凯易佰,亚翔集成,王力安防,沙河股份
20,2023-06-07,京投发展,时空科技,华立股份,大丰实业,深水规院,汇通能源,东易日盛,万通发展,华凯易佰,苏文电能,上海港湾,雅艺科技,罗曼股份,麒盛科技,松发股份,华丽家族,中天服务,沙河股份,元成股份,亚翔集成
21,2023-06-08,京投发展,时空科技,深水规院,特发服务,罗曼股份,沙河股份,大丰实业,京能置业,万通发展,东易日盛,雅艺科技,松发股份,中天服务,城建发展,弘业期货,华凯易佰,华立股份,汇通能源,麒盛科技,苏文电能
22,2023-06-09,京投发展,时空科技,罗曼股份,松发股份,汇通能源,华凯易佰,深水规院,万通发展,大丰实业,东易日盛,永安林业,雅艺科技,城建发展,弘业期货,沙河股份,高新发展,苏文电能,元成股份,兔宝宝,科新发展
23,2023-06-12,京投发展,罗曼股份,松发股份,时空科技,华凯易佰,汇通能源,特发服务,深水规院,城建发展,万通发展,华立股份,东易日盛,沙河股份,高新发展,雅艺科技,龙元建设,兔宝宝,永安林业,大丰实业,海波重科
24,2023-06-13,松发股份,罗曼股份,京投发展,华凯易佰,时空科技,汇通能源,特发服务,元成股份,上海港湾,深水规院,雅艺科技,永安林业,城建发展,高新发展,大丰实业,沙河股份,龙元建设,华立股份,东易日盛,天地源
25,2023-06-14,罗曼股份,京投发展,松发股份,汇通能源,上海港湾,华凯易佰,万通发展,永安林业,大丰实业,时空科技,城建发展,特发服务,龙元建设,东易日盛,农尚环境,高新发展,元成股份,深水规院,中交地产,弘业期货
26,2023-06-15,松发股份,京投发展,罗曼股份,上海港湾,荣盛发展,汇通能源,万通发展,农尚环境,时空科技,特发服务,中交地产,永安林业,龙元建设,弘业期货,东易日盛,东方雨虹,深水规院,元成股份,大丰实业,城建发展
27,2023-06-16,松发股份,京投发展,罗曼股份,万通发展,上海港湾,汇通能源,荣盛发展,沙河股份,城建发展,中交地产,大丰实业,时空科技,龙元建设,特发服务,永安林业,东易日盛,深水规院,深深房A,高新发展,弘业期货
