,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名,第11名,第12名,第13名,第14名,第15名,第16名,第17名,第18名,第19名,第20名,第21名,第22名,第23名,第24名,第25名,第26名,第27名,第28名,第29名,第30名
71,2023-05-24,日播时尚,杭州热电,万胜智能,百胜智能,世纪天鸿,宝明科技,迈赫股份,鸿博股份,紫天科技,优德精密,焦点科技,迦南智能,赛诺医疗,睿能科技,新联电子,桂东电力,学大教育,英可瑞,中船汉光,赛摩智能,惠城环保,中科信息,冰川网络,拓新药业,柯力传感,佰奥智能,融发核电,中国出版,何氏眼科,中船科技
72,2023-05-25,日播时尚,杭州热电,百胜智能,宝明科技,万胜智能,睿能科技,鸿博股份,中科信息,赛诺医疗,新联电子,迦南智能,桂东电力,中船汉光,英可瑞,迈赫股份,帝科股份,融发核电,优德精密,腾亚精工,金桥信息,通合科技,学大教育,焦点科技,紫天科技,何氏眼科,柯力传感,惠城环保,广深铁路,若羽臣,金冠股份
73,2023-05-26,杭州热电,日播时尚,百胜智能,睿能科技,宝明科技,金冠股份,赛诺医疗,英可瑞,鸿博股份,新联电子,金桥信息,迦南智能,中船汉光,紫天科技,学大教育,金百泽,万胜智能,通合科技,朗玛信息,优德精密,柯力传感,桂东电力,太极集团,机器人,惠城环保,瑞松科技,帝科股份,金冠电气,何氏眼科,步科股份
74,2023-05-29,杭州热电,日播时尚,百胜智能,睿能科技,金百泽,学大教育,金桥信息,鸿博股份,宝明科技,中船汉光,赛诺医疗,迦南智能,紫天科技,柯力传感,朗玛信息,金冠股份,桂东电力,英可瑞,万胜智能,惠城环保,优德精密,太极集团,朗科科技,冠昊生物,机器人,新联电子,深水规院,胜宏科技,创业黑马,天地在线
75,2023-05-30,杭州热电,日播时尚,金百泽,睿能科技,金桥信息,百胜智能,紫天科技,鸿博股份,学大教育,桂东电力,冠昊生物,朗玛信息,宝明科技,金冠股份,英可瑞,冰川网络,中船汉光,柯力传感,迦南智能,创业黑马,胜宏科技,万胜智能,朗科科技,赛诺医疗,爱朋医疗,优德精密,世茂能源,太极集团,世纪天鸿,新国都
76,2023-05-31,杭州热电,日播时尚,睿能科技,鸿博股份,金百泽,金桥信息,百胜智能,中船汉光,紫天科技,爱朋医疗,宝明科技,朗玛信息,冠昊生物,桂东电力,英可瑞,创新医疗,双象股份,创业黑马,学大教育,迦南智能,胜宏科技,优德精密,柯力传感,金冠股份,万胜智能,朗科科技,亿通科技,新智认知,惠城环保,虹软科技
77,2023-06-01,杭州热电,日播时尚,睿能科技,金桥信息,鸿博股份,百胜智能,中船汉光,金百泽,朗玛信息,双象股份,创新医疗,新致软件,胜宏科技,天瑞仪器,创业黑马,紫天科技,万胜智能,宝明科技,力鼎光电,迦南智能,英可瑞,新智认知,爱朋医疗,学大教育,冠昊生物,虹软科技,金自天正,天地在线,柯力传感,桂东电力
78,2023-06-02,杭州热电,日播时尚,百胜智能,金桥信息,睿能科技,紫天科技,金百泽,创新医疗,新致软件,天地在线,英可瑞,中船汉光,东田微,万胜智能,双象股份,鸿博股份,胜宏科技,宝明科技,力鼎光电,迦南智能,冠石科技,天瑞仪器,金冠股份,桂东电力,虹软科技,铭普光磁,朗玛信息,若羽臣,朗科科技,惠城环保
79,2023-06-05,杭州热电,日播时尚,紫天科技,百胜智能,创新医疗,双象股份,金百泽,力鼎光电,英可瑞,睿能科技,迦南智能,冠石科技,铭普光磁,东田微,鸿博股份,惠城环保,万胜智能,新致软件,金桥信息,利通电子,宝明科技,金冠股份,兆龙互连,胜宏科技,桂东电力,虹软科技,朗科科技,中际旭创,元琛科技,天孚通信
80,2023-06-06,杭州热电,日播时尚,利通电子,紫天科技,铭普光磁,金桥信息,创新医疗,睿能科技,鸿博股份,力鼎光电,百胜智能,英可瑞,惠城环保,冠石科技,金百泽,兆龙互连,迦南智能,双象股份,金冠股份,新致软件,东田微,万胜智能,宝明科技,天地在线,元琛科技,天孚通信,朗科科技,亚康股份,胜宏科技,合力泰
81,2023-06-07,杭州热电,日播时尚,铭普光磁,鸿博股份,东田微,创新医疗,利通电子,紫天科技,金桥信息,亚康股份,百胜智能,兆龙互连,金百泽,睿能科技,力鼎光电,惠城环保,冠石科技,迦南智能,新致软件,天孚通信,双象股份,弘信电子,北京文化,胜宏科技,恒信东方,德明利,天地在线,峨眉山A,威龙股份,朗科科技
82,2023-06-08,日播时尚,杭州热电,铭普光磁,鸿博股份,东田微,金桥信息,金百泽,百胜智能,创新医疗,亚康股份,南凌科技,紫天科技,兆龙互连,恒信东方,睿能科技,威龙股份,迦南智能,惠城环保,上海物贸,中际旭创,天孚通信,京投发展,万胜智能,力鼎光电,天禄科技,特发信息,桂东电力,弘信电子,胜宏科技,柯力传感
83,2023-06-09,日播时尚,铭普光磁,杭州热电,东田微,金桥信息,鸿博股份,金百泽,百胜智能,亚康股份,紫天科技,睿能科技,兆龙互连,太辰光,恒信东方,创新医疗,上海物贸,天禄科技,威龙股份,京投发展,南凌科技,胜宏科技,朗科科技,江苏华辰,中际旭创,开普云,天孚通信,拓维信息,柯力传感,弘信电子,迦南智能
84,2023-06-12,铭普光磁,日播时尚,金桥信息,东田微,杭州热电,鸿博股份,亚康股份,百胜智能,金百泽,上海物贸,兆龙互连,睿能科技,威龙股份,太辰光,天孚通信,拓维信息,南凌科技,紫天科技,恒信东方,朗科科技,胜宏科技,柯力传感,万润科技,中际旭创,弘信电子,鸥玛软件,晨丰科技,华星创业,特发信息,创新医疗
85,2023-06-13,亚康股份,铭普光磁,金桥信息,东田微,鸿博股份,上海物贸,太辰光,杭州热电,日播时尚,百胜智能,兆龙互连,天孚通信,威龙股份,金百泽,睿能科技,拓维信息,紫天科技,新致软件,鸥玛软件,恒信东方,开普云,胜宏科技,中际旭创,弘信电子,电广传媒,朗科科技,洛凯股份,柯力传感,万润科技,晨丰科技
86,2023-06-14,铭普光磁,亚康股份,太辰光,天孚通信,金桥信息,兆龙互连,东田微,上海物贸,紫天科技,威龙股份,鸿博股份,金百泽,鸥玛软件,人民网,睿能科技,中际旭创,胜宏科技,百胜智能,新致软件,杭州热电,创业黑马,日播时尚,恒信东方,开普云,柯力传感,冠石科技,南凌科技,朗科科技,华星创业,电广传媒
87,2023-06-15,铭普光磁,亚康股份,威龙股份,太辰光,人民网,兆龙互连,紫天科技,上海物贸,睿能科技,百胜智能,金桥信息,鸿博股份,金百泽,鸥玛软件,天孚通信,东田微,恒信东方,杭州热电,柯力传感,创业黑马,创新医疗,卓朗科技,新致软件,云赛智联,利通电子,普元信息,华西股份,胜宏科技,拓维信息,日播时尚
88,2023-06-16,铭普光磁,太辰光,亚康股份,天孚通信,威龙股份,人民网,兆龙互连,光库科技,金百泽,百胜智能,华西股份,上海物贸,东田微,鸥玛软件,腾景科技,中际旭创,云赛智联,鸿博股份,利通电子,富信科技,紫天科技,金桥信息,睿能科技,恒信东方,博创科技,创业黑马,鼎通科技,创新医疗,拓维信息,新致软件
89,2023-06-19,太辰光,铭普光磁,兆龙互连,天孚通信,亚康股份,光库科技,富信科技,威龙股份,华西股份,鼎通科技,人民网,金百泽,鸥玛软件,中际旭创,新致软件,金桥信息,东田微,云赛智联,腾景科技,工业富联,普元信息,上海物贸,博创科技,鼎捷软件,弘信电子,仕佳光子,福昕软件,百胜智能,电广传媒,鸿博股份
90,2023-06-20,太辰光,兆龙互连,铭普光磁,天孚通信,华西股份,富信科技,鼎通科技,亚康股份,光库科技,中际旭创,新致软件,金百泽,人民网,东田微,云赛智联,鸥玛软件,威龙股份,鸿博股份,光迅科技,鼎捷软件,拓维信息,浪潮信息,腾景科技,福昕软件,弘信电子,工业富联,普元信息,上海物贸,恒信东方,罗博特科
91,2023-06-21,太辰光,铭普光磁,华西股份,威龙股份,鼎通科技,亚康股份,富信科技,天孚通信,中际旭创,东田微,人民网,鸿博股份,鼎捷软件,云赛智联,鸥玛软件,金百泽,拓维信息,腾景科技,兆龙互连,上海物贸,浪潮信息,新致软件,工业富联,步科股份,润达医疗,弘信电子,新时达,光迅科技,金桥信息,罗博特科
92,2023-06-26,太辰光,华西股份,铭普光磁,威龙股份,亚康股份,东田微,人民网,上海物贸,鼎通科技,步科股份,富信科技,新时达,云赛智联,鼎捷软件,腾景科技,中际旭创,光库科技,鸥玛软件,兆龙互连,赛力斯,弘信电子,润达医疗,新致软件,南方精工,松发股份,中马传动,拓维信息,鸿博股份,恒信东方,罗博特科
93,2023-06-27,东田微,华西股份,铭普光磁,太辰光,鼎通科技,人民网,云赛智联,南方精工,威龙股份,富信科技,亚康股份,中马传动,中际旭创,松发股份,弘信电子,上海物贸,腾景科技,新时达,润达医疗,中大力德,赛力斯,步科股份,鼎捷软件,拓维信息,华脉科技,天孚通信,兆龙互连,鸿博股份,鸥玛软件,深南电A
94,2023-06-28,华西股份,东田微,中马传动,铭普光磁,南方精工,威龙股份,亚康股份,华脉科技,步科股份,中大力德,新时达,太辰光,人民网,上海物贸,深南电A,鼎通科技,云赛智联,松发股份,富信科技,腾景科技,赛力斯,中际旭创,掌趣科技,有方科技,鼎捷软件,昊志机电,新致软件,拓维信息,卓朗科技,阿尔特
95,2023-06-29,中马传动,华西股份,铭普光磁,华脉科技,威龙股份,南方精工,步科股份,鼎捷软件,太辰光,鼎通科技,新时达,深南电A,东田微,优德精密,有方科技,上海物贸,人民网,昊志机电,亚康股份,松发股份,中大力德,润达医疗,云赛智联,赛力斯,新致软件,鸣志电器,双环传动,富信科技,阿尔特,掌趣科技
96,2023-06-30,中马传动,华脉科技,华西股份,太辰光,昊志机电,南方精工,威龙股份,铭普光磁,东田微,步科股份,鼎通科技,新时达,鼎捷软件,中大力德,亚康股份,润达医疗,腾景科技,上海物贸,深南电A,富信科技,人民网,普元信息,云赛智联,松发股份,有方科技,双环传动,优德精密,深科达,鸣志电器,阿尔特
97,2023-07-03,中马传动,昊志机电,华西股份,南方精工,华脉科技,鼎捷软件,太辰光,鼎通科技,威龙股份,步科股份,优德精密,深南电A,新时达,铭普光磁,东田微,襄阳轴承,赛力斯,林州重机,亚康股份,润达医疗,中大力德,松发股份,巨轮智能,共进股份,深科达,富信科技,精锻科技,云赛智联,阿尔特,金科股份
98,2023-07-04,昊志机电,中马传动,优德精密,南方精工,步科股份,林州重机,华西股份,鼎通科技,太辰光,新时达,鼎捷软件,德迈仕,赛力斯,襄阳轴承,浙江世宝,上海物贸,东田微,华脉科技,铭普光磁,威龙股份,中大力德,圣龙股份,兆龙互连,亚康股份,富信科技,共进股份,巨轮智能,有方科技,云赛智联,人民网
99,2023-07-05,昊志机电,林州重机,中马传动,德迈仕,华西股份,优德精密,浙江世宝,太辰光,赛力斯,南方精工,新时达,鼎捷软件,步科股份,鼎通科技,飞龙股份,润达医疗,光智科技,东田微,威龙股份,富信科技,中大力德,襄阳轴承,云赛智联,共进股份,阿尔特,海鸥股份,圣龙股份,峰岹科技,英联股份,双环传动
