,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名,第11名,第12名,第13名,第14名,第15名,第16名,第17名,第18名,第19名,第20名,第21名,第22名,第23名,第24名,第25名,第26名,第27名,第28名,第29名,第30名
15,2023-03-01,中航电测,海天瑞声,鸿博股份,浪潮信息,汉王科技,万辰生物,金冠电气,三六零,迈得医疗,剑桥科技,三变科技,昆仑万维,九牧王,当虹科技,通合科技,拓维信息,凯龙高科,天孚通信,汤姆猫,因赛集团,昇辉科技,立方数科,灿勤科技,寒武纪-U,科恒股份,宇通重工,中科曙光,永安行,金龙羽,美瑞新材
16,2023-03-02,中航电测,海天瑞声,鸿博股份,当虹科技,浪潮信息,汤姆猫,剑桥科技,金冠电气,九牧王,三六零,汉王科技,万辰生物,因赛集团,华脉科技,天孚通信,拓维信息,立方数科,拓尔思,万兴科技,迈得医疗,凯龙高科,美瑞新材,三变科技,昇辉科技,欣贺股份,昆仑万维,太辰光,宇通重工,科恒股份,中科曙光
17,2023-03-03,中航电测,鸿博股份,海天瑞声,汤姆猫,金冠电气,剑桥科技,华脉科技,三六零,浪潮信息,当虹科技,拓维信息,万辰生物,立方数科,九牧王,万兴科技,昇辉科技,三变科技,博彦科技,华电重工,迈得医疗,本川智能,宇通重工,因赛集团,昆仑万维,科恒股份,凯龙高科,拓尔思,太辰光,震有科技,永安行
18,2023-03-06,中航电测,鸿博股份,万辰生物,本川智能,汤姆猫,金冠电气,当虹科技,三六零,剑桥科技,退泽达,立方数科,拓维信息,华脉科技,中国卫通,海天瑞声,三变科技,迈得医疗,震有科技,浪潮信息,九牧王,科恒股份,凯龙高科,万兴科技,金龙羽,博济医药,华电重工,通宝能源,永安行,中科曙光,鸿合科技
19,2023-03-07,中航电测,万辰生物,退泽达,鸿博股份,汤姆猫,本川智能,三变科技,金冠电气,凯龙高科,拓维信息,退紫晶,中国卫通,中公高科,剑桥科技,九牧王,三六零,迈得医疗,万兴科技,当虹科技,华脉科技,浪潮信息,博济医药,诚意药业,科恒股份,震有科技,华电重工,通宝能源,珈伟新能,开勒股份,西安饮食
20,2023-03-08,中航电测,万辰生物,退泽达,本川智能,退紫晶,凯龙高科,汤姆猫,鸿博股份,三变科技,新城市,中公高科,剑桥科技,中国卫通,拓维信息,九牧王,金冠电气,当虹科技,华脉科技,震有科技,博睿数据,世嘉科技,品高股份,朗科科技,万兴科技,圣诺生物,鸿合科技,开勒股份,浪潮信息,三六零,金信诺
21,2023-03-09,退泽达,万辰生物,本川智能,中航电测,新城市,凯龙高科,退紫晶,汤姆猫,中公高科,中国卫通,三变科技,金信诺,世嘉科技,震有科技,拓维信息,朗科科技,容大感光,吉贝尔,万兴科技,九牧王,当虹科技,剑桥科技,华脉科技,中国电信,鸿博股份,同益股份,亨迪药业,品高股份,博睿数据,诚意药业
22,2023-03-10,退泽达,本川智能,万辰生物,凯龙高科,新城市,中国卫通,汤姆猫,当虹科技,退紫晶,中公高科,容大感光,中航电测,三变科技,朗科科技,震有科技,金信诺,吉贝尔,蕾奥规划,万兴科技,剑桥科技,九牧王,中国电信,世嘉科技,易华录,亨迪药业,筑博设计,博济医药,拓维信息,圣诺生物,中国卫星
23,2023-03-13,退泽达,本川智能,凯龙高科,中国卫通,万辰生物,新城市,汤姆猫,当虹科技,万兴科技,容大感光,中公高科,震有科技,退紫晶,三变科技,金信诺,朗科科技,中国电信,吉贝尔,品高股份,彩讯股份,和佳退,剑桥科技,九牧王,汇金科技,世嘉科技,凌志软件,中国卫星,福昕软件,华脉科技,蕾奥规划
24,2023-03-14,本川智能,万辰生物,退泽达,中国卫通,凯龙高科,新城市,当虹科技,中公高科,汤姆猫,容大感光,剑桥科技,万兴科技,金信诺,退紫晶,震有科技,中国电信,法尔胜,品高股份,中国卫星,三变科技,吉贝尔,彩讯股份,值得买,朗科科技,和佳退,深桑达A,大华股份,九牧王,晓程科技,中国移动
25,2023-03-15,本川智能,中国卫通,凯龙高科,万辰生物,中公高科,新城市,退泽达,法尔胜,汤姆猫,容大感光,当虹科技,北方国际,金信诺,铁科轨道,剑桥科技,吉贝尔,震有科技,中国电信,金力泰,铁建重工,和佳退,中国卫星,退紫晶,九牧王,品高股份,本钢板材,万兴科技,大华股份,三变科技,中国移动
26,2023-03-16,万辰生物,本川智能,凯龙高科,中国卫通,退泽达,退紫晶,新城市,当虹科技,北方国际,容大感光,中公高科,法尔胜,剑桥科技,光云科技,九牧王,中润资源,铁科轨道,金信诺,汤姆猫,万兴科技,铁建重工,金力泰,震有科技,本钢板材,凌志软件,龙建股份,蓝色光标,三维通信,值得买,中国卫星
27,2023-03-17,万辰生物,本川智能,中国卫通,退泽达,凯龙高科,当虹科技,北方国际,光云科技,退紫晶,容大感光,彩讯股份,新城市,蓝色光标,中公高科,中润资源,凌志软件,寒武纪-U,剑桥科技,值得买,立方数科,龙建股份,福昕软件,万兴科技,罗普特,汤姆猫,金信诺,法尔胜,博睿数据,大华股份,铁科轨道
28,2023-03-20,万辰生物,中国卫通,本川智能,北方国际,凯龙高科,中公高科,中润资源,退泽达,当虹科技,寒武纪-U,剑桥科技,容大感光,光云科技,龙建股份,工业富联,彩讯股份,蓝色光标,博睿数据,凌志软件,晓程科技,新城市,退紫晶,立方数科,张江高科,青木股份,值得买,创业黑马,上海电影,罗普特,震有科技
29,2023-03-21,万辰生物,凯龙高科,本川智能,当虹科技,光云科技,退泽达,青木股份,中国卫通,剑桥科技,北方国际,中公高科,容大感光,中润资源,百纳千成,寒武纪-U,彩讯股份,值得买,中央商场,返利科技,退紫晶,盛天网络,凌志软件,工业富联,创业黑马,蓝色光标,上海电影,新城市,震有科技,汤姆猫,博睿数据
30,2023-03-22,寒武纪-U,当虹科技,凯龙高科,万辰生物,光云科技,剑桥科技,青木股份,本川智能,退泽达,工业富联,百纳千成,上海电影,值得买,彩讯股份,中国卫通,北方国际,容大感光,中润资源,蓝色光标,太辰光,盛天网络,中公高科,大华股份,创业黑马,凌志软件,汤姆猫,中央商场,返利科技,昆仑万维,新城市
31,2023-03-23,寒武纪-U,中国卫通,当虹科技,光云科技,工业富联,上海电影,青木股份,退泽达,本川智能,彩讯股份,万辰生物,剑桥科技,太辰光,凯龙高科,北方国际,蓝色光标,大华股份,容大感光,昆仑万维,值得买,中润资源,芯原股份,百纳千成,汤姆猫,万兴科技,盛天网络,新城市,中际旭创,福昕软件,返利科技
32,2023-03-24,寒武纪-U,昆仑万维,工业富联,彩讯股份,蓝色光标,凯龙高科,上海电影,青木股份,光云科技,当虹科技,退泽达,容大感光,盛天网络,本川智能,大华股份,剑桥科技,中国卫通,万辰生物,万兴科技,返利科技,北方国际,青云科技-U,值得买,太辰光,凌志软件,汤姆猫,福昕软件,景嘉微,姚记科技,芯原股份
33,2023-03-27,寒武纪-U,光云科技,昆仑万维,青云科技-U,上海电影,当虹科技,工业富联,值得买,返利科技,创业黑马,青木股份,容大感光,盛天网络,剑桥科技,本川智能,万兴科技,福昕软件,凯龙高科,蓝色光标,汤姆猫,彩讯股份,退泽达,景嘉微,中文在线,三六零,漫步者,北方国际,同花顺,中际旭创,麦克奥迪
34,2023-03-28,寒武纪-U,青云科技-U,光云科技,盛天网络,中文在线,本川智能,返利科技,昆仑万维,上海电影,福昕软件,剑桥科技,成都先导,工业富联,创业黑马,中国卫通,容大感光,当虹科技,易华录,万兴科技,蓝色光标,北方国际,青木股份,三六零,汤姆猫,值得买,景嘉微,麦克奥迪,晶瑞电材,同花顺,中际旭创
35,2023-03-29,寒武纪-U,创业黑马,本川智能,剑桥科技,青云科技-U,上海电影,返利科技,光云科技,盛天网络,容大感光,中文在线,工业富联,成都先导,中国卫通,汤姆猫,朗科科技,中际旭创,兆龙互连,北方国际,金山办公,值得买,昆仑万维,万兴科技,青木股份,福昕软件,晶瑞电材,景嘉微,中润资源,云从科技-UW,三人行
36,2023-03-30,寒武纪-U,创业黑马,朗科科技,上海电影,剑桥科技,中文在线,工业富联,容大感光,青云科技-U,返利科技,盛天网络,本川智能,昆仑万维,光云科技,万辰生物,景嘉微,中际旭创,青木股份,成都先导,三六零,北方国际,金山办公,石基信息,值得买,姚记科技,东方国信,兆龙互连,晶瑞电材,中润资源,拓维信息
