,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名,第11名,第12名,第13名,第14名,第15名,第16名,第17名,第18名,第19名,第20名
0,2023-02-01,恒为科技,东晶电子,南方精工,银河电子,文一科技,大晟文化,亚太实业,宏达新材,中马传动,华脉科技,深华发A,春秋电子,双星新材,建投能源,世茂能源,铁流股份,恒盛能源,桂东电力,新中港,闽东电力
1,2023-02-02,恒为科技,南方精工,东晶电子,文一科技,银河电子,亚太实业,中马传动,春秋电子,宏达新材,华脉科技,大晟文化,深华发A,双星新材,铁流股份,南京公用,英联股份,恒盛能源,五洲特纸,世茂能源,新中港
2,2023-02-03,东晶电子,南方精工,恒为科技,宏达新材,亚太实业,银河电子,华脉科技,深华发A,双星新材,中马传动,文一科技,春秋电子,铁流股份,恒盛能源,南京公用,世茂能源,新中港,建投能源,杭州热电,英联股份
3,2023-02-06,东晶电子,恒为科技,南方精工,华脉科技,文一科技,宏达新材,银河电子,春秋电子,亚太实业,深华发A,中马传动,双星新材,铁流股份,南京公用,恒盛能源,世茂能源,建投能源,新中港,杭州热电,闽东电力
4,2023-02-07,南方精工,东晶电子,华脉科技,宏达新材,深华发A,亚太实业,中马传动,银河电子,春秋电子,双星新材,恒盛能源,铁流股份,南京公用,恒为科技,世茂能源,英联股份,新中港,杭州热电,大晟文化,闽东电力
5,2023-02-08,南方精工,东晶电子,双星新材,宏达新材,华脉科技,中马传动,恒盛能源,深华发A,银河电子,春秋电子,铁流股份,英联股份,世茂能源,恒为科技,新中港,杭州热电,南京公用,闽东电力,建投能源,亚太实业
6,2023-02-09,东晶电子,南方精工,华脉科技,春秋电子,深华发A,双星新材,银河电子,宏达新材,恒盛能源,中马传动,铁流股份,恒为科技,亚太实业,世茂能源,新中港,南京公用,杭州热电,英联股份,建投能源,闽东电力
7,2023-02-10,东晶电子,华脉科技,宏达新材,南方精工,恒盛能源,春秋电子,深华发A,中马传动,银河电子,铁流股份,南京公用,双星新材,亚太实业,恒为科技,建投能源,新中港,世茂能源,大晟文化,杭州热电,桂东电力
8,2023-02-13,恒盛能源,东晶电子,南方精工,深华发A,春秋电子,宏达新材,华脉科技,银河电子,铁流股份,中马传动,南京公用,亚太实业,恒为科技,世茂能源,双星新材,新中港,桂东电力,建投能源,杭州热电,闽东电力
9,2023-02-14,恒盛能源,东晶电子,银河电子,宏达新材,华脉科技,春秋电子,深华发A,南方精工,南京公用,桂东电力,建投能源,亚太实业,铁流股份,中马传动,五洲特纸,新中港,杭州热电,世茂能源,闽东电力,双星新材
10,2023-02-15,恒盛能源,东晶电子,银河电子,双星新材,华脉科技,深华发A,春秋电子,宏达新材,恒为科技,南方精工,中马传动,铁流股份,大晟文化,建投能源,亚太实业,桂东电力,世茂能源,新中港,杭州热电,南京公用
11,2023-02-16,恒盛能源,东晶电子,深华发A,银河电子,宏达新材,春秋电子,华脉科技,双星新材,恒为科技,大晟文化,南方精工,南京公用,桂东电力,铁流股份,中马传动,亚太实业,新中港,建投能源,杭州热电,世茂能源
12,2023-02-17,恒盛能源,东晶电子,深华发A,宏达新材,华脉科技,春秋电子,银河电子,双星新材,铁流股份,南京公用,南方精工,大晟文化,新中港,桂东电力,建投能源,杭州热电,恒为科技,世茂能源,中马传动,皖能电力
13,2023-02-20,恒盛能源,恒为科技,东晶电子,深华发A,春秋电子,华脉科技,银河电子,南方精工,宏达新材,大晟文化,南京公用,铁流股份,双星新材,建投能源,亚太实业,新中港,世茂能源,皖能电力,杭州热电,中马传动
14,2023-02-21,恒盛能源,宏达新材,银河电子,华脉科技,东晶电子,深华发A,南方精工,恒为科技,大晟文化,春秋电子,南京公用,世茂能源,建投能源,铁流股份,皖能电力,新中港,杭州热电,亚太实业,闽东电力,中马传动
15,2023-02-22,恒盛能源,五洲特纸,宏达新材,银河电子,南方精工,华脉科技,东晶电子,春秋电子,南京公用,世茂能源,恒为科技,深华发A,大晟文化,新中港,建投能源,铁流股份,皖能电力,杭州热电,闽东电力,桂东电力
16,2023-02-23,恒盛能源,南方精工,银河电子,五洲特纸,华脉科技,春秋电子,宏达新材,世茂能源,皖能电力,铁流股份,恒为科技,新中港,南京公用,东晶电子,建投能源,杭州热电,文一科技,深华发A,英联股份,桂东电力
17,2023-02-24,恒盛能源,银河电子,华脉科技,南方精工,春秋电子,东晶电子,恒为科技,五洲特纸,铁流股份,世茂能源,南京公用,宏达新材,新中港,皖能电力,杭州热电,深华发A,建投能源,桂东电力,亚太实业,大晟文化
18,2023-02-27,恒盛能源,华脉科技,恒为科技,银河电子,世茂能源,南方精工,东晶电子,皖能电力,春秋电子,新中港,五洲特纸,南京公用,长白山,铁流股份,建投能源,深华发A,桂东电力,杭州热电,闽东电力,豫能控股
19,2023-02-28,华脉科技,恒盛能源,恒为科技,银河电子,长白山,南方精工,皖能电力,世茂能源,春秋电子,新中港,南京公用,深华发A,铁流股份,大晟文化,五洲特纸,桂东电力,必康退,建投能源,亚太实业,杭州热电
20,2023-03-01,华脉科技,恒盛能源,恒为科技,银河电子,长白山,深华发A,春秋电子,皖能电力,五洲特纸,世茂能源,南京公用,新中港,南方精工,铁流股份,必康退,杭州热电,东晶电子,桂东电力,建投能源,宏达新材
21,2023-03-02,华脉科技,恒盛能源,恒为科技,银河电子,皖能电力,必康退,深华发A,大晟文化,世茂能源,宏达新材,铁流股份,新中港,南京公用,东晶电子,南方精工,长白山,建投能源,五洲特纸,春秋电子,桂东电力
22,2023-03-03,华脉科技,恒盛能源,恒为科技,皖能电力,银河电子,大晟文化,必康退,建投能源,桂东电力,世茂能源,南京公用,新中港,深华发A,铁流股份,长白山,闽东电力,春秋电子,宏达新材,南方精工,五洲特纸
23,2023-03-06,华脉科技,恒盛能源,恒为科技,皖能电力,新中港,银河电子,建投能源,世茂能源,长白山,春秋电子,南方精工,深华发A,桂东电力,大晟文化,五洲特纸,铁流股份,闽东电力,南京公用,杭州热电,东晶电子
24,2023-03-07,华脉科技,恒盛能源,恒为科技,新中港,皖能电力,长白山,建投能源,银河电子,世茂能源,桂东电力,南京公用,春秋电子,五洲特纸,铁流股份,闽东电力,宏达新材,光一退,深华发A,东晶电子,大晟文化
25,2023-03-08,华脉科技,恒为科技,恒盛能源,新中港,皖能电力,银河电子,长白山,宏达新材,建投能源,五洲特纸,大晟文化,春秋电子,世茂能源,东晶电子,南京公用,桂东电力,闽东电力,铁流股份,深华发A,南方精工
26,2023-03-09,华脉科技,恒为科技,恒盛能源,大晟文化,皖能电力,五洲特纸,银河电子,建投能源,长白山,宏达新材,新中港,光一退,世茂能源,南京公用,桂东电力,闽东电力,铁流股份,深华发A,东晶电子,杭州热电
27,2023-03-10,华脉科技,恒为科技,恒盛能源,宏达新材,五洲特纸,银河电子,大晟文化,皖能电力,长白山,世茂能源,深华发A,新中港,东晶电子,光一退,铁流股份,桂东电力,建投能源,南京公用,闽东电力,南方精工
28,2023-03-13,华脉科技,恒为科技,宏达新材,五洲特纸,大晟文化,银河电子,皖能电力,恒盛能源,长白山,世茂能源,东晶电子,深华发A,建投能源,南京公用,桂东电力,铁流股份,闽东电力,新中港,南方精工,光一退
29,2023-03-14,华脉科技,恒为科技,宏达新材,皖能电力,大晟文化,长白山,银河电子,光一退,世茂能源,深华发A,建投能源,东晶电子,文一科技,杭州热电,新中港,南京公用,桂东电力,闽东电力,铁流股份,恒盛能源
30,2023-03-15,华脉科技,恒为科技,皖能电力,宏达新材,光一退,大晟文化,建投能源,世茂能源,长白山,桂东电力,东晶电子,杭州热电,南京公用,文一科技,深华发A,新中港,闽东电力,铁流股份,银河电子,亚太实业
