,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名
0,2023-07-03,松发股份,金科股份,荣盛发展,京投发展,罗曼股份,永安林业,瑞尔特,东湖高新,元成股份,志邦家居
1,2023-07-04,松发股份,罗曼股份,金科股份,荣盛发展,永安林业,瑞尔特,祥龙电业,顾地科技,京投发展,江河集团
2,2023-07-05,松发股份,金科股份,罗曼股份,荣盛发展,瑞尔特,顾地科技,江河集团,祥龙电业,永安林业,中天精装
3,2023-07-06,荣盛发展,金科股份,松发股份,罗曼股份,顾地科技,瑞尔特,祥龙电业,永安林业,江河集团,空港股份
4,2023-07-07,荣盛发展,金科股份,罗曼股份,松发股份,顾地科技,瑞尔特,东湖高新,祥龙电业,永安林业,江河集团
5,2023-07-10,荣盛发展,金科股份,顾地科技,罗曼股份,松发股份,瑞尔特,东湖高新,祥龙电业,江河集团,永安林业
6,2023-07-11,金科股份,荣盛发展,顾地科技,瑞尔特,纳川股份,东湖高新,罗曼股份,松发股份,梦百合,东鹏控股
7,2023-07-12,金科股份,顾地科技,东湖高新,瑞尔特,东鹏控股,荣盛发展,诚邦股份,纳川股份,梦百合,江河集团
8,2023-07-13,金科股份,顾地科技,瑞尔特,东湖高新,诚邦股份,东鹏控股,国盛金控,梦百合,大千生态,江河集团
9,2023-07-14,金科股份,东湖高新,顾地科技,罗曼股份,瑞尔特,诚邦股份,东鹏控股,国盛金控,津滨发展,大千生态
10,2023-07-17,东湖高新,金科股份,顾地科技,东鹏控股,诚邦股份,罗曼股份,瑞尔特,大千生态,梦百合,祥龙电业
11,2023-07-18,东湖高新,东鹏控股,金科股份,诚邦股份,瑞尔特,祥龙电业,津滨发展,梦百合,汇通能源,元成股份
12,2023-07-19,东湖高新,金科股份,顾地科技,东鹏控股,瑞尔特,梦百合,诚邦股份,中迪投资,津滨发展,南华期货
13,2023-07-20,顾地科技,东鹏控股,荣盛发展,金科股份,东湖高新,中迪投资,诚邦股份,梦百合,津滨发展,瑞尔特
14,2023-07-21,荣盛发展,顾地科技,津滨发展,东鹏控股,东湖高新,金科股份,大龙地产,中迪投资,金埔园林,诚邦股份
15,2023-07-24,金科股份,荣盛发展,顾地科技,东湖高新,东鹏控股,大龙地产,津滨发展,中南建设,中迪投资,诚邦股份
16,2023-07-25,金科股份,荣盛发展,大龙地产,津滨发展,霍普股份,东鹏控股,锦和商管,中南建设,天房发展,东湖高新
17,2023-07-26,金科股份,荣盛发展,霍普股份,津滨发展,中南建设,天房发展,锦和商管,东鹏控股,柯利达,大龙地产
18,2023-07-27,金科股份,荣盛发展,锦和商管,霍普股份,中南建设,东鹏控股,津滨发展,天房发展,大龙地产,新黄浦
19,2023-07-28,金科股份,荣盛发展,锦和商管,东鹏控股,霍普股份,太平洋,国创高新,中南建设,津滨发展,柯利达
20,2023-07-31,金科股份,荣盛发展,锦和商管,中南建设,太平洋,国创高新,东鹏控股,城建发展,天房发展,迪马股份
21,2023-08-01,金科股份,荣盛发展,国创高新,太平洋,城建发展,东鹏控股,中南建设,华远地产,天房发展,锦和商管
22,2023-08-02,金科股份,荣盛发展,太平洋,国创高新,云南城投,华远地产,城建发展,东鹏控股,中南建设,天房发展
23,2023-08-03,荣盛发展,太平洋,金科股份,云南城投,国创高新,华远地产,柯利达,城建发展,天房发展,大龙地产
24,2023-08-04,太平洋,荣盛发展,柯利达,金科股份,云南城投,华远地产,城建发展,国创高新,天房发展,特发服务
25,2023-08-07,太平洋,荣盛发展,金科股份,柯利达,云南城投,哈投股份,城建发展,珠江股份,华远地产,西南证券
26,2023-08-08,太平洋,荣盛发展,柯利达,金科股份,城建发展,云南城投,珠江股份,国创高新,蒙娜丽莎,华创云信
27,2023-08-09,太平洋,荣盛发展,柯利达,城建发展,金科股份,天房发展,华远地产,特发服务,中华企业,珠江股份
