,股票名称,股票代码,涨跌幅,换手率,市盈率(动态),流通市值(万),所属行业,每股收益(元),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%)
0,吉祥航空,603885.SH,1.65,0.56,-10.18,4222108.05,空运,,,,,,
1,江苏国信,002608.SZ,0.6,0.38,356.95,2538869.56,火力发电,,,,,,
2,川网传媒,300987.SZ,-4.09,9.76,149.86,192547.99,互联网,,,,,,
3,嘉泽新能,601619.SH,0.21,0.76,21.87,1151094.77,新型电力,0.22,535439898.8,-30.59,5.3866,2.366585845576,9.63
4,广深铁路,601333.SH,1.23,0.83,-8.77,1396102.54,铁路,-0.28,-1994665063.0,-104.9764617605,-337.7085,3.570207365473,-7.6
5,大有能源,600403.SH,0.59,0.42,7.87,1224095.95,煤炭开采,0.65,1555494589.73,20.68,-66.2917,3.326982886895,19.33
6,浩云科技,300448.SZ,-1.23,11.87,282.57,305648.79,软件服务,,,,,,
7,山东高速,600350.SH,1.55,0.21,11.11,3171478.57,路桥,0.503,2855263089.21,-6.45,-21.7459,6.123090107122,8.28
8,方正证券,601901.SH,1.97,0.6,26.8,5960041.41,证券,0.26,2148043358.68,17.88,-60.053,5.228016067616,5.09
9,五洲交通,600368.SH,1.73,1.56,7.97,463760.41,路桥,0.5169,581800638.15,-17.09,-10.0501,5.065931470815,10.61
10,溢多利,300381.SZ,-1.42,1.0,124.22,429442.53,化学制药,,,,,,
11,嘉友国际,603871.SH,5.72,1.51,21.59,1469642.83,仓储物流,,,,,,
12,川投能源,600674.SH,2.15,0.29,13.97,6347445.56,水力发电,,,,,,
13,青龙管业,002457.SZ,0.79,2.15,17.8,299335.2,塑料,0.5,168217330.53,17.6,94.8495,6.90164036783,7.53
14,健康元,600380.SH,0.51,1.24,17.77,2669998.09,化学制药,0.7933,1502595840.48,13.1,15.5984,6.801727496219,12.23
15,辽宁成大,600739.SH,0.15,0.93,16.79,2054400.28,生物制药,0.8,1223554874.48,-43.34,-84.4161,18.767324538591,4.32
16,中国能建,601868.SH,0.37,4.7,14.41,3840075.26,建筑工程,0.18,7809343000.0,20.07,162.3397,2.216144912625,8.46
17,秦港股份,601326.SH,1.36,0.43,12.77,1422510.14,港口,0.23,1308419060.49,26.0,-53.7312,3.100112375152,7.84
18,荣科科技,300290.SZ,6.31,12.92,95.29,367894.14,软件服务,,,,,,
19,丽人丽妆,605136.SH,-1.87,6.37,-46.85,319645.37,其他商业,-0.35,-139322295.98,-133.92,-124.6196,6.242301200599,-5.3
20,透景生命,300642.SZ,-1.63,1.63,33.89,333113.15,医疗保健,,,,,,
21,亚宝药业,600351.SH,-0.14,1.29,39.19,558250.02,中成药,,,,,,
22,全信股份,300447.SZ,-1.42,2.57,25.22,360567.84,电气设备,,,,,,
23,重庆建工,600939.SH,4.22,2.09,20.29,751206.33,建筑工程,,,,,,
24,天津港,600717.SH,-0.43,1.45,17.9,1325452.48,港口,0.26,740326529.54,-23.9,-103.8752,6.194278996319,4.2
25,东方明珠,600637.SH,-2.26,1.14,68.24,2810133.67,影视音像,,,,,,
26,南方传媒,601900.SH,-2.63,1.21,12.79,928128.12,出版业,,,,,,
27,力鼎光电,605118.SH,-0.14,4.46,31.52,60566.11,元器件,,,,,,
28,大丰实业,603081.SH,-1.5,1.06,78.13,661288.27,专用机械,,,,,,
29,大禹节水,300021.SZ,1.05,0.98,42.72,337176.54,农业综合,0.1149,97057693.13,-28.27,273.689,2.16853271564,5.0
30,中钢国际,000928.SZ,2.74,6.97,18.54,1151670.78,建筑工程,,,,,,
31,万集科技,300552.SZ,0.71,3.3,-177.71,304257.35,软件服务,-0.136,-28988080.89,-168.07,946.9681,12.6155784935,-1.07
32,巨人网络,002558.SZ,-2.79,2.6,27.7,2865054.98,互联网,,,,,,
33,国投电力,600886.SH,0.89,0.22,15.38,7906266.25,水力发电,,,,,,
34,锌业股份,000751.SZ,0.56,3.7,-6663.63,510372.5,铅锌,,,,,,
35,格林精密,300968.SZ,-1.26,2.75,32.28,163257.58,元器件,,,,,,
36,西部建设,002302.SZ,-0.45,2.52,20.5,1128544.75,水泥,0.4157,550573381.95,-34.82,-113.7943,7.099517363637,6.01
37,雅戈尔,600177.SH,1.07,0.33,5.49,3027122.73,服饰,,,,,,
