,股票名称,股票代码,距离前高比例,每股收益(元),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%)
0,深南电A,000037.SZ,0.97,-0.0517,-31147959.3,19.79,-77.1424,2.363605033714,-2.16
1,东晶电子,002199.SZ,0.99,-0.0572,-13924409.49,-170.58,57.6351,1.447681924982,-3.87
2,铁流股份,603926.SH,0.99,0.1,22830716.9,-18.92,60.3427,7.012092946991,1.43
3,深华发A,000020.SZ,0.98,0.0227,6432411.78,8.91,301.2683,1.271432256719,1.8
