,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名
0,2023-06-16,铭普光磁,太辰光,亚康股份,天孚通信,威龙股份,人民网,兆龙互连,光库科技,金百泽,百胜智能
1,2023-06-19,太辰光,铭普光磁,兆龙互连,天孚通信,亚康股份,光库科技,富信科技,威龙股份,华西股份,鼎通科技
2,2023-06-20,太辰光,兆龙互连,铭普光磁,天孚通信,华西股份,富信科技,鼎通科技,亚康股份,光库科技,中际旭创
3,2023-06-21,太辰光,铭普光磁,华西股份,威龙股份,鼎通科技,亚康股份,富信科技,天孚通信,中际旭创,东田微
4,2023-06-26,太辰光,华西股份,铭普光磁,威龙股份,亚康股份,东田微,人民网,上海物贸,鼎通科技,步科股份
5,2023-06-27,东田微,华西股份,铭普光磁,太辰光,鼎通科技,云赛智联,人民网,南方精工,富信科技,威龙股份
6,2023-06-28,华西股份,东田微,中马传动,铭普光磁,南方精工,威龙股份,亚康股份,华脉科技,步科股份,中大力德
7,2023-06-29,中马传动,华西股份,铭普光磁,华脉科技,威龙股份,南方精工,步科股份,鼎捷软件,太辰光,鼎通科技
8,2023-06-30,中马传动,华脉科技,华西股份,太辰光,昊志机电,南方精工,威龙股份,铭普光磁,东田微,鼎通科技
9,2023-07-03,中马传动,昊志机电,华西股份,南方精工,华脉科技,鼎捷软件,太辰光,鼎通科技,威龙股份,步科股份
10,2023-07-04,昊志机电,中马传动,优德精密,南方精工,林州重机,步科股份,华西股份,鼎通科技,太辰光,新时达
11,2023-07-05,昊志机电,林州重机,中马传动,德迈仕,华西股份,优德精密,浙江世宝,太辰光,赛力斯,南方精工
12,2023-07-06,德迈仕,昊志机电,中马传动,浙江世宝,华西股份,步科股份,优德精密,赛力斯,新时达,林州重机
13,2023-07-07,优德精密,浙江世宝,德迈仕,昊志机电,华西股份,中马传动,赛力斯,鼎通科技,步科股份,新时达
14,2023-07-10,浙江世宝,昊志机电,优德精密,德迈仕,新时达,赛力斯,中马传动,华西股份,深南电A,步科股份
15,2023-07-11,昊志机电,浙江世宝,赛力斯,德迈仕,中马传动,新时达,优德精密,华西股份,步科股份,瑞玛精密
16,2023-07-12,浙江世宝,中马传动,昊志机电,大连热电,赛力斯,林州重机,京能热力,步科股份,云南锗业,德迈仕
17,2023-07-13,大连热电,昊志机电,林州重机,京能热力,中马传动,万安科技,浙江世宝,步科股份,香农芯创,赛力斯
18,2023-07-14,昊志机电,浙江世宝,大连热电,香农芯创,中马传动,林州重机,京能热力,鼎捷软件,优德精密,东晶电子
