,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名
47,2023-02-14,海天瑞声,汉王科技,恒久科技,鸿博股份,初灵信息,拓尔思,赛为智能,昆仑万维,天娱数科,科大国创
48,2023-02-15,海天瑞声,初灵信息,汉王科技,鸿博股份,恒久科技,拓尔思,赛为智能,昆仑万维,科大国创,三六零
49,2023-02-16,海天瑞声,鸿博股份,汉王科技,初灵信息,拓尔思,昆仑万维,万兴科技,赛为智能,天娱数科,浪潮信息
50,2023-02-17,海天瑞声,汉王科技,鸿博股份,初灵信息,拓尔思,赛为智能,天娱数科,恒久科技,万兴科技,浪潮信息
51,2023-02-20,海天瑞声,汉王科技,鸿博股份,拓尔思,初灵信息,赛为智能,万兴科技,因赛集团,天娱数科,昆仑万维
52,2023-02-21,海天瑞声,汉王科技,鸿博股份,赛为智能,初灵信息,三六零,拓尔思,万兴科技,因赛集团,天娱数科
53,2023-02-22,海天瑞声,鸿博股份,汉王科技,拓尔思,初灵信息,因赛集团,赛为智能,三六零,万兴科技,浪潮信息
54,2023-02-23,海天瑞声,鸿博股份,汉王科技,拓尔思,初灵信息,赛为智能,因赛集团,三六零,天娱数科,浪潮信息
55,2023-02-24,海天瑞声,鸿博股份,汉王科技,拓尔思,三六零,初灵信息,浪潮信息,因赛集团,汤姆猫,赛为智能
56,2023-02-27,海天瑞声,鸿博股份,汉王科技,初灵信息,浪潮信息,三六零,拓维信息,汤姆猫,拓尔思,蓝海华腾
57,2023-02-28,海天瑞声,鸿博股份,汉王科技,浪潮信息,初灵信息,三六零,拓维信息,拓尔思,汤姆猫,因赛集团
58,2023-03-01,海天瑞声,鸿博股份,浪潮信息,汉王科技,三六零,昆仑万维,拓维信息,汤姆猫,因赛集团,寒武纪-U
59,2023-03-02,海天瑞声,鸿博股份,浪潮信息,汤姆猫,三六零,汉王科技,因赛集团,拓维信息,拓尔思,万兴科技
60,2023-03-03,鸿博股份,海天瑞声,汤姆猫,三六零,浪潮信息,拓维信息,万兴科技,博彦科技,华电重工,因赛集团
61,2023-03-06,鸿博股份,汤姆猫,三六零,拓维信息,海天瑞声,浪潮信息,万兴科技,华电重工,中科曙光,博彦科技
