,股票名称,股票代码,距离前高比例,每股收益(元),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%)
0,五方光电,002962.SZ,0.99,0.04,12236285.22,-35.62,-51.3923,6.242462598987,0.67
1,江苏雷利,300660.SZ,0.97,0.274,71715114.33,3.41,58.094,11.701518837294,2.37
