,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名
0,2023-02-06,通达动力,同为股份,远大智能,禾盛新材,宏盛股份,中贝通信,博杰股份,恒为科技,巨轮智能,德创环保
1,2023-02-07,通达动力,同为股份,雷柏科技,禾盛新材,博杰股份,宏盛股份,威尔泰,德创环保,中贝通信,方正电机
2,2023-02-08,通达动力,同为股份,雷柏科技,禾盛新材,万润科技,宏盛股份,博杰股份,方正电机,联诚精密,威尔泰
3,2023-02-09,通达动力,同为股份,雷柏科技,春兴精工,禾盛新材,博杰股份,宏盛股份,威尔泰,联诚精密,苏州固锝
4,2023-02-10,同为股份,通达动力,雷柏科技,禾盛新材,春兴精工,博杰股份,万润科技,威尔泰,宏盛股份,联诚精密
5,2023-02-13,同为股份,通达动力,雷柏科技,春兴精工,禾盛新材,博杰股份,万润科技,捷昌驱动,德创环保,中成股份
6,2023-02-14,同为股份,春兴精工,雷柏科技,通达动力,禾盛新材,博杰股份,捷昌驱动,威尔泰,润达医疗,万润科技
7,2023-02-15,同为股份,雷柏科技,博杰股份,禾盛新材,春兴精工,威尔泰,捷昌驱动,联诚精密,润达医疗,华脉科技
8,2023-02-16,同为股份,博杰股份,雷柏科技,春兴精工,禾盛新材,捷昌驱动,联诚精密,威尔泰,润达医疗,鼎捷软件
9,2023-02-17,同为股份,春兴精工,博杰股份,雷柏科技,捷昌驱动,德创环保,荣晟环保,联诚精密,禾盛新材,威尔泰
10,2023-02-20,同为股份,春兴精工,捷昌驱动,雷柏科技,博杰股份,威尔泰,恒为科技,联诚精密,德创环保,荣晟环保
11,2023-02-21,同为股份,春兴精工,德创环保,雷柏科技,荣晟环保,捷昌驱动,威尔泰,禾盛新材,华脉科技,优德精密
12,2023-02-22,同为股份,春兴精工,德创环保,荣晟环保,雷柏科技,捷昌驱动,博杰股份,中贝通信,联诚精密,威尔泰
13,2023-02-23,同为股份,春兴精工,德创环保,荣晟环保,捷昌驱动,华丰股份,中贝通信,博杰股份,雷柏科技,禾盛新材
14,2023-02-24,同为股份,荣晟环保,德创环保,春兴精工,中贝通信,捷昌驱动,雷柏科技,博杰股份,威尔泰,华丰股份
15,2023-02-27,荣晟环保,中贝通信,同为股份,德创环保,华脉科技,恒为科技,春兴精工,捷昌驱动,雷柏科技,博杰股份
16,2023-02-28,华脉科技,中贝通信,荣晟环保,德创环保,春兴精工,同为股份,柳药集团,博杰股份,恒为科技,雷柏科技
17,2023-03-01,华脉科技,中贝通信,春兴精工,荣晟环保,恒为科技,柳药集团,华丰股份,德创环保,博杰股份,雷柏科技
18,2023-03-02,华脉科技,恒为科技,柳药集团,中贝通信,春兴精工,荣晟环保,华丰股份,东方通信,鼎捷软件,雷柏科技
19,2023-03-03,华脉科技,柳药集团,华丰股份,恒为科技,荣晟环保,中贝通信,春兴精工,东方通信,中成股份,上海机电
20,2023-03-06,华脉科技,柳药集团,润达医疗,华丰股份,荣晟环保,恒为科技,中成股份,中贝通信,东方通信,春兴精工
21,2023-03-07,华脉科技,柳药集团,润达医疗,恒为科技,中成股份,中贝通信,博杰股份,荣晟环保,东方通信,上海机电
22,2023-03-08,华脉科技,柳药集团,恒为科技,润达医疗,东方通信,中贝通信,中成股份,荣晟环保,通达动力,华丰股份
