,股票名称,股票代码,涨跌幅,换手率,市盈率(动态),流通市值(万),所属行业,每股收益(元),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%)
57,天士力,600535.SH,1.5,1.1,-90.85,2330534.0,中成药,-0.17,-256514049.91,-110.87,6.3976,8.271597699508,-2.04
58,世纪鼎利,300050.SZ,-3.92,3.49,-91.21,224660.92,通信设备,,,,,,
59,力诺特玻,301188.SZ,2.37,1.4,39.93,299110.63,玻璃,,,,,,
60,惠而浦,600983.SH,2.92,0.26,-61.87,620815.59,家用电器,,,,,,
61,省广集团,002400.SZ,-3.13,5.82,45.7,941451.51,广告包装,0.12,212863595.19,15.75,513.8566,2.753286396835,4.49
62,中谷物流,603565.SH,1.74,1.95,9.06,760692.4,仓储物流,1.93,2741385744.05,14.02,-16.6002,6.556638801763,28.36
63,领益智造,002600.SZ,-0.65,0.48,26.18,4190034.19,元器件,,,,,,
64,远方信息,300306.SZ,-0.33,4.3,40.25,182225.4,电器仪表,,,,,,
65,西藏旅游,600749.SH,-2.1,9.78,-111.63,327965.17,旅游景点,-0.1322,-29380621.07,-264.3491409555,-234.6684,4.388228988239,-2.907
66,鼎捷软件,300378.SZ,1.06,4.85,48.18,632861.45,软件服务,,,,,,
67,新疆交建,002941.SZ,-1.64,6.5,32.69,1151990.64,建筑工程,,,,,,
68,万润科技,002654.SZ,10.01,13.08,-92.56,629744.22,互联网,,,,,,
69,游族网络,002174.SZ,-5.29,6.41,144.65,1424628.62,互联网,,,,,,
70,新开普,300248.SZ,-3.66,6.2,-396.49,479655.65,软件服务,,,,,,
71,高德红外,002414.SZ,-0.17,0.43,56.43,3154943.94,电器仪表,,,,,,
72,电光科技,002730.SZ,1.35,4.31,35.44,310734.83,专用机械,,,,,,
73,世纪瑞尔,300150.SZ,-3.95,2.4,-590.19,211326.38,软件服务,,,,,,
74,珠江啤酒,002461.SZ,0.43,0.46,34.18,2045115.52,啤酒,0.27,598264071.35,-2.11,-89.1945,4.345320279311,6.36
75,上海机电,600835.SH,1.75,0.68,13.91,1076683.24,运输设备,0.96,981474003.98,21.03,-36.7559,12.665500922421,7.78
76,中国铁建,601186.SH,3.18,2.27,5.46,12331479.18,建筑工程,1.76,26642094000.0,7.9,49.7056,16.975852793857,11.05
77,科泰电源,300153.SZ,-3.07,7.15,119.38,271262.99,电气设备,,,,,,
78,木林森,002745.SZ,0.53,1.72,26.7,910448.91,电气设备,,,,,,
79,雷曼光电,300162.SZ,-2.2,2.41,47.39,199559.17,元器件,,,,,,
80,重庆水务,601158.SH,0.0,0.23,13.68,2611200.0,水务,0.4,1909085670.79,-8.11,-70.0572,3.556882565831,11.54
81,动力源,600405.SH,0.45,3.68,-230.51,372354.38,电气设备,,,,,,
82,胜蓝股份,300843.SZ,-2.43,1.9,37.68,98865.58,元器件,,,,,,
83,透景生命,300642.SZ,-1.63,1.63,33.89,333113.15,医疗保健,,,,,,
84,兴蓉环境,000598.SZ,0.58,0.47,9.56,1537722.53,水务,,,,,,
85,通鼎互联,002491.SZ,-2.0,2.67,72.37,690570.06,通信设备,,,,,,
86,华天科技,002185.SZ,-1.78,1.83,44.63,3363936.78,半导体,0.2353,753945434.18,-46.74,-73.9344,4.927188270671,4.89
87,中信出版,300788.SZ,-6.58,3.3,45.15,569313.64,出版业,0.66,126087994.09,-47.81,-125.7631,10.842491842886,6.16
88,京沪高铁,601816.SH,2.7,0.43,1289.91,26173756.3,铁路,,,,,,
89,大晟文化,600892.SH,-3.63,3.02,132.47,326642.61,影视音像,0.04,24664776.21,121.7957501975,-69.2814,0.319364030571,14.83
90,宇瞳光学,300790.SZ,-2.09,1.35,46.23,432637.22,元器件,,,,,,
91,长亮科技,300348.SZ,-4.23,5.87,449.97,845280.96,软件服务,0.0311,22433111.6,-82.22,2259.2124,,1.5
92,飞荣达,300602.SZ,-0.06,1.01,95.16,569086.9,元器件,0.19,96187096.04,219.62,150.4938,5.027053951016,3.85
93,新智认知,603869.SH,-2.76,1.17,113.12,498446.5,软件服务,,,,,,
94,瑞丰光电,300241.SZ,-1.57,1.49,101.05,321704.82,半导体,,,,,,
95,设计总院,603357.SH,0.88,2.0,12.13,522269.56,建筑工程,0.97,442840982.57,14.04,-7.1903,6.70829836808,14.68
96,神州信息,000555.SZ,-2.13,1.17,65.64,1350531.72,软件服务,0.2139,206512212.05,-45.1,1825.5247,6.121532388024,3.45
97,中信海直,000099.SZ,2.14,2.34,32.43,576694.69,空运,0.25,194230177.21,-21.2,-35.034,6.341601639714,4.03
98,我爱我家,000560.SZ,-3.71,3.46,-27.18,758186.19,房产服务,,,,,,
99,皖新传媒,601801.SH,-3.0,0.83,11.59,1285026.26,出版业,,,,,,
100,启明信息,002232.SZ,-3.45,4.42,93.87,686769.95,软件服务,0.1791,73160598.7,81.07,-60.5251,3.383742150316,5.4
101,利亚德,300296.SZ,2.51,2.49,62.38,1432144.38,半导体,0.1107,281402316.06,-53.94,-191.5553,3.180032305096,3.56
102,工业富联,601138.SH,-0.77,0.51,17.74,35499243.39,通信设备,1.02,20073072000.0,0.3,68.0892,6.494352225647,16.17
103,电广传媒,000917.SZ,-2.53,1.47,78.42,874472.16,影视音像,,,,,,
104,读客文化,301025.SZ,-7.16,15.32,86.68,135405.96,出版业,,,,,,
105,漫步者,002351.SZ,2.02,14.79,63.79,870184.14,IT设备,0.28,246552518.3,-21.87,13.7914,2.5884247443,10.97
106,通化东宝,600867.SH,2.92,1.46,15.48,2455475.71,生物制药,,,,,,
107,万胜智能,300882.SZ,8.3,16.71,36.92,117978.0,电器仪表,,,,,,
108,国投资本,600061.SH,2.54,0.6,15.9,4677622.96,证券,0.44,2941523013.15,-38.63,188.9537,7.479643918985,6.04
109,中国动力,600482.SH,0.06,0.47,92.6,3375674.94,船舶,,,,,,
110,新湖中宝,600208.SH,-0.97,1.05,12.31,2622442.44,全国地产,,,,,,
111,超图软件,300036.SZ,-2.79,3.1,-32.91,978751.07,软件服务,-0.69,-338643060.13,-217.75,-458.4139,5.745577916941,-11.32
112,苏美达,600710.SH,1.76,2.95,9.9,906884.11,商贸代理,0.7,915850266.9,19.4,-61.2924,4.78817697235,15.37
113,工商银行,601398.SH,2.16,0.13,4.68,127526576.53,银行,0.97,360483000000.0,3.486556161,0.3658,8.81250929415,11.43
114,京新药业,002020.SZ,2.78,3.22,20.18,1018733.99,化学制药,0.77,662253823.96,8.12,9.0429,5.976712211505,13.46
115,浙版传媒,601921.SH,-4.26,7.0,17.98,360577.56,出版业,,,,,,
116,飞龙股份,002536.SZ,-0.94,2.29,61.66,496092.36,汽车配件,,,,,,
117,华宝股份,300741.SZ,2.81,0.94,22.36,1620988.66,食品,1.18,724925228.0,-27.82,40.5483,12.243422143924,9.7
118,中兴商业,000715.SZ,-3.98,6.64,41.03,350725.27,百货,0.21,85625744.93,-37.0,56.5335,4.174560944998,5.07
119,博敏电子,603936.SH,-1.14,4.11,54.09,750676.77,元器件,,,,,,
120,宇新股份,002986.SZ,1.79,1.25,15.06,423895.28,化工原料,1.9373,430368541.18,205.24,-24.2178,10.740008731921,19.19
121,白云机场,600004.SH,2.16,0.73,-35.57,3810416.44,机场,,,,,,
122,东方国信,300166.SZ,-2.29,7.41,99.12,1139149.35,软件服务,,,,,,
123,金百泽,301041.SZ,-2.78,6.32,74.55,118064.36,元器件,,,,,,
124,数字政通,300075.SZ,-3.74,12.88,60.61,1176151.72,软件服务,,,,,,
125,光迅科技,002281.SZ,-1.86,3.17,30.86,1742749.14,通信设备,,,,,,
126,百联股份,600827.SH,4.4,0.91,-91.88,2095411.6,超市连锁,,,,,,
127,上海银行,601229.SH,1.31,0.41,3.95,8571672.78,银行,,,,,,
128,深圳能源,000027.SZ,2.06,0.66,14.09,3068516.5,火力发电,,,,,,
129,博思软件,300525.SZ,-0.92,1.67,965.77,1113750.42,软件服务,,,,,,
130,人福医药,600079.SH,3.82,1.01,18.95,4201643.59,化学制药,1.54,2484108585.43,88.6,-64.0728,9.209805942289,17.63
131,江西铜业,600362.SH,0.89,0.87,12.42,4461781.92,铜,1.73,5993964274.0,6.36,0.282,21.231417084408,8.36
132,金杯电工,002533.SZ,-0.26,5.95,15.43,468986.29,电气设备,0.505,370605768.9,11.85,17.6452,4.931216328907,10.5
133,TCL科技,000100.SZ,0.22,0.8,292.02,6102296.78,元器件,0.0191,261319000.0,-97.4,94.9472,2.968535649124,0.52
134,易联众,300096.SZ,-8.05,7.71,-12.82,271094.92,软件服务,,,,,,
135,大族激光,002008.SZ,-0.41,1.55,25.27,2844745.91,电器仪表,1.15,1209724387.21,-39.35,-48.6499,12.877818469527,8.93
136,中国中冶,601618.SH,0.93,1.19,8.78,7765889.34,建筑工程,0.45,10272357000.0,22.66,323.7513,4.468733670504,10.47
