,股票名称,股票代码,收盘价,发散因子(倍),近期涨停数
0,维海德,301318.SZ,60.59,2.84,1
1,农业银行,601288.SH,3.1,1.53,0
2,万兴科技,300624.SZ,72.4,1.61,5
3,华力创通,300045.SZ,9.86,2.53,0
4,工商银行,601398.SH,4.51,2.07,0
5,*ST海伦,300201.SZ,3.9,1.87,0
6,ST泛微,603039.SH,70.08,2.18,0
7,建设银行,601939.SH,6.02,1.56,0
8,中国银行,601988.SH,3.51,2.01,0
9,创业慧康,300451.SZ,10.14,1.67,0
10,光云科技,688365.SH,18.5,2.74,3
11,鼎捷软件,300378.SZ,21.5,2.58,1
12,彩讯股份,300634.SZ,28.32,1.56,3
