,股票名称,股票代码,收盘价,发散因子(倍),近期涨停数,涨跌幅,换手率,市盈率(动态),流通市值(万),所属行业
0,金麒麟,603586.SH,16.45,1.67,0,0.06,0.7,17.49,317605.5,汽车配件
1,威帝股份,603023.SH,4.52,1.73,0,4.09,8.36,-1139.58,257432.55,汽车配件
2,亚太股份,002284.SZ,9.83,1.31,0,-3.4,7.51,48.04,726154.92,汽车配件
3,东风科技,600081.SH,15.39,3.01,1,-2.74,5.7,140.79,400416.12,汽车配件
4,天润工业,002283.SZ,6.5,1.31,0,4.06,7.13,19.5,712535.15,汽车配件
5,襄阳轴承,000678.SZ,9.0,4.14,3,-5.85,20.44,-40.74,354820.31,汽车配件
6,雪龙集团,603949.SH,16.43,1.57,0,-0.43,0.89,46.41,341983.94,汽车配件
7,松芝股份,002454.SZ,8.74,1.31,0,-0.7,1.92,28.43,534785.41,汽车配件
8,雷迪克,300652.SZ,23.29,2.55,0,0.65,2.61,35.53,214110.91,汽车配件
9,英利汽车,601279.SH,6.12,2.37,2,-1.2,8.7,273.68,112964.43,汽车配件
10,沪光股份,605333.SH,16.94,1.55,0,3.75,9.94,-75.22,168761.88,汽车配件
11,航天科技,000901.SZ,10.84,1.14,0,-1.59,1.6,1073.43,840506.08,汽车配件
12,登云股份,002715.SZ,15.08,1.12,0,-1.0,0.62,-62.43,205482.0,汽车配件
13,铭科精技,001319.SZ,21.65,1.05,0,-1.06,1.48,41.99,170506.64,汽车配件
14,东安动力,600178.SH,6.97,1.99,0,-4.37,6.22,-71.09,323456.0,汽车配件
15,德迈仕,301007.SZ,19.85,2.93,1,-8.37,44.3,112.07,285410.29,汽车配件
16,信质集团,002664.SZ,14.3,1.35,0,-0.14,0.67,36.09,563674.4,汽车配件
17,天汽模,002510.SZ,3.98,2.7,0,-1.01,0.9,305.33,365088.89,汽车配件
18,银轮股份,002126.SZ,17.75,1.28,0,-0.06,2.26,27.59,1316322.94,汽车配件
19,蠡湖股份,300694.SZ,10.81,2.15,0,-0.37,1.39,55.1,224254.13,汽车配件
20,福达股份,603166.SH,6.9,1.85,0,-0.88,0.6,35.92,438129.47,汽车配件
21,中原内配,002448.SZ,7.28,1.35,0,-0.83,1.75,12.9,341677.34,汽车配件
22,渤海汽车,600960.SH,4.21,1.54,0,-0.74,4.32,-744.17,380206.21,汽车配件
23,合兴股份,605005.SH,17.41,1.8,0,-10.0,29.71,49.68,95922.52,汽车配件
24,圣龙股份,603178.SH,14.91,4.11,2,-7.28,10.36,127.55,297878.97,汽车配件
25,星宇股份,601799.SH,127.95,1.52,0,0.39,0.3,47.21,3845244.98,汽车配件
