,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名,第11名,第12名,第13名,第14名,第15名,第16名,第17名,第18名,第19名,第20名
0,2022-12-05,通润装备,中国科传,美利云,易华录,中铁装配,中国武夷,福石控股,中国海诚,浙数文化,宏微科技,人民网,中国交建,三湘印象,信雅达,幸福蓝海,卓朗科技,中国电影,三五互联,中成股份,朗进科技
1,2022-12-06,通润装备,中国科传,美利云,易华录,宏微科技,中铁装配,人民网,中国武夷,卓朗科技,信雅达,福石控股,中国海诚,浙数文化,幸福蓝海,中国交建,朗进科技,敦煌种业,三五互联,三湘印象,渝开发
2,2022-12-07,通润装备,人民网,中国科传,信雅达,美利云,卓朗科技,易华录,宏微科技,中铁装配,中国武夷,福石控股,幸福蓝海,浙数文化,中国海诚,中国交建,沃格光电,三湘印象,东百集团,朗进科技,三五互联
3,2022-12-08,通润装备,中国科传,美利云,宏微科技,中铁装配,易华录,人民网,卓朗科技,中国武夷,信雅达,幸福蓝海,芯碁微装,东百集团,小商品城,中国交建,沃格光电,中国电影,朗进科技,三五互联,中成股份
4,2022-12-09,通润装备,中国科传,美利云,宏微科技,易华录,卓朗科技,中铁装配,中成股份,芯碁微装,中国武夷,人民网,沃格光电,幸福蓝海,朗进科技,中国海诚,晶晨股份,小商品城,中国电影,万达电影,中国交建
5,2022-12-12,通润装备,卓朗科技,中国科传,宏微科技,易华录,芯碁微装,中铁装配,人民网,美利云,晶晨股份,中成股份,海天瑞声,汉王科技,朗进科技,浙数文化,幸福蓝海,沃格光电,小商品城,中国武夷,华峰测控
6,2022-12-13,通润装备,卓朗科技,中国科传,宏微科技,易华录,中铁装配,中国武夷,中国海诚,亚联发展,人民网,幸福蓝海,芯碁微装,黑芝麻,中青旅,中成股份,汉王科技,中国交建,沃格光电,广汇物流,卓然股份
7,2022-12-14,通润装备,中国科传,卓朗科技,黑芝麻,宏微科技,中铁装配,易华录,中青旅,汉王科技,云赛智联,曲江文旅,中国交建,西安旅游,卓然股份,幸福蓝海,中国海诚,中国武夷,人民网,芯碁微装,沃格光电
8,2022-12-15,通润装备,中国科传,广汇物流,易华录,云赛智联,卓朗科技,人民网,中铁装配,中国武夷,黑芝麻,卓然股份,中青旅,宏微科技,沃格光电,易天股份,长江投资,中国交建,敏芯股份,中国海诚,中成股份
9,2022-12-16,通润装备,中国科传,黑芝麻,易华录,人民网,中国武夷,中铁装配,卓朗科技,广汇物流,中青旅,西安旅游,云赛智联,卓然股份,易天股份,中国交建,大港股份,芯碁微装,曲江文旅,中国海诚,宏微科技
10,2022-12-19,通润装备,中国科传,黑芝麻,中国武夷,人民网,中青旅,云赛智联,中铁装配,西安旅游,卓朗科技,广汇物流,易天股份,中成股份,中京电子,曲江文旅,卓然股份,米奥会展,中国海诚,敦煌种业,幸福蓝海
11,2022-12-20,通润装备,黑芝麻,中国科传,易天股份,中国武夷,中青旅,人民网,卓朗科技,云赛智联,西安旅游,曲江文旅,敦煌种业,卓然股份,芯碁微装,中富电路,广汇物流,三五互联,敏芯股份,小商品城,幸福蓝海
12,2022-12-21,通润装备,人民网,黑芝麻,西安旅游,中青旅,易天股份,曲江文旅,卓朗科技,卓然股份,中国武夷,云赛智联,广汇物流,中国科传,敦煌种业,中富电路,小商品城,大港股份,米奥会展,海南机场,东百集团
13,2022-12-22,通润装备,黑芝麻,人民网,西安旅游,中青旅,卓朗科技,易天股份,卓然股份,曲江文旅,云赛智联,敦煌种业,三五互联,中京电子,广汇物流,大港股份,小商品城,中晶科技,幸福蓝海,芒果超媒,海南机场
14,2022-12-23,通润装备,人民网,黑芝麻,西安旅游,卓朗科技,佳华科技,中青旅,云赛智联,易天股份,曲江文旅,卓然股份,芒果超媒,中京电子,海南机场,华谊兄弟,幸福蓝海,敦煌种业,安妮股份,山大地纬,万达电影
15,2022-12-26,人民网,通润装备,三五互联,西安旅游,黑芝麻,卓朗科技,云赛智联,佳华科技,中青旅,易天股份,卓然股份,中京电子,曲江文旅,海南机场,敦煌种业,芒果超媒,敏芯股份,安妮股份,广汇物流,大港股份
