,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名
0,2023-02-23,艾迪精密,汉宇集团,金道科技,爱仕达,绿的谐波,领益智造,昊志机电,阿尔特,光洋股份,国茂股份
1,2023-02-24,艾迪精密,汉宇集团,金道科技,领益智造,光洋股份,阿尔特,国茂股份,优德精密,昊志机电,万里扬
2,2023-02-27,汉宇集团,艾迪精密,金道科技,阿尔特,万里扬,绿的谐波,昊志机电,新时达,优德精密,国茂股份
3,2023-02-28,艾迪精密,金道科技,汉宇集团,阿尔特,领益智造,大族激光,优德精密,绿的谐波,万里扬,南方精工
4,2023-03-01,艾迪精密,金道科技,阿尔特,国茂股份,上海机电,汉宇集团,绿的谐波,大族激光,领益智造,优德精密
5,2023-03-02,金道科技,艾迪精密,国茂股份,汉宇集团,阿尔特,上海机电,大族激光,领益智造,万里扬,昊志机电
6,2023-03-03,艾迪精密,金道科技,国茂股份,阿尔特,上海机电,汉宇集团,万里扬,大族激光,优德精密,昊志机电
7,2023-03-06,金道科技,艾迪精密,万里扬,上海机电,汉宇集团,大叶股份,国茂股份,大族激光,爱仕达,昊志机电
8,2023-03-07,金道科技,艾迪精密,上海机电,万里扬,大叶股份,国茂股份,领益智造,阿尔特,爱仕达,优德精密
9,2023-03-08,金道科技,艾迪精密,上海机电,大叶股份,国茂股份,万里扬,阿尔特,领益智造,优德精密,大族激光
10,2023-03-09,金道科技,上海机电,阿尔特,艾迪精密,万里扬,大叶股份,领益智造,优德精密,昊志机电,国茂股份
11,2023-03-10,金道科技,山子股份,上海机电,阿尔特,艾迪精密,万里扬,优德精密,领益智造,国茂股份,大叶股份
12,2023-03-13,金道科技,上海机电,山子股份,领益智造,大叶股份,万里扬,优德精密,昊志机电,艾迪精密,南方精工
13,2023-03-14,金道科技,山子股份,上海机电,领益智造,优德精密,大叶股份,万里扬,昊志机电,秦川机床,阿尔特
14,2023-03-15,金道科技,上海机电,山子股份,优德精密,大叶股份,领益智造,昊志机电,秦川机床,埃夫特-U,万里扬
15,2023-03-16,金道科技,上海机电,大叶股份,山子股份,秦川机床,新时达,优德精密,昊志机电,领益智造,埃夫特-U
16,2023-03-17,金道科技,上海机电,大叶股份,秦川机床,山子股份,领益智造,昊志机电,埃夫特-U,万里扬,新时达
17,2023-03-20,上海机电,金道科技,领益智造,山子股份,秦川机床,万里扬,昊志机电,埃夫特-U,大叶股份,优德精密
18,2023-03-21,上海机电,领益智造,金道科技,万里扬,秦川机床,山子股份,大叶股份,埃夫特-U,优德精密,昊志机电
19,2023-03-22,上海机电,金道科技,领益智造,埃夫特-U,山子股份,大叶股份,秦川机床,优德精密,万里扬,大族激光
