,股票名称,股票代码,收盘价,发散因子(倍),近期涨停数
0,中马传动,603767.SH,15.46,1.56,6
1,鼎捷软件,300378.SZ,34.17,1.79,2
2,华脉科技,603042.SH,25.16,1.78,5
3,润达医疗,603108.SH,18.91,1.64,4
4,禾盛新材,002290.SZ,13.35,1.25,1
5,东方通信,600776.SH,14.25,2.37,2
