,股票名称,股票代码,涨跌幅,换手率,市盈率(动态),流通市值(万),所属行业,每股收益(元),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%)
0,奥飞娱乐,002292.SZ,10.04,13.55,272.26,1197664.27,影视音像,0.0113,16673884.85,154.44,110.4595,2.202050331055,0.51
1,中交地产,000736.SZ,4.24,11.12,-12.71,1026460.12,全国地产,-0.29,-201892968.86,-385.97,-197.007,4.444698019526,-6.22
2,黑芝麻,000716.SZ,0.42,11.68,128.26,491857.5,食品,0.014,10354260.62,62.26,106.952,3.340710226572,0.42
3,创维数字,000810.SZ,-3.39,7.39,48.15,2195960.81,家用电器,0.1028,117354536.34,-43.62,1.0353,5.336509621429,1.93
4,东方锆业,002167.SZ,-0.95,4.66,144.37,510447.8,小金属,0.0136,9838927.05,-83.62,133.6545,1.884174143838,0.68
5,东方智造,002175.SZ,10.09,9.33,1535.25,459637.46,电器仪表,0.0006,748478.19,-91.4,-98.8457,0.383495836972,0.15
6,吉翔股份,603399.SH,3.53,8.09,46.62,631142.08,小金属,0.07,34266782.11,1662.76,-90.0844,4.56740573075,1.47
7,游族网络,002174.SZ,-2.33,10.34,109.76,1876964.2,互联网,0.05,42849833.45,-46.4,106.0449,4.812700284432,0.95
8,京投发展,600683.SH,10.05,13.57,9.03,445948.11,区域地产,0.06,123494599.17,81.52,390.7208,3.87393342141,1.5
9,德力股份,002571.SZ,0.99,5.17,-14.6,182861.69,家居用品,-0.105,-41151767.91,-1695.09,62.8991,3.246505367639,-3.18
10,上海港湾,605598.SH,-1.52,5.49,71.68,249266.82,建筑工程,0.17,28527981.37,-72.88,51.812,9.001057407803,1.81
11,中国武夷,000797.SZ,3.86,7.55,-13.31,507163.14,全国地产,-0.0607,-95321639.69,-1008.62,-2273.0922,3.172832842638,-1.87
12,宏柏新材,605366.SH,-3.5,2.4,359.03,284122.15,化工原料,0.01,4114654.03,-96.58,-87.9101,4.617214648193,0.2
13,和胜股份,002824.SZ,-1.23,4.85,58.77,378474.39,铝,0.12,24590496.73,-51.23,-61.046,8.049546228962,1.55
14,北京文化,000802.SZ,10.07,12.98,-126.47,594551.63,影视音像,-0.0164,-11760259.5,43.52,46.9873,2.128697323875,-0.77
15,威龙股份,603779.SH,10.0,10.23,-38.18,270857.81,红黄酒,-0.05,-17735810.99,-295.8915745545,-324.4717,2.054778628378,-2.53
16,王子新材,002735.SZ,-2.42,1.79,1001.39,262467.86,塑料,0.0049,1052631.63,-97.42,-92.1789,4.011504590566,0.12
17,捷安高科,300845.SZ,-1.78,12.28,-108.1,159243.78,软件服务,-0.06,-6225726.47,36.2,-117.7964,6.952297484823,-0.81
18,焦点科技,002315.SZ,-5.3,12.45,68.11,827850.87,互联网,0.1561,48584409.56,19.79,-21.2329,6.488217435347,2.13
19,城建发展,600266.SH,4.49,4.06,48.22,1207247.62,区域地产,0.0021,62586466.79,106.1763425164,144.9027,8.949164050149,0.02
20,常山北明,000158.SZ,2.53,17.16,-39.6,1280792.98,软件服务,-0.0511,-81748331.21,5.47,-13.3108,3.671255652373,-1.38
21,万里石,002785.SZ,0.26,4.46,-321.22,384357.28,其他建材,-0.0181,-3610096.03,-165.68,89.1586,2.945275650211,-0.61
