,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名,第11名,第12名,第13名,第14名,第15名,第16名,第17名,第18名,第19名,第20名
0,2023-02-10,中航电测,海天瑞声,云从科技-UW,汉王科技,赛为智能,格灵深瞳,金龙羽,鸿博股份,奥联电子,初灵信息,光云科技,耀皮玻璃,华图山鼎,智能自控,拓尔思,铜牛信息,天娱数科,上海洗霸,科大国创,通合科技
1,2023-02-13,中航电测,海天瑞声,云从科技-UW,汉王科技,鸿博股份,拓尔思,格灵深瞳,初灵信息,金龙羽,光云科技,赛为智能,华图山鼎,通合科技,昆仑万维,天娱数科,泉为科技,耀皮玻璃,灿勤科技,智能自控,天孚通信
2,2023-02-14,中航电测,海天瑞声,云从科技-UW,汉王科技,金龙羽,鸿博股份,初灵信息,拓尔思,泉为科技,通合科技,赛为智能,昆仑万维,格灵深瞳,天娱数科,宇通重工,灿勤科技,耀皮玻璃,同为股份,光云科技,科大国创
3,2023-02-15,中航电测,海天瑞声,云从科技-UW,初灵信息,汉王科技,鸿博股份,通合科技,金龙羽,拓尔思,赛为智能,格灵深瞳,昆仑万维,泉为科技,科恒股份,科大国创,三六零,智能自控,天娱数科,灿勤科技,浪潮信息
4,2023-02-16,中航电测,海天瑞声,鸿博股份,云从科技-UW,汉王科技,初灵信息,通合科技,拓尔思,金龙羽,昆仑万维,万兴科技,赛为智能,天娱数科,浪潮信息,科恒股份,三六零,格灵深瞳,光云科技,智能自控,泉为科技
5,2023-02-17,中航电测,海天瑞声,汉王科技,鸿博股份,云从科技-UW,初灵信息,拓尔思,赛为智能,通合科技,金龙羽,智能自控,天娱数科,格灵深瞳,万兴科技,浪潮信息,锐明技术,航天晨光,昆仑万维,科恒股份,灿勤科技
6,2023-02-20,中航电测,海天瑞声,汉王科技,鸿博股份,云从科技-UW,拓尔思,金龙羽,通合科技,初灵信息,赛为智能,万兴科技,智能自控,因赛集团,天娱数科,昆仑万维,浪潮信息,三六零,汤姆猫,科恒股份,格灵深瞳
7,2023-02-21,中航电测,海天瑞声,汉王科技,鸿博股份,云从科技-UW,智能自控,赛为智能,通合科技,初灵信息,三六零,拓尔思,万兴科技,因赛集团,科恒股份,天娱数科,金龙羽,金冠电气,昆仑万维,浪潮信息,格灵深瞳
8,2023-02-22,中航电测,海天瑞声,鸿博股份,汉王科技,云从科技-UW,拓尔思,初灵信息,因赛集团,智能自控,金冠电气,通合科技,赛为智能,三六零,万兴科技,浪潮信息,昆仑万维,天娱数科,迈得医疗,科恒股份,华锡有色
9,2023-02-23,中航电测,海天瑞声,鸿博股份,汉王科技,文化退,云从科技-UW,金冠电气,拓尔思,通合科技,初灵信息,赛为智能,因赛集团,三六零,智能自控,天娱数科,浪潮信息,万兴科技,迈得医疗,金龙羽,东方锆业
