,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名
0,2023-03-15,北方国际,中国中铁,中国交建,龙建股份,亚翔集成,南华期货,中国铁建,中油资本,中材国际,中国化学
1,2023-03-16,北方国际,龙建股份,亚翔集成,中国交建,中国中铁,中油资本,南华期货,张江高科,中国铁建,中材国际
2,2023-03-17,北方国际,龙建股份,中国交建,张江高科,中国中铁,中油资本,亚翔集成,中国铁建,中材国际,中工国际
3,2023-03-20,北方国际,龙建股份,张江高科,中工国际,中国交建,中国中铁,中油资本,中国铁建,中材国际,新疆交建
4,2023-03-21,北方国际,张江高科,龙建股份,中工国际,华凯易佰,中国交建,万通发展,中国中铁,财信发展,中材国际
5,2023-03-22,北方国际,张江高科,龙建股份,中工国际,华凯易佰,财信发展,中材国际,中国交建,中国中铁,万通发展
6,2023-03-23,北方国际,张江高科,中工国际,财信发展,中国交建,中材国际,华凯易佰,中国中铁,龙建股份,亚翔集成
7,2023-03-24,北方国际,张江高科,华凯易佰,财信发展,中工国际,汇通能源,中材国际,中国交建,中国中铁,龙建股份
8,2023-03-27,北方国际,张江高科,中工国际,华凯易佰,万通发展,财信发展,中国交建,汇通能源,中材国际,龙建股份
9,2023-03-28,北方国际,张江高科,华凯易佰,中工国际,中国交建,汇通能源,中油资本,中材国际,中国中铁,财信发展
10,2023-03-29,北方国际,张江高科,华凯易佰,中工国际,汇通能源,中材国际,万通发展,财信发展,龙建股份,中油资本
11,2023-03-30,北方国际,张江高科,华凯易佰,中工国际,汇通能源,中油资本,中材国际,龙建股份,财信发展,时空科技
12,2023-03-31,北方国际,华凯易佰,张江高科,汇通能源,中工国际,财信发展,中油资本,龙建股份,中旗新材,中材国际
13,2023-04-03,北方国际,张江高科,华凯易佰,汇通能源,中工国际,天域生态,财信发展,龙建股份,中油资本,太极实业
14,2023-04-04,北方国际,张江高科,汇通能源,华凯易佰,太极实业,中工国际,中油资本,龙建股份,中材国际,天域生态
15,2023-04-06,北方国际,张江高科,太极实业,汇通能源,华凯易佰,中油资本,中工国际,中材国际,海南高速,中国中铁
16,2023-04-07,汇通能源,太极实业,北方国际,张江高科,华凯易佰,中工国际,中油资本,京基智农,中材国际,中国中铁
17,2023-04-10,汇通能源,北方国际,华凯易佰,太极实业,中工国际,中国中铁,中油资本,张江高科,中材国际,新疆交建
18,2023-04-11,汇通能源,华凯易佰,太极实业,张江高科,北方国际,新疆交建,中工国际,天域生态,新湖中宝,东方证券
19,2023-04-12,汇通能源,华凯易佰,太极实业,张江高科,新疆交建,中工国际,我爱我家,中材国际,天域生态,新湖中宝
20,2023-04-13,华凯易佰,汇通能源,太极实业,我爱我家,中工国际,京基智农,新疆交建,志邦家居,中材国际,东方证券
21,2023-04-14,华凯易佰,汇通能源,中工国际,太极实业,我爱我家,新疆交建,陕建股份,中材国际,京基智农,东方证券
22,2023-04-17,汇通能源,华凯易佰,中工国际,陕建股份,太极实业,中材国际,京基智农,万业企业,东方证券,中泰证券
23,2023-04-18,汇通能源,陕建股份,中材国际,华凯易佰,东北证券,中工国际,太极实业,我爱我家,中国中铁,京基智农
24,2023-04-19,汇通能源,中工国际,太极实业,万业企业,陕建股份,华凯易佰,中材国际,中铁装配,京基智农,东北证券
25,2023-04-20,中工国际,陕建股份,万业企业,汇通能源,中国中铁,中材国际,中铁装配,华凯易佰,太极实业,中国铁建
26,2023-04-21,陕建股份,中工国际,铁岭新城,京基智农,四川路桥,中铁装配,中国铁建,中国中铁,太极实业,华凯易佰
27,2023-04-24,陕建股份,新疆交建,中工国际,中国铁建,铁岭新城,中国中铁,四川路桥,中材国际,中铁装配,万业企业
28,2023-04-25,陕建股份,铁岭新城,中国铁建,华凯易佰,中铝国际,中国中铁,中材国际,四川路桥,新疆交建,晶雪节能
29,2023-04-26,陕建股份,铁岭新城,华凯易佰,云南城投,中国铁建,中铝国际,新疆交建,四川路桥,中材国际,中铁装配
30,2023-04-27,陕建股份,中铝国际,中国中铁,龙建股份,中国铁建,中工国际,铁岭新城,云南城投,中材国际,中铁装配
31,2023-04-28,中铝国际,陕建股份,中国中铁,中工国际,龙建股份,中国铁建,铁岭新城,华凯易佰,中材国际,中铁装配
32,2023-05-04,中铝国际,陕建股份,中工国际,中国铁建,中国中铁,铁岭新城,中材国际,中铁装配,北方国际,上海港湾
33,2023-05-05,陕建股份,中铁装配,中铝国际,中工国际,中国铁建,北方国际,新疆交建,铁岭新城,中国中铁,上海港湾
34,2023-05-08,陕建股份,中铁装配,中工国际,中铝国际,中国银河,中粮资本,铁岭新城,上实发展,新疆交建,中国铁建
35,2023-05-09,陕建股份,中国银河,新疆交建,中铁装配,上海港湾,中粮资本,中工国际,云南城投,上实发展,铁岭新城
36,2023-05-10,上海港湾,新疆交建,陕建股份,中铁装配,中油资本,中国银河,中工国际,北方国际,中粮资本,铁岭新城
37,2023-05-11,上海港湾,中铁装配,铁岭新城,陕建股份,云南城投,北方国际,上实发展,中油资本,中国银河,同济科技
38,2023-05-12,上海港湾,中铁装配,中粮资本,铁岭新城,上实发展,云南城投,陕建股份,同济科技,中工国际,美克家居
39,2023-05-15,上海港湾,中粮资本,云南城投,中铁装配,铁岭新城,松发股份,同济科技,中国银河,美克家居,上实发展
40,2023-05-16,上海港湾,中粮资本,松发股份,中国银河,美克家居,云南城投,苏文电能,铁岭新城,同济科技,北方国际
41,2023-05-17,上海港湾,松发股份,云南城投,中粮资本,同济科技,美克家居,中国银河,铁岭新城,苏文电能,香溢融通
42,2023-05-18,上海港湾,松发股份,云南城投,华丽家族,中粮资本,同济科技,美克家居,华凯易佰,中国银河,沙河股份
43,2023-05-19,华丽家族,上海港湾,美克家居,云南城投,同济科技,中粮资本,中国银河,松发股份,华凯易佰,江河集团
44,2023-05-22,华丽家族,上海港湾,美克家居,云南城投,铁岭新城,中国银河,中粮资本,顶固集创,江河集团,松发股份
45,2023-05-23,美克家居,华丽家族,上海港湾,铁岭新城,云南城投,江河集团,中国银河,农尚环境,顶固集创,苏文电能
46,2023-05-24,美克家居,上海港湾,江河集团,顶固集创,华丽家族,中国银河,铁岭新城,乾景园林,郑中设计,中源家居
47,2023-05-25,上海港湾,江河集团,美克家居,乾景园林,华丽家族,中国银河,顶固集创,中油资本,深水规院,铁岭新城
48,2023-05-26,深水规院,上海港湾,江河集团,美克家居,乾景园林,中国银河,雅艺科技,农尚环境,顶固集创,汇通能源
49,2023-05-29,深水规院,上海港湾,松发股份,莱茵体育,美克家居,江河集团,汇通能源,中国银河,中油资本,大丰实业
50,2023-05-30,深水规院,莱茵体育,美克家居,上海港湾,江河集团,中国银河,松发股份,汇通能源,中粮资本,中油资本
51,2023-05-31,上海港湾,深水规院,汇通能源,美克家居,松发股份,莱茵体育,雅艺科技,中粮资本,弘业期货,中油资本
52,2023-06-01,上海港湾,美克家居,大丰实业,深水规院,松发股份,汇通能源,万通发展,雅艺科技,弘业期货,太极实业
53,2023-06-02,上海港湾,汇通能源,华凯易佰,大丰实业,苏文电能,尚品宅配,深水规院,城建发展,雅艺科技,京投发展
54,2023-06-05,上海港湾,汇通能源,华凯易佰,苏文电能,大丰实业,深水规院,京投发展,万通发展,雅艺科技,松发股份
55,2023-06-06,京投发展,上海港湾,汇通能源,苏文电能,深水规院,华立股份,大丰实业,罗曼股份,雅艺科技,万通发展
56,2023-06-07,京投发展,时空科技,华立股份,深水规院,大丰实业,汇通能源,东易日盛,万通发展,华凯易佰,苏文电能
57,2023-06-08,京投发展,时空科技,深水规院,特发服务,罗曼股份,沙河股份,大丰实业,京能置业,万通发展,东易日盛
58,2023-06-09,京投发展,时空科技,罗曼股份,松发股份,汇通能源,华凯易佰,深水规院,万通发展,大丰实业,东易日盛
59,2023-06-12,京投发展,罗曼股份,松发股份,时空科技,华凯易佰,汇通能源,特发服务,深水规院,城建发展,万通发展
60,2023-06-13,松发股份,罗曼股份,京投发展,华凯易佰,时空科技,汇通能源,特发服务,元成股份,上海港湾,深水规院
61,2023-06-14,罗曼股份,京投发展,松发股份,汇通能源,上海港湾,华凯易佰,万通发展,永安林业,大丰实业,时空科技
62,2023-06-15,松发股份,京投发展,罗曼股份,上海港湾,荣盛发展,汇通能源,万通发展,农尚环境,时空科技,特发服务
63,2023-06-16,松发股份,京投发展,罗曼股份,万通发展,上海港湾,汇通能源,荣盛发展,沙河股份,城建发展,大丰实业
64,2023-06-19,松发股份,万通发展,罗曼股份,上海港湾,京投发展,汇通能源,荣盛发展,大丰实业,永安林业,龙元建设
65,2023-06-20,松发股份,上海港湾,京投发展,万通发展,罗曼股份,大丰实业,荣盛发展,龙元建设,永安林业,汇通能源
66,2023-06-21,松发股份,京投发展,罗曼股份,上海港湾,金科股份,荣盛发展,万通发展,大丰实业,龙元建设,永安林业
67,2023-06-26,松发股份,京投发展,荣盛发展,金科股份,上海港湾,罗曼股份,大丰实业,万通发展,龙元建设,永安林业
68,2023-06-27,松发股份,荣盛发展,罗曼股份,上海港湾,京投发展,金科股份,万通发展,永安林业,志邦家居,元成股份
69,2023-06-28,松发股份,罗曼股份,荣盛发展,上海港湾,金科股份,京投发展,顾地科技,志邦家居,永安林业,万通发展
70,2023-06-29,松发股份,罗曼股份,上海港湾,荣盛发展,顾地科技,京投发展,元成股份,永安林业,志邦家居,天地源
71,2023-06-30,松发股份,罗曼股份,荣盛发展,上海港湾,永安林业,京投发展,金科股份,元成股份,顾地科技,志邦家居
72,2023-07-03,松发股份,金科股份,荣盛发展,京投发展,罗曼股份,永安林业,瑞尔特,东湖高新,志邦家居,元成股份
73,2023-07-04,松发股份,罗曼股份,金科股份,荣盛发展,永安林业,瑞尔特,祥龙电业,顾地科技,京投发展,江河集团
74,2023-07-05,松发股份,金科股份,罗曼股份,荣盛发展,瑞尔特,顾地科技,江河集团,祥龙电业,永安林业,中天精装
75,2023-07-06,荣盛发展,金科股份,松发股份,罗曼股份,顾地科技,瑞尔特,祥龙电业,永安林业,江河集团,空港股份
76,2023-07-07,荣盛发展,金科股份,罗曼股份,松发股份,顾地科技,瑞尔特,东湖高新,祥龙电业,永安林业,江河集团
77,2023-07-10,荣盛发展,金科股份,顾地科技,罗曼股份,松发股份,瑞尔特,东湖高新,祥龙电业,江河集团,永安林业
78,2023-07-11,金科股份,荣盛发展,顾地科技,瑞尔特,纳川股份,东湖高新,罗曼股份,松发股份,梦百合,东鹏控股
79,2023-07-12,金科股份,顾地科技,东湖高新,瑞尔特,东鹏控股,荣盛发展,纳川股份,诚邦股份,梦百合,江河集团
80,2023-07-13,金科股份,顾地科技,瑞尔特,东湖高新,诚邦股份,东鹏控股,国盛金控,梦百合,大千生态,江河集团
81,2023-07-14,金科股份,东湖高新,顾地科技,罗曼股份,瑞尔特,诚邦股份,东鹏控股,国盛金控,津滨发展,大千生态
82,2023-07-17,东湖高新,金科股份,顾地科技,东鹏控股,诚邦股份,罗曼股份,瑞尔特,大千生态,梦百合,中天精装
83,2023-07-18,东湖高新,东鹏控股,金科股份,诚邦股份,瑞尔特,祥龙电业,梦百合,津滨发展,汇通能源,元成股份
84,2023-07-19,东湖高新,金科股份,顾地科技,东鹏控股,瑞尔特,梦百合,诚邦股份,中迪投资,津滨发展,南华期货
85,2023-07-20,顾地科技,东鹏控股,金科股份,荣盛发展,东湖高新,中迪投资,诚邦股份,梦百合,津滨发展,瑞尔特
86,2023-07-21,荣盛发展,顾地科技,津滨发展,东鹏控股,东湖高新,金科股份,大龙地产,中迪投资,金埔园林,诚邦股份
87,2023-07-24,金科股份,荣盛发展,顾地科技,东湖高新,东鹏控股,大龙地产,津滨发展,中南建设,中迪投资,诚邦股份
88,2023-07-25,金科股份,荣盛发展,大龙地产,津滨发展,霍普股份,东鹏控股,锦和商管,中南建设,天房发展,东湖高新
89,2023-07-26,金科股份,荣盛发展,霍普股份,津滨发展,中南建设,天房发展,锦和商管,东鹏控股,柯利达,大龙地产
90,2023-07-27,金科股份,荣盛发展,锦和商管,霍普股份,中南建设,东鹏控股,津滨发展,天房发展,大龙地产,新黄浦
91,2023-07-28,金科股份,荣盛发展,锦和商管,东鹏控股,霍普股份,太平洋,国创高新,中南建设,津滨发展,柯利达
92,2023-07-31,金科股份,荣盛发展,锦和商管,中南建设,太平洋,国创高新,东鹏控股,城建发展,天房发展,迪马股份
93,2023-08-01,金科股份,荣盛发展,国创高新,太平洋,城建发展,中南建设,东鹏控股,天房发展,华远地产,锦和商管
94,2023-08-02,金科股份,荣盛发展,太平洋,国创高新,云南城投,华远地产,城建发展,东鹏控股,中南建设,天房发展
95,2023-08-03,荣盛发展,太平洋,金科股份,云南城投,国创高新,华远地产,柯利达,城建发展,天房发展,大龙地产
96,2023-08-04,太平洋,荣盛发展,柯利达,金科股份,云南城投,华远地产,城建发展,国创高新,天房发展,特发服务
97,2023-08-07,太平洋,荣盛发展,金科股份,柯利达,云南城投,哈投股份,城建发展,珠江股份,华远地产,西南证券
98,2023-08-08,太平洋,荣盛发展,柯利达,金科股份,城建发展,云南城投,珠江股份,国创高新,蒙娜丽莎,华创云信
99,2023-08-09,太平洋,荣盛发展,柯利达,城建发展,金科股份,天房发展,华远地产,特发服务,中华企业,珠江股份
