,股票名称,股票代码,收盘价,发散因子(倍),近期涨停数
0,奇精机械,603677.SH,17.57,3.05,2
1,万安科技,002590.SZ,15.74,1.79,2
2,香农芯创,300475.SZ,42.78,1.74,2
3,蓝丰生化,002513.SZ,6.68,1.12,1
4,商络电子,300975.SZ,9.5,1.85,0
5,雅克科技,002409.SZ,83.11,2.04,0
6,东晶电子,002199.SZ,10.19,1.22,4
