,股票名称,股票代码,收盘价,发散因子(倍),近期涨停数,每股收益(元),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%)
0,五方光电,002962.SZ,13.41,1.31,1,0.04,12236285.22,-35.62,-51.3923,6.242462598987,0.67
1,人人乐,002336.SZ,14.18,1.58,2,-0.2241,-98585628.35,-30.7,-8.6633,0.027416707318,-160.68
2,鸣志电器,603728.SH,66.08,1.34,3,0.0778,32488480.06,-16.95,-62.7646,6.528824176945,1.19
3,光迅科技,002281.SZ,36.69,1.26,5,0.13,102167953.22,-28.62,-12.1263,9.923817509534,1.42
4,跃岭股份,002725.SZ,12.08,1.16,4,-0.0475,-12160571.3,-220.35,8.0371,3.938624855781,-1.2
5,兆讯传媒,301102.SZ,44.5,1.51,1,,,,,,
6,华西股份,000936.SZ,11.45,1.4,3,0.03,22172234.53,14.81,-63.8534,5.726995331514,0.44
7,欣天科技,300615.SZ,18.95,1.47,1,0.125,23735950.81,282.39,294.4928,3.014271286547,4.24
8,南方精工,002553.SZ,13.59,1.38,2,-0.0779,-27098436.7,-273.61,7.5624,3.32839760204,-2.31
9,柯力传感,603662.SH,32.27,1.2,6,0.2,55966226.13,60.04,-12.2958,8.306125363612,2.41
10,小熊电器,002959.SZ,90.99,1.28,1,1.0567,164852468.99,58.27,13.0203,15.717487924417,6.73
11,白云电器,603861.SH,10.05,1.46,1,0.0802,34967423.64,164.0764111821,-33.7505,6.226478220296,1.2464
