,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名
0,2022-12-22,通润装备,新华制药,天鹅股份,巨轮智能,若羽臣,中国科传,正邦科技,万润科技,海源复材,中国平安
1,2022-12-23,新华制药,通润装备,天鹅股份,巨轮智能,若羽臣,万润科技,柯力传感,漫步者,天马股份,海源复材
2,2022-12-26,新华制药,通润装备,天鹅股份,巨轮智能,若羽臣,万润科技,海源复材,睿能科技,正邦科技,柯力传感
3,2022-12-27,新华制药,通润装备,天鹅股份,巨轮智能,若羽臣,睿能科技,柯力传感,海源复材,正邦科技,万润科技
4,2022-12-28,新华制药,通润装备,天鹅股份,若羽臣,睿能科技,巨轮智能,海源复材,柯力传感,正邦科技,电魂网络
5,2022-12-29,新华制药,天鹅股份,通润装备,巨轮智能,若羽臣,睿能科技,万润科技,柯力传感,大连热电,海源复材
6,2022-12-30,新华制药,天鹅股份,若羽臣,睿能科技,巨轮智能,万润科技,中国平安,柯力传感,电魂网络,通润装备
7,2023-01-03,新华制药,天鹅股份,若羽臣,巨轮智能,睿能科技,远大智能,柯力传感,格林达,大连热电,电魂网络
8,2023-01-04,巨轮智能,新华制药,若羽臣,天鹅股份,远大智能,睿能科技,柯力传感,电魂网络,格林达,大连热电
9,2023-01-05,若羽臣,巨轮智能,新华制药,远大智能,睿能科技,漫步者,格林达,柯力传感,英威腾,电魂网络
10,2023-01-06,巨轮智能,睿能科技,天鹅股份,远大智能,东旭蓝天,柯力传感,若羽臣,格林达,漫步者,电魂网络
11,2023-01-09,巨轮智能,天鹅股份,睿能科技,东旭蓝天,金证股份,远大智能,泽宇智能,金桥信息,漫步者,钧达股份
12,2023-01-10,巨轮智能,金证股份,天鹅股份,东旭蓝天,钧达股份,睿能科技,远大智能,冰川网络,电魂网络,泽宇智能
13,2023-01-11,巨轮智能,睿能科技,金证股份,格林达,远大智能,东旭蓝天,通润装备,钧达股份,天鹅股份,中国科传
14,2023-01-12,巨轮智能,金证股份,远大智能,通润装备,钧达股份,格林达,中国科传,睿能科技,东旭蓝天,中国平安
15,2023-01-13,巨轮智能,金证股份,远大智能,通润装备,中国平安,英威腾,钧达股份,格林达,电魂网络,泽宇智能
16,2023-01-16,金证股份,巨轮智能,格林达,通润装备,睿能科技,远大智能,泽宇智能,钧达股份,电魂网络,英威腾
17,2023-01-17,金证股份,巨轮智能,远大智能,通润装备,英威腾,泽宇智能,睿能科技,格林达,大连热电,中国平安
18,2023-01-18,英威腾,金证股份,泽宇智能,通润装备,中国平安,大连热电,京东方A,冰川网络,格林达,东旭蓝天
