,股票名称,股票代码,收盘价,发散因子(倍),近期涨停数,涨跌幅,换手率,市盈率(动态),流通市值(万),所属行业
0,超讯通信,603322.SH,24.38,1.25,3,9.99,12.81,306.31,459270.75,通信设备
1,海正药业,600267.SH,11.56,1.61,0,6.02,6.75,16.78,1443013.76,化学制药
2,唐德影视,300426.SZ,11.29,1.23,1,9.23,14.55,196.16,587476.26,影视音像
3,养元饮品,603156.SH,25.11,1.54,0,3.46,0.85,11.62,3405443.28,软饮料
4,内蒙新华,603230.SH,13.91,1.35,0,7.09,38.4,9.88,141789.99,出版业
5,新华文轩,601811.SH,14.58,1.18,0,9.98,3.57,15.58,1396918.48,出版业
6,慈文传媒,002343.SZ,11.24,1.15,4,6.39,24.72,109.2,537643.04,影视音像
7,科泰电源,300153.SZ,9.28,1.17,0,12.64,21.21,115.28,350697.71,电气设备
8,南方传媒,601900.SH,15.38,1.38,2,9.99,8.33,22.97,1667226.29,出版业
9,游族网络,002174.SZ,19.42,1.18,1,4.57,14.0,191.14,1882447.05,互联网
10,中文传媒,600373.SH,16.11,1.16,2,3.24,7.59,12.28,2371361.51,出版业
11,赛福天,603028.SH,12.19,1.15,0,3.33,5.36,146.28,329234.88,钢加工
12,佳力图,603912.SH,15.46,1.56,1,10.01,12.51,369.11,497241.64,专用机械
13,华润双鹤,600062.SH,20.58,1.2,1,4.35,6.18,18.5,2114460.9,化学制药
14,龙版传媒,605577.SH,12.29,1.39,1,6.61,13.51,12.0,242990.13,出版业
15,山东出版,601019.SH,9.14,1.15,0,10.05,3.24,12.64,2124464.2,出版业
16,高澜股份,300499.SZ,21.73,1.21,1,20.02,45.62,-344.92,702618.47,专用机械
