,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名
0,2023-07-03,中马传动,昊志机电,华西股份,南方精工,华脉科技,鼎捷软件,太辰光,鼎通科技,威龙股份,步科股份
1,2023-07-04,昊志机电,中马传动,优德精密,南方精工,林州重机,步科股份,华西股份,鼎通科技,太辰光,新时达
2,2023-07-05,昊志机电,林州重机,中马传动,德迈仕,华西股份,优德精密,浙江世宝,太辰光,赛力斯,南方精工
3,2023-07-06,德迈仕,昊志机电,中马传动,浙江世宝,华西股份,步科股份,优德精密,赛力斯,新时达,林州重机
4,2023-07-07,优德精密,浙江世宝,德迈仕,昊志机电,华西股份,中马传动,赛力斯,鼎通科技,步科股份,新时达
5,2023-07-10,浙江世宝,昊志机电,优德精密,德迈仕,新时达,赛力斯,中马传动,华西股份,深南电A,步科股份
6,2023-07-11,昊志机电,浙江世宝,赛力斯,德迈仕,中马传动,新时达,优德精密,华西股份,步科股份,瑞玛精密
7,2023-07-12,浙江世宝,中马传动,昊志机电,大连热电,赛力斯,林州重机,京能热力,步科股份,云南锗业,德迈仕
8,2023-07-13,大连热电,昊志机电,林州重机,京能热力,中马传动,万安科技,浙江世宝,步科股份,香农芯创,赛力斯
9,2023-07-14,昊志机电,浙江世宝,大连热电,中马传动,香农芯创,林州重机,京能热力,鼎捷软件,优德精密,东晶电子
10,2023-07-17,浙江世宝,大连热电,中马传动,香农芯创,林州重机,恒为科技,昊志机电,鼎捷软件,万润科技,永悦科技
11,2023-07-18,浙江世宝,大连热电,林州重机,中马传动,中富电路,香农芯创,永悦科技,万润科技,众泰汽车,昊志机电
12,2023-07-19,中马传动,浙江世宝,大连热电,林州重机,众泰汽车,香农芯创,赢合科技,中富电路,永悦科技,昊志机电
13,2023-07-20,光一退,中马传动,浙江世宝,大连热电,林州重机,众泰汽车,中央商场,华是科技,香农芯创,昊志机电
14,2023-07-21,中央商场,众泰汽车,光一退,林州重机,大连热电,浙江世宝,赢合科技,幸福蓝海,中马传动,华是科技
15,2023-07-24,中央商场,华是科技,众泰汽车,大连热电,林州重机,赢合科技,香农芯创,浙江世宝,亚联发展,中富电路
16,2023-07-25,中央商场,华是科技,大连热电,金科股份,众泰汽车,荣盛发展,香农芯创,山水比德,浙江世宝,亚联发展
17,2023-07-26,中央商场,金科股份,山水比德,荣盛发展,华是科技,赢合科技,大连热电,众泰汽车,香农芯创,霍普股份
18,2023-07-27,山水比德,金科股份,中央商场,荣盛发展,大连热电,浙江世宝,众泰汽车,锦和商管,赢合科技,霍普股份
19,2023-07-28,金科股份,中央商场,山水比德,荣盛发展,众泰汽车,大连热电,浙江世宝,国芳集团,锦和商管,东鹏控股
20,2023-07-31,中央商场,金科股份,山水比德,荣盛发展,国芳集团,大连热电,众泰汽车,天晟新材,锦和商管,中南建设
21,2023-08-01,金科股份,中央商场,荣盛发展,大连热电,山水比德,国芳集团,国创高新,众泰汽车,太平洋,天晟新材
